,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,15.0,0,2002,Year,Technikon North West,,WHITE,1.0 Professional Staff     -Sub-total
1,0.0,0,2002,Year,Technikon North West,,COLOURED,1.0 Professional Staff     -Sub-total
2,11.0,0,2002,Year,Technikon North West,,INDIAN,1.0 Professional Staff     -Sub-total
3,97.0,0,2002,Year,Technikon North West,,AFRICAN,1.0 Professional Staff     -Sub-total
4,0.0,0,2002,Year,Technikon North West,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,123.0,0,2002,Year,Technikon North West,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,79.0,0,2002,Year,Technikon North West,MALE,,1.0 Professional Staff     -Sub-total
7,44.0,0,2002,Year,Technikon North West,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2002,Year,Technikon North West,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,11.0,0,2002,Year,Technikon North West,,WHITE,   1.1 Instruction/Research Professional
10,0.0,0,2002,Year,Technikon North West,,COLOURED,   1.1 Instruction/Research Professional
11,11.0,0,2002,Year,Technikon North West,,INDIAN,   1.1 Instruction/Research Professional
12,75.0,0,2002,Year,Technikon North West,,AFRICAN,   1.1 Instruction/Research Professional
13,0.0,0,2002,Year,Technikon North West,,ALL OTHER,   1.1 Instruction/Research Professional
14,97.0,0,2002,Year,Technikon North West,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,65.0,0,2002,Year,Technikon North West,MALE,,   1.1 Instruction/Research Professional
16,32.0,0,2002,Year,Technikon North West,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2002,Year,Technikon North West,UNKNOWN,,   1.1 Instruction/Research Professional
18,1.0,0,2002,Year,Technikon North West,,WHITE,   1.2 Executive/Administrative/Managerial Professionals
19,0.0,0,2002,Year,Technikon North West,,COLOURED,   1.2 Executive/Administrative/Managerial Professionals
20,0.0,0,2002,Year,Technikon North West,,INDIAN,   1.2 Executive/Administrative/Managerial Professionals
21,10.0,0,2002,Year,Technikon North West,,AFRICAN,   1.2 Executive/Administrative/Managerial Professionals
22,0.0,0,2002,Year,Technikon North West,,ALL OTHER,   1.2 Executive/Administrative/Managerial Professionals
23,11.0,0,2002,Year,Technikon North West,TOTAL,TOTAL,   1.2 Executive/Administrative/Managerial Professionals
24,6.0,0,2002,Year,Technikon North West,MALE,,   1.2 Executive/Administrative/Managerial Professionals
25,5.0,0,2002,Year,Technikon North West,FEMALE,,   1.2 Executive/Administrative/Managerial Professionals
26,0.0,0,2002,Year,Technikon North West,UNKNOWN,,   1.2 Executive/Administrative/Managerial Professionals
27,3.0,0,2002,Year,Technikon North West,,WHITE,   1.3 Specialist/Support Professionals
28,0.0,0,2002,Year,Technikon North West,,COLOURED,   1.3 Specialist/Support Professionals
29,0.0,0,2002,Year,Technikon North West,,INDIAN,   1.3 Specialist/Support Professionals
30,12.0,0,2002,Year,Technikon North West,,AFRICAN,   1.3 Specialist/Support Professionals
31,0.0,0,2002,Year,Technikon North West,,ALL OTHER,   1.3 Specialist/Support Professionals
32,15.0,0,2002,Year,Technikon North West,TOTAL,TOTAL,   1.3 Specialist/Support Professionals
33,8.0,0,2002,Year,Technikon North West,MALE,,   1.3 Specialist/Support Professionals
34,7.0,0,2002,Year,Technikon North West,FEMALE,,   1.3 Specialist/Support Professionals
35,0.0,0,2002,Year,Technikon North West,UNKNOWN,,   1.3 Specialist/Support Professionals
36,1.0,0,2002,Year,Technikon North West,,WHITE,2.0 Non-Professional Staff    -Sub-total
37,1.0,0,2002,Year,Technikon North West,,COLOURED,2.0 Non-Professional Staff    -Sub-total
38,0.0,0,2002,Year,Technikon North West,,INDIAN,2.0 Non-Professional Staff    -Sub-total
39,226.0,0,2002,Year,Technikon North West,,AFRICAN,2.0 Non-Professional Staff    -Sub-total
40,0.0,0,2002,Year,Technikon North West,,ALL OTHER,2.0 Non-Professional Staff    -Sub-total
41,228.0,0,2002,Year,Technikon North West,TOTAL,TOTAL,2.0 Non-Professional Staff    -Sub-total
42,114.0,0,2002,Year,Technikon North West,MALE,,2.0 Non-Professional Staff    -Sub-total
43,114.0,0,2002,Year,Technikon North West,FEMALE,,2.0 Non-Professional Staff    -Sub-total
