,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,99.0,0,2002,Year,University of Durban-Westville,,WHITE,1.0 Professional Staff     -Sub-total
1,8.0,0,2002,Year,University of Durban-Westville,,COLOURED,1.0 Professional Staff     -Sub-total
2,243.0,0,2002,Year,University of Durban-Westville,,INDIAN,1.0 Professional Staff     -Sub-total
3,89.0,0,2002,Year,University of Durban-Westville,,AFRICAN,1.0 Professional Staff     -Sub-total
4,1.0,0,2002,Year,University of Durban-Westville,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,440.0,0,2002,Year,University of Durban-Westville,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,274.0,0,2002,Year,University of Durban-Westville,MALE,,1.0 Professional Staff     -Sub-total
7,166.0,0,2002,Year,University of Durban-Westville,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2002,Year,University of Durban-Westville,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,82.0,0,2002,Year,University of Durban-Westville,,WHITE,   1.1 Instruction/Research Professional
10,8.0,0,2002,Year,University of Durban-Westville,,COLOURED,   1.1 Instruction/Research Professional
11,196.0,0,2002,Year,University of Durban-Westville,,INDIAN,   1.1 Instruction/Research Professional
12,64.0,0,2002,Year,University of Durban-Westville,,AFRICAN,   1.1 Instruction/Research Professional
13,1.0,0,2002,Year,University of Durban-Westville,,ALL OTHER,   1.1 Instruction/Research Professional
14,351.0,0,2002,Year,University of Durban-Westville,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,217.0,0,2002,Year,University of Durban-Westville,MALE,,   1.1 Instruction/Research Professional
16,134.0,0,2002,Year,University of Durban-Westville,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2002,Year,University of Durban-Westville,UNKNOWN,,   1.1 Instruction/Research Professional
18,11.0,0,2002,Year,University of Durban-Westville,,WHITE,   1.2 Executive/Administrative/Managerial Professionals
19,0.0,0,2002,Year,University of Durban-Westville,,COLOURED,   1.2 Executive/Administrative/Managerial Professionals
20,23.0,0,2002,Year,University of Durban-Westville,,INDIAN,   1.2 Executive/Administrative/Managerial Professionals
21,8.0,0,2002,Year,University of Durban-Westville,,AFRICAN,   1.2 Executive/Administrative/Managerial Professionals
22,0.0,0,2002,Year,University of Durban-Westville,,ALL OTHER,   1.2 Executive/Administrative/Managerial Professionals
23,42.0,0,2002,Year,University of Durban-Westville,TOTAL,TOTAL,   1.2 Executive/Administrative/Managerial Professionals
24,32.0,0,2002,Year,University of Durban-Westville,MALE,,   1.2 Executive/Administrative/Managerial Professionals
25,10.0,0,2002,Year,University of Durban-Westville,FEMALE,,   1.2 Executive/Administrative/Managerial Professionals
26,0.0,0,2002,Year,University of Durban-Westville,UNKNOWN,,   1.2 Executive/Administrative/Managerial Professionals
27,6.0,0,2002,Year,University of Durban-Westville,,WHITE,   1.3 Specialist/Support Professionals
28,0.0,0,2002,Year,University of Durban-Westville,,COLOURED,   1.3 Specialist/Support Professionals
29,24.0,0,2002,Year,University of Durban-Westville,,INDIAN,   1.3 Specialist/Support Professionals
30,17.0,0,2002,Year,University of Durban-Westville,,AFRICAN,   1.3 Specialist/Support Professionals
31,0.0,0,2002,Year,University of Durban-Westville,,ALL OTHER,   1.3 Specialist/Support Professionals
32,47.0,0,2002,Year,University of Durban-Westville,TOTAL,TOTAL,   1.3 Specialist/Support Professionals
33,25.0,0,2002,Year,University of Durban-Westville,MALE,,   1.3 Specialist/Support Professionals
34,22.0,0,2002,Year,University of Durban-Westville,FEMALE,,   1.3 Specialist/Support Professionals
35,0.0,0,2002,Year,University of Durban-Westville,UNKNOWN,,   1.3 Specialist/Support Professionals
36,7.0,0,2002,Year,University of Durban-Westville,,WHITE,2.0 Non-Professional Staff    -Sub-total
37,5.0,0,2002,Year,University of Durban-Westville,,COLOURED,2.0 Non-Professional Staff    -Sub-total
38,458.0,0,2002,Year,University of Durban-Westville,,INDIAN,2.0 Non-Professional Staff    -Sub-total
39,151.0,0,2002,Year,University of Durban-Westville,,AFRICAN,2.0 Non-Professional Staff    -Sub-total
40,0.0,0,2002,Year,University of Durban-Westville,,ALL OTHER,2.0 Non-Professional Staff    -Sub-total
41,621.0,0,2002,Year,University of Durban-Westville,TOTAL,TOTAL,2.0 Non-Professional Staff    -Sub-total
42,374.0,0,2002,Year,University of Durban-Westville,MALE,,2.0 Non-Professional Staff    -Sub-total
43,247.0,0,2002,Year,University of Durban-Westville,FEMALE,,2.0 Non-Professional Staff    -Sub-total
44,0.0,0,2002,Year,University of Durban-Westville,UNKNOWN,,2.0 Non-Professional Staff    -Sub-total
45,3.0,0,2002,Year,University of Durban-Westville,,WHITE,   2.1 Technical Employees
46,0.0,0,2002,Year,University of Durban-Westville,,COLOURED,   2.1 Technical Employees
47,72.0,0,2002,Year,University of Durban-Westville,,INDIAN,   2.1 Technical Employees
48,24.0,0,2002,Year,University of Durban-Westville,,AFRICAN,   2.1 Technical Employees
49,0.0,0,2002,Year,University of Durban-Westville,,ALL OTHER,   2.1 Technical Employees
50,99.0,0,2002,Year,University of Durban-Westville,TOTAL,TOTAL,   2.1 Technical Employees
51,77.0,0,2002,Year,University of Durban-Westville,MALE,,   2.1 Technical Employees
52,22.0,0,2002,Year,University of Durban-Westville,FEMALE,,   2.1 Technical Employees
53,0.0,0,2002,Year,University of Durban-Westville,UNKNOWN,,   2.1 Technical Employees
54,2.0,0,2002,Year,University of Durban-Westville,,WHITE,   2.2 Non-professional Administrative Employees
55,4.0,0,2002,Year,University of Durban-Westville,,COLOURED,   2.2 Non-professional Administrative Employees
56,229.0,0,2002,Year,University of Durban-Westville,,INDIAN,   2.2 Non-professional Administrative Employees
57,70.0,0,2002,Year,University of Durban-Westville,,AFRICAN,   2.2 Non-professional Administrative Employees
58,0.0,0,2002,Year,University of Durban-Westville,,ALL OTHER,   2.2 Non-professional Administrative Employees
59,305.0,0,2002,Year,University of Durban-Westville,TOTAL,TOTAL,   2.2 Non-professional Administrative Employees
60,140.0,0,2002,Year,University of Durban-Westville,MALE,,   2.2 Non-professional Administrative Employees
61,165.0,0,2002,Year,University of Durban-Westville,FEMALE,,   2.2 Non-professional Administrative Employees
62,0.0,0,2002,Year,University of Durban-Westville,UNKNOWN,,   2.2 Non-professional Administrative Employees
63,1.0,0,2002,Year,University of Durban-Westville,,WHITE,   2.3 Crafts/Trades Employees
64,0.0,0,2002,Year,University of Durban-Westville,,COLOURED,   2.3 Crafts/Trades Employees
65,12.0,0,2002,Year,University of Durban-Westville,,INDIAN,   2.3 Crafts/Trades Employees
66,1.0,0,2002,Year,University of Durban-Westville,,AFRICAN,   2.3 Crafts/Trades Employees
67,0.0,0,2002,Year,University of Durban-Westville,,ALL OTHER,   2.3 Crafts/Trades Employees
68,14.0,0,2002,Year,University of Durban-Westville,TOTAL,TOTAL,   2.3 Crafts/Trades Employees
69,13.0,0,2002,Year,University of Durban-Westville,MALE,,   2.3 Crafts/Trades Employees
70,1.0,0,2002,Year,University of Durban-Westville,FEMALE,,   2.3 Crafts/Trades Employees
71,0.0,0,2002,Year,University of Durban-Westville,UNKNOWN,,   2.3 Crafts/Trades Employees
72,1.0,0,2002,Year,University of Durban-Westville,,WHITE,   2.4 Service\Employees
73,1.0,0,2002,Year,University of Durban-Westville,,COLOURED,   2.4 Service\Employees
74,145.0,0,2002,Year,University of Durban-Westville,,INDIAN,   2.4 Service\Employees
75,56.0,0,2002,Year,University of Durban-Westville,,AFRICAN,   2.4 Service\Employees
76,0.0,0,2002,Year,University of Durban-Westville,,ALL OTHER,   2.4 Service\Employees
77,203.0,0,2002,Year,University of Durban-Westville,TOTAL,TOTAL,   2.4 Service\Employees
78,144.0,0,2002,Year,University of Durban-Westville,MALE,,   2.4 Service\Employees
79,59.0,0,2002,Year,University of Durban-Westville,FEMALE,,   2.4 Service\Employees
80,0.0,0,2002,Year,University of Durban-Westville,UNKNOWN,,   2.4 Service\Employees
81,0.0,0,2002,Year,University of Durban-Westville,,WHITE,3.0 Unknown
82,0.0,0,2002,Year,University of Durban-Westville,,COLOURED,3.0 Unknown
83,0.0,0,2002,Year,University of Durban-Westville,,INDIAN,3.0 Unknown
84,0.0,0,2002,Year,University of Durban-Westville,,AFRICAN,3.0 Unknown
85,0.0,0,2002,Year,University of Durban-Westville,,ALL OTHER,3.0 Unknown
86,0.0,0,2002,Year,University of Durban-Westville,TOTAL,TOTAL,3.0 Unknown
87,0.0,0,2002,Year,University of Durban-Westville,MALE,,3.0 Unknown
88,0.0,0,2002,Year,University of Durban-Westville,FEMALE,,3.0 Unknown
