,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,283.0,0,2002,Year,University of Port Elizabeth,,WHITE,1.0 Professional Staff     -Sub-total
1,16.0,0,2002,Year,University of Port Elizabeth,,COLOURED,1.0 Professional Staff     -Sub-total
2,3.0,0,2002,Year,University of Port Elizabeth,,INDIAN,1.0 Professional Staff     -Sub-total
3,26.0,0,2002,Year,University of Port Elizabeth,,AFRICAN,1.0 Professional Staff     -Sub-total
4,0.0,0,2002,Year,University of Port Elizabeth,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,328.0,0,2002,Year,University of Port Elizabeth,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,200.0,0,2002,Year,University of Port Elizabeth,MALE,,1.0 Professional Staff     -Sub-total
7,128.0,0,2002,Year,University of Port Elizabeth,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2002,Year,University of Port Elizabeth,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,217.0,0,2002,Year,University of Port Elizabeth,,WHITE,   1.1 Instruction/Research Professional
10,13.0,0,2002,Year,University of Port Elizabeth,,COLOURED,   1.1 Instruction/Research Professional
11,2.0,0,2002,Year,University of Port Elizabeth,,INDIAN,   1.1 Instruction/Research Professional
12,16.0,0,2002,Year,University of Port Elizabeth,,AFRICAN,   1.1 Instruction/Research Professional
13,0.0,0,2002,Year,University of Port Elizabeth,,ALL OTHER,   1.1 Instruction/Research Professional
14,248.0,0,2002,Year,University of Port Elizabeth,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,147.0,0,2002,Year,University of Port Elizabeth,MALE,,   1.1 Instruction/Research Professional
16,101.0,0,2002,Year,University of Port Elizabeth,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2002,Year,University of Port Elizabeth,UNKNOWN,,   1.1 Instruction/Research Professional
18,20.0,0,2002,Year,University of Port Elizabeth,,WHITE,   1.2 Executive/Administrative/Managerial Professionals
19,0.0,0,2002,Year,University of Port Elizabeth,,COLOURED,   1.2 Executive/Administrative/Managerial Professionals
20,1.0,0,2002,Year,University of Port Elizabeth,,INDIAN,   1.2 Executive/Administrative/Managerial Professionals
21,7.0,0,2002,Year,University of Port Elizabeth,,AFRICAN,   1.2 Executive/Administrative/Managerial Professionals
22,0.0,0,2002,Year,University of Port Elizabeth,,ALL OTHER,   1.2 Executive/Administrative/Managerial Professionals
23,28.0,0,2002,Year,University of Port Elizabeth,TOTAL,TOTAL,   1.2 Executive/Administrative/Managerial Professionals
24,21.0,0,2002,Year,University of Port Elizabeth,MALE,,   1.2 Executive/Administrative/Managerial Professionals
25,7.0,0,2002,Year,University of Port Elizabeth,FEMALE,,   1.2 Executive/Administrative/Managerial Professionals
26,0.0,0,2002,Year,University of Port Elizabeth,UNKNOWN,,   1.2 Executive/Administrative/Managerial Professionals
27,46.0,0,2002,Year,University of Port Elizabeth,,WHITE,   1.3 Specialist/Support Professionals
28,3.0,0,2002,Year,University of Port Elizabeth,,COLOURED,   1.3 Specialist/Support Professionals
29,0.0,0,2002,Year,University of Port Elizabeth,,INDIAN,   1.3 Specialist/Support Professionals
30,3.0,0,2002,Year,University of Port Elizabeth,,AFRICAN,   1.3 Specialist/Support Professionals
31,0.0,0,2002,Year,University of Port Elizabeth,,ALL OTHER,   1.3 Specialist/Support Professionals
32,52.0,0,2002,Year,University of Port Elizabeth,TOTAL,TOTAL,   1.3 Specialist/Support Professionals
33,32.0,0,2002,Year,University of Port Elizabeth,MALE,,   1.3 Specialist/Support Professionals
34,20.0,0,2002,Year,University of Port Elizabeth,FEMALE,,   1.3 Specialist/Support Professionals
35,0.0,0,2002,Year,University of Port Elizabeth,UNKNOWN,,   1.3 Specialist/Support Professionals
36,195.0,0,2002,Year,University of Port Elizabeth,,WHITE,2.0 Non-Professional Staff    -Sub-total
37,56.0,0,2002,Year,University of Port Elizabeth,,COLOURED,2.0 Non-Professional Staff    -Sub-total
38,5.0,0,2002,Year,University of Port Elizabeth,,INDIAN,2.0 Non-Professional Staff    -Sub-total
39,167.0,0,2002,Year,University of Port Elizabeth,,AFRICAN,2.0 Non-Professional Staff    -Sub-total
40,0.0,0,2002,Year,University of Port Elizabeth,,ALL OTHER,2.0 Non-Professional Staff    -Sub-total
41,423.0,0,2002,Year,University of Port Elizabeth,TOTAL,TOTAL,2.0 Non-Professional Staff    -Sub-total
42,170.0,0,2002,Year,University of Port Elizabeth,MALE,,2.0 Non-Professional Staff    -Sub-total
43,253.0,0,2002,Year,University of Port Elizabeth,FEMALE,,2.0 Non-Professional Staff    -Sub-total
44,0.0,0,2002,Year,University of Port Elizabeth,UNKNOWN,,2.0 Non-Professional Staff    -Sub-total
45,39.0,0,2002,Year,University of Port Elizabeth,,WHITE,   2.1 Technical Employees
46,6.0,0,2002,Year,University of Port Elizabeth,,COLOURED,   2.1 Technical Employees
47,1.0,0,2002,Year,University of Port Elizabeth,,INDIAN,   2.1 Technical Employees
48,0.0,0,2002,Year,University of Port Elizabeth,,AFRICAN,   2.1 Technical Employees
49,0.0,0,2002,Year,University of Port Elizabeth,,ALL OTHER,   2.1 Technical Employees
50,46.0,0,2002,Year,University of Port Elizabeth,TOTAL,TOTAL,   2.1 Technical Employees
51,27.0,0,2002,Year,University of Port Elizabeth,MALE,,   2.1 Technical Employees
52,19.0,0,2002,Year,University of Port Elizabeth,FEMALE,,   2.1 Technical Employees
53,0.0,0,2002,Year,University of Port Elizabeth,UNKNOWN,,   2.1 Technical Employees
54,133.0,0,2002,Year,University of Port Elizabeth,,WHITE,   2.2 Non-professional Administrative Employees
55,29.0,0,2002,Year,University of Port Elizabeth,,COLOURED,   2.2 Non-professional Administrative Employees
56,4.0,0,2002,Year,University of Port Elizabeth,,INDIAN,   2.2 Non-professional Administrative Employees
57,41.0,0,2002,Year,University of Port Elizabeth,,AFRICAN,   2.2 Non-professional Administrative Employees
58,0.0,0,2002,Year,University of Port Elizabeth,,ALL OTHER,   2.2 Non-professional Administrative Employees
59,207.0,0,2002,Year,University of Port Elizabeth,TOTAL,TOTAL,   2.2 Non-professional Administrative Employees
60,30.0,0,2002,Year,University of Port Elizabeth,MALE,,   2.2 Non-professional Administrative Employees
61,177.0,0,2002,Year,University of Port Elizabeth,FEMALE,,   2.2 Non-professional Administrative Employees
62,0.0,0,2002,Year,University of Port Elizabeth,UNKNOWN,,   2.2 Non-professional Administrative Employees
63,13.0,0,2002,Year,University of Port Elizabeth,,WHITE,   2.3 Crafts/Trades Employees
64,9.0,0,2002,Year,University of Port Elizabeth,,COLOURED,   2.3 Crafts/Trades Employees
65,0.0,0,2002,Year,University of Port Elizabeth,,INDIAN,   2.3 Crafts/Trades Employees
66,14.0,0,2002,Year,University of Port Elizabeth,,AFRICAN,   2.3 Crafts/Trades Employees
67,0.0,0,2002,Year,University of Port Elizabeth,,ALL OTHER,   2.3 Crafts/Trades Employees
68,36.0,0,2002,Year,University of Port Elizabeth,TOTAL,TOTAL,   2.3 Crafts/Trades Employees
69,32.0,0,2002,Year,University of Port Elizabeth,MALE,,   2.3 Crafts/Trades Employees
70,4.0,0,2002,Year,University of Port Elizabeth,FEMALE,,   2.3 Crafts/Trades Employees
71,0.0,0,2002,Year,University of Port Elizabeth,UNKNOWN,,   2.3 Crafts/Trades Employees
72,10.0,0,2002,Year,University of Port Elizabeth,,WHITE,   2.4 Service\Employees
73,12.0,0,2002,Year,University of Port Elizabeth,,COLOURED,   2.4 Service\Employees
74,0.0,0,2002,Year,University of Port Elizabeth,,INDIAN,   2.4 Service\Employees
