,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,1430.0,0,2002,Year,University of South Africa,,WHITE,1.0 Professional Staff     -Sub-total
1,31.0,0,2002,Year,University of South Africa,,COLOURED,1.0 Professional Staff     -Sub-total
2,45.0,0,2002,Year,University of South Africa,,INDIAN,1.0 Professional Staff     -Sub-total
3,332.0,0,2002,Year,University of South Africa,,AFRICAN,1.0 Professional Staff     -Sub-total
4,0.0,0,2002,Year,University of South Africa,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,1838.0,0,2002,Year,University of South Africa,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,849.0,0,2002,Year,University of South Africa,MALE,,1.0 Professional Staff     -Sub-total
7,989.0,0,2002,Year,University of South Africa,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2002,Year,University of South Africa,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,840.0,0,2002,Year,University of South Africa,,WHITE,   1.1 Instruction/Research Professional
10,19.0,0,2002,Year,University of South Africa,,COLOURED,   1.1 Instruction/Research Professional
11,29.0,0,2002,Year,University of South Africa,,INDIAN,   1.1 Instruction/Research Professional
12,170.0,0,2002,Year,University of South Africa,,AFRICAN,   1.1 Instruction/Research Professional
13,0.0,0,2002,Year,University of South Africa,,ALL OTHER,   1.1 Instruction/Research Professional
14,1058.0,0,2002,Year,University of South Africa,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,518.0,0,2002,Year,University of South Africa,MALE,,   1.1 Instruction/Research Professional
16,540.0,0,2002,Year,University of South Africa,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2002,Year,University of South Africa,UNKNOWN,,   1.1 Instruction/Research Professional
18,51.0,0,2002,Year,University of South Africa,,WHITE,   1.2 Executive/Administrative/Managerial Professionals
19,2.0,0,2002,Year,University of South Africa,,COLOURED,   1.2 Executive/Administrative/Managerial Professionals
20,0.0,0,2002,Year,University of South Africa,,INDIAN,   1.2 Executive/Administrative/Managerial Professionals
21,14.0,0,2002,Year,University of South Africa,,AFRICAN,   1.2 Executive/Administrative/Managerial Professionals
22,0.0,0,2002,Year,University of South Africa,,ALL OTHER,   1.2 Executive/Administrative/Managerial Professionals
23,67.0,0,2002,Year,University of South Africa,TOTAL,TOTAL,   1.2 Executive/Administrative/Managerial Professionals
24,50.0,0,2002,Year,University of South Africa,MALE,,   1.2 Executive/Administrative/Managerial Professionals
25,17.0,0,2002,Year,University of South Africa,FEMALE,,   1.2 Executive/Administrative/Managerial Professionals
26,0.0,0,2002,Year,University of South Africa,UNKNOWN,,   1.2 Executive/Administrative/Managerial Professionals
27,539.0,0,2002,Year,University of South Africa,,WHITE,   1.3 Specialist/Support Professionals
28,10.0,0,2002,Year,University of South Africa,,COLOURED,   1.3 Specialist/Support Professionals
29,16.0,0,2002,Year,University of South Africa,,INDIAN,   1.3 Specialist/Support Professionals
30,148.0,0,2002,Year,University of South Africa,,AFRICAN,   1.3 Specialist/Support Professionals
31,0.0,0,2002,Year,University of South Africa,,ALL OTHER,   1.3 Specialist/Support Professionals
32,713.0,0,2002,Year,University of South Africa,TOTAL,TOTAL,   1.3 Specialist/Support Professionals
33,281.0,0,2002,Year,University of South Africa,MALE,,   1.3 Specialist/Support Professionals
34,432.0,0,2002,Year,University of South Africa,FEMALE,,   1.3 Specialist/Support Professionals
35,0.0,0,2002,Year,University of South Africa,UNKNOWN,,   1.3 Specialist/Support Professionals
36,466.0,0,2002,Year,University of South Africa,,WHITE,2.0 Non-Professional Staff    -Sub-total
37,29.0,0,2002,Year,University of South Africa,,COLOURED,2.0 Non-Professional Staff    -Sub-total
38,21.0,0,2002,Year,University of South Africa,,INDIAN,2.0 Non-Professional Staff    -Sub-total
39,690.0,0,2002,Year,University of South Africa,,AFRICAN,2.0 Non-Professional Staff    -Sub-total
40,0.0,0,2002,Year,University of South Africa,,ALL OTHER,2.0 Non-Professional Staff    -Sub-total
41,1206.0,0,2002,Year,University of South Africa,TOTAL,TOTAL,2.0 Non-Professional Staff    -Sub-total
42,614.0,0,2002,Year,University of South Africa,MALE,,2.0 Non-Professional Staff    -Sub-total
43,592.0,0,2002,Year,University of South Africa,FEMALE,,2.0 Non-Professional Staff    -Sub-total
44,0.0,0,2002,Year,University of South Africa,UNKNOWN,,2.0 Non-Professional Staff    -Sub-total
45,19.0,0,2002,Year,University of South Africa,,WHITE,   2.1 Technical Employees
46,0.0,0,2002,Year,University of South Africa,,COLOURED,   2.1 Technical Employees
47,3.0,0,2002,Year,University of South Africa,,INDIAN,   2.1 Technical Employees
48,15.0,0,2002,Year,University of South Africa,,AFRICAN,   2.1 Technical Employees
49,0.0,0,2002,Year,University of South Africa,,ALL OTHER,   2.1 Technical Employees
50,37.0,0,2002,Year,University of South Africa,TOTAL,TOTAL,   2.1 Technical Employees
51,26.0,0,2002,Year,University of South Africa,MALE,,   2.1 Technical Employees
52,11.0,0,2002,Year,University of South Africa,FEMALE,,   2.1 Technical Employees
53,0.0,0,2002,Year,University of South Africa,UNKNOWN,,   2.1 Technical Employees
54,383.0,0,2002,Year,University of South Africa,,WHITE,   2.2 Non-professional Administrative Employees
55,24.0,0,2002,Year,University of South Africa,,COLOURED,   2.2 Non-professional Administrative Employees
