,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,98.0,0,2002,Year,University of Zululand,,WHITE,1.0 Professional Staff     -Sub-total
1,1.0,0,2002,Year,University of Zululand,,COLOURED,1.0 Professional Staff     -Sub-total
2,15.0,0,2002,Year,University of Zululand,,INDIAN,1.0 Professional Staff     -Sub-total
3,189.0,0,2002,Year,University of Zululand,,AFRICAN,1.0 Professional Staff     -Sub-total
4,0.0,0,2002,Year,University of Zululand,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,303.0,0,2002,Year,University of Zululand,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,186.0,0,2002,Year,University of Zululand,MALE,,1.0 Professional Staff     -Sub-total
7,117.0,0,2002,Year,University of Zululand,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2002,Year,University of Zululand,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,84.0,0,2002,Year,University of Zululand,,WHITE,   1.1 Instruction/Research Professional
10,1.0,0,2002,Year,University of Zululand,,COLOURED,   1.1 Instruction/Research Professional
11,13.0,0,2002,Year,University of Zululand,,INDIAN,   1.1 Instruction/Research Professional
12,166.0,0,2002,Year,University of Zululand,,AFRICAN,   1.1 Instruction/Research Professional
13,0.0,0,2002,Year,University of Zululand,,ALL OTHER,   1.1 Instruction/Research Professional
14,264.0,0,2002,Year,University of Zululand,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,160.0,0,2002,Year,University of Zululand,MALE,,   1.1 Instruction/Research Professional
16,104.0,0,2002,Year,University of Zululand,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2002,Year,University of Zululand,UNKNOWN,,   1.1 Instruction/Research Professional
18,8.0,0,2002,Year,University of Zululand,,WHITE,   1.2 Executive/Administrative/Managerial Professionals
19,0.0,0,2002,Year,University of Zululand,,COLOURED,   1.2 Executive/Administrative/Managerial Professionals
20,1.0,0,2002,Year,University of Zululand,,INDIAN,   1.2 Executive/Administrative/Managerial Professionals
21,10.0,0,2002,Year,University of Zululand,,AFRICAN,   1.2 Executive/Administrative/Managerial Professionals
22,0.0,0,2002,Year,University of Zululand,,ALL OTHER,   1.2 Executive/Administrative/Managerial Professionals
23,19.0,0,2002,Year,University of Zululand,TOTAL,TOTAL,   1.2 Executive/Administrative/Managerial Professionals
24,17.0,0,2002,Year,University of Zululand,MALE,,   1.2 Executive/Administrative/Managerial Professionals
25,2.0,0,2002,Year,University of Zululand,FEMALE,,   1.2 Executive/Administrative/Managerial Professionals
26,0.0,0,2002,Year,University of Zululand,UNKNOWN,,   1.2 Executive/Administrative/Managerial Professionals
27,6.0,0,2002,Year,University of Zululand,,WHITE,   1.3 Specialist/Support Professionals
28,0.0,0,2002,Year,University of Zululand,,COLOURED,   1.3 Specialist/Support Professionals
29,1.0,0,2002,Year,University of Zululand,,INDIAN,   1.3 Specialist/Support Professionals
30,13.0,0,2002,Year,University of Zululand,,AFRICAN,   1.3 Specialist/Support Professionals
31,0.0,0,2002,Year,University of Zululand,,ALL OTHER,   1.3 Specialist/Support Professionals
32,20.0,0,2002,Year,University of Zululand,TOTAL,TOTAL,   1.3 Specialist/Support Professionals
33,9.0,0,2002,Year,University of Zululand,MALE,,   1.3 Specialist/Support Professionals
34,11.0,0,2002,Year,University of Zululand,FEMALE,,   1.3 Specialist/Support Professionals
35,0.0,0,2002,Year,University of Zululand,UNKNOWN,,   1.3 Specialist/Support Professionals
36,49.0,0,2002,Year,University of Zululand,,WHITE,2.0 Non-Professional Staff    -Sub-total
37,1.0,0,2002,Year,University of Zululand,,COLOURED,2.0 Non-Professional Staff    -Sub-total
38,8.0,0,2002,Year,University of Zululand,,INDIAN,2.0 Non-Professional Staff    -Sub-total
39,349.0,0,2002,Year,University of Zululand,,AFRICAN,2.0 Non-Professional Staff    -Sub-total
40,0.0,0,2002,Year,University of Zululand,,ALL OTHER,2.0 Non-Professional Staff    -Sub-total
41,407.0,0,2002,Year,University of Zululand,TOTAL,TOTAL,2.0 Non-Professional Staff    -Sub-total
42,233.0,0,2002,Year,University of Zululand,MALE,,2.0 Non-Professional Staff    -Sub-total
43,174.0,0,2002,Year,University of Zululand,FEMALE,,2.0 Non-Professional Staff    -Sub-total
44,0.0,0,2002,Year,University of Zululand,UNKNOWN,,2.0 Non-Professional Staff    -Sub-total
45,12.0,0,2002,Year,University of Zululand,,WHITE,   2.1 Technical Employees
46,1.0,0,2002,Year,University of Zululand,,COLOURED,   2.1 Technical Employees
47,3.0,0,2002,Year,University of Zululand,,INDIAN,   2.1 Technical Employees
48,13.0,0,2002,Year,University of Zululand,,AFRICAN,   2.1 Technical Employees
49,0.0,0,2002,Year,University of Zululand,,ALL OTHER,   2.1 Technical Employees
50,29.0,0,2002,Year,University of Zululand,TOTAL,TOTAL,   2.1 Technical Employees
51,20.0,0,2002,Year,University of Zululand,MALE,,   2.1 Technical Employees
52,9.0,0,2002,Year,University of Zululand,FEMALE,,   2.1 Technical Employees
53,0.0,0,2002,Year,University of Zululand,UNKNOWN,,   2.1 Technical Employees
54,34.0,0,2002,Year,University of Zululand,,WHITE,   2.2 Non-professional Administrative Employees
55,0.0,0,2002,Year,University of Zululand,,COLOURED,   2.2 Non-professional Administrative Employees
56,3.0,0,2002,Year,University of Zululand,,INDIAN,   2.2 Non-professional Administrative Employees
57,125.0,0,2002,Year,University of Zululand,,AFRICAN,   2.2 Non-professional Administrative Employees
58,0.0,0,2002,Year,University of Zululand,,ALL OTHER,   2.2 Non-professional Administrative Employees
59,162.0,0,2002,Year,University of Zululand,TOTAL,TOTAL,   2.2 Non-professional Administrative Employees
60,73.0,0,2002,Year,University of Zululand,MALE,,   2.2 Non-professional Administrative Employees
61,89.0,0,2002,Year,University of Zululand,FEMALE,,   2.2 Non-professional Administrative Employees
62,0.0,0,2002,Year,University of Zululand,UNKNOWN,,   2.2 Non-professional Administrative Employees
63,1.0,0,2002,Year,University of Zululand,,WHITE,   2.3 Crafts/Trades Employees
64,0.0,0,2002,Year,University of Zululand,,COLOURED,   2.3 Crafts/Trades Employees
65,0.0,0,2002,Year,University of Zululand,,INDIAN,   2.3 Crafts/Trades Employees
66,13.0,0,2002,Year,University of Zululand,,AFRICAN,   2.3 Crafts/Trades Employees
67,0.0,0,2002,Year,University of Zululand,,ALL OTHER,   2.3 Crafts/Trades Employees
68,14.0,0,2002,Year,University of Zululand,TOTAL,TOTAL,   2.3 Crafts/Trades Employees
69,14.0,0,2002,Year,University of Zululand,MALE,,   2.3 Crafts/Trades Employees
70,0.0,0,2002,Year,University of Zululand,FEMALE,,   2.3 Crafts/Trades Employees
71,0.0,0,2002,Year,University of Zululand,UNKNOWN,,   2.3 Crafts/Trades Employees
72,2.0,0,2002,Year,University of Zululand,,WHITE,   2.4 Service\Employees
73,0.0,0,2002,Year,University of Zululand,,COLOURED,   2.4 Service\Employees
74,2.0,0,2002,Year,University of Zululand,,INDIAN,   2.4 Service\Employees
75,198.0,0,2002,Year,University of Zululand,,AFRICAN,   2.4 Service\Employees
76,0.0,0,2002,Year,University of Zululand,,ALL OTHER,   2.4 Service\Employees
77,202.0,0,2002,Year,University of Zululand,TOTAL,TOTAL,   2.4 Service\Employees
78,126.0,0,2002,Year,University of Zululand,MALE,,   2.4 Service\Employees
79,76.0,0,2002,Year,University of Zululand,FEMALE,,   2.4 Service\Employees
80,0.0,0,2002,Year,University of Zululand,UNKNOWN,,   2.4 Service\Employees
81,0.0,0,2002,Year,University of Zululand,,WHITE,3.0 Unknown
82,0.0,0,2002,Year,University of Zululand,,COLOURED,3.0 Unknown
83,0.0,0,2002,Year,University of Zululand,,INDIAN,3.0 Unknown
84,0.0,0,2002,Year,University of Zululand,,AFRICAN,3.0 Unknown
85,0.0,0,2002,Year,University of Zululand,,ALL OTHER,3.0 Unknown
86,0.0,0,2002,Year,University of Zululand,TOTAL,TOTAL,3.0 Unknown
87,0.0,0,2002,Year,University of Zululand,MALE,,3.0 Unknown
88,0.0,0,2002,Year,University of Zululand,FEMALE,,3.0 Unknown
89,0.0,0,2002,Year,University of Zululand,UNKNOWN,,3.0 Unknown
90,147.0,0,2002,Year,University of Zululand,,WHITE,9.9 TOTAL
91,2.0,0,2002,Year,University of Zululand,,COLOURED,9.9 TOTAL
92,23.0,0,2002,Year,University of Zululand,,INDIAN,9.9 TOTAL
93,538.0,0,2002,Year,University of Zululand,,AFRICAN,9.9 TOTAL
94,0.0,0,2002,Year,University of Zululand,,ALL OTHER,9.9 TOTAL
95,710.0,0,2002,Year,University of Zululand,TOTAL,TOTAL,9.9 TOTAL
96,419.0,0,2002,Year,University of Zululand,MALE,,9.9 TOTAL
97,291.0,0,2002,Year,University of Zululand,FEMALE,,9.9 TOTAL
98,0.0,0,2002,Year,University of Zululand,UNKNOWN,,9.9 TOTAL
