,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,257.0,0,2002,Year,Vaal Triangle Technikon,,WHITE,1.0 Professional Staff     -Sub-total
1,6.0,0,2002,Year,Vaal Triangle Technikon,,COLOURED,1.0 Professional Staff     -Sub-total
2,21.0,0,2002,Year,Vaal Triangle Technikon,,INDIAN,1.0 Professional Staff     -Sub-total
3,122.0,0,2002,Year,Vaal Triangle Technikon,,AFRICAN,1.0 Professional Staff     -Sub-total
4,0.0,0,2002,Year,Vaal Triangle Technikon,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,406.0,0,2002,Year,Vaal Triangle Technikon,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,230.0,0,2002,Year,Vaal Triangle Technikon,MALE,,1.0 Professional Staff     -Sub-total
7,176.0,0,2002,Year,Vaal Triangle Technikon,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2002,Year,Vaal Triangle Technikon,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,217.0,0,2002,Year,Vaal Triangle Technikon,,WHITE,   1.1 Instruction/Research Professional
10,3.0,0,2002,Year,Vaal Triangle Technikon,,COLOURED,   1.1 Instruction/Research Professional
11,17.0,0,2002,Year,Vaal Triangle Technikon,,INDIAN,   1.1 Instruction/Research Professional
12,75.0,0,2002,Year,Vaal Triangle Technikon,,AFRICAN,   1.1 Instruction/Research Professional
13,0.0,0,2002,Year,Vaal Triangle Technikon,,ALL OTHER,   1.1 Instruction/Research Professional
14,312.0,0,2002,Year,Vaal Triangle Technikon,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,172.0,0,2002,Year,Vaal Triangle Technikon,MALE,,   1.1 Instruction/Research Professional
16,140.0,0,2002,Year,Vaal Triangle Technikon,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2002,Year,Vaal Triangle Technikon,UNKNOWN,,   1.1 Instruction/Research Professional
