,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,354.0,0,2002,Year,Witwatersrand Technikon,,WHITE,1.0 Professional Staff     -Sub-total
1,11.0,0,2002,Year,Witwatersrand Technikon,,COLOURED,1.0 Professional Staff     -Sub-total
2,34.0,0,2002,Year,Witwatersrand Technikon,,INDIAN,1.0 Professional Staff     -Sub-total
3,63.0,0,2002,Year,Witwatersrand Technikon,,AFRICAN,1.0 Professional Staff     -Sub-total
4,1.0,0,2002,Year,Witwatersrand Technikon,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,463.0,0,2002,Year,Witwatersrand Technikon,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,268.0,0,2002,Year,Witwatersrand Technikon,MALE,,1.0 Professional Staff     -Sub-total
7,195.0,0,2002,Year,Witwatersrand Technikon,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2002,Year,Witwatersrand Technikon,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,308.0,0,2002,Year,Witwatersrand Technikon,,WHITE,   1.1 Instruction/Research Professional
10,7.0,0,2002,Year,Witwatersrand Technikon,,COLOURED,   1.1 Instruction/Research Professional
11,26.0,0,2002,Year,Witwatersrand Technikon,,INDIAN,   1.1 Instruction/Research Professional
12,46.0,0,2002,Year,Witwatersrand Technikon,,AFRICAN,   1.1 Instruction/Research Professional
13,1.0,0,2002,Year,Witwatersrand Technikon,,ALL OTHER,   1.1 Instruction/Research Professional
14,388.0,0,2002,Year,Witwatersrand Technikon,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,223.0,0,2002,Year,Witwatersrand Technikon,MALE,,   1.1 Instruction/Research Professional
16,165.0,0,2002,Year,Witwatersrand Technikon,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2002,Year,Witwatersrand Technikon,UNKNOWN,,   1.1 Instruction/Research Professional
18,16.0,0,2002,Year,Witwatersrand Technikon,,WHITE,   1.2 Executive/Administrative/Managerial Professionals
19,4.0,0,2002,Year,Witwatersrand Technikon,,COLOURED,   1.2 Executive/Administrative/Managerial Professionals
20,5.0,0,2002,Year,Witwatersrand Technikon,,INDIAN,   1.2 Executive/Administrative/Managerial Professionals
21,8.0,0,2002,Year,Witwatersrand Technikon,,AFRICAN,   1.2 Executive/Administrative/Managerial Professionals
22,0.0,0,2002,Year,Witwatersrand Technikon,,ALL OTHER,   1.2 Executive/Administrative/Managerial Professionals
23,33.0,0,2002,Year,Witwatersrand Technikon,TOTAL,TOTAL,   1.2 Executive/Administrative/Managerial Professionals
24,25.0,0,2002,Year,Witwatersrand Technikon,MALE,,   1.2 Executive/Administrative/Managerial Professionals
25,8.0,0,2002,Year,Witwatersrand Technikon,FEMALE,,   1.2 Executive/Administrative/Managerial Professionals
26,0.0,0,2002,Year,Witwatersrand Technikon,UNKNOWN,,   1.2 Executive/Administrative/Managerial Professionals
27,30.0,0,2002,Year,Witwatersrand Technikon,,WHITE,   1.3 Specialist/Support Professionals
28,0.0,0,2002,Year,Witwatersrand Technikon,,COLOURED,   1.3 Specialist/Support Professionals
29,3.0,0,2002,Year,Witwatersrand Technikon,,INDIAN,   1.3 Specialist/Support Professionals
30,9.0,0,2002,Year,Witwatersrand Technikon,,AFRICAN,   1.3 Specialist/Support Professionals
31,0.0,0,2002,Year,Witwatersrand Technikon,,ALL OTHER,   1.3 Specialist/Support Professionals
32,42.0,0,2002,Year,Witwatersrand Technikon,TOTAL,TOTAL,   1.3 Specialist/Support Professionals
33,20.0,0,2002,Year,Witwatersrand Technikon,MALE,,   1.3 Specialist/Support Professionals
34,22.0,0,2002,Year,Witwatersrand Technikon,FEMALE,,   1.3 Specialist/Support Professionals
35,0.0,0,2002,Year,Witwatersrand Technikon,UNKNOWN,,   1.3 Specialist/Support Professionals
36,141.0,0,2002,Year,Witwatersrand Technikon,,WHITE,2.0 Non-Professional Staff    -Sub-total
37,36.0,0,2002,Year,Witwatersrand Technikon,,COLOURED,2.0 Non-Professional Staff    -Sub-total
38,14.0,0,2002,Year,Witwatersrand Technikon,,INDIAN,2.0 Non-Professional Staff    -Sub-total
39,363.0,0,2002,Year,Witwatersrand Technikon,,AFRICAN,2.0 Non-Professional Staff    -Sub-total
40,0.0,0,2002,Year,Witwatersrand Technikon,,ALL OTHER,2.0 Non-Professional Staff    -Sub-total
41,554.0,0,2002,Year,Witwatersrand Technikon,TOTAL,TOTAL,2.0 Non-Professional Staff    -Sub-total
42,279.0,0,2002,Year,Witwatersrand Technikon,MALE,,2.0 Non-Professional Staff    -Sub-total
43,275.0,0,2002,Year,Witwatersrand Technikon,FEMALE,,2.0 Non-Professional Staff    -Sub-total
44,0.0,0,2002,Year,Witwatersrand Technikon,UNKNOWN,,2.0 Non-Professional Staff    -Sub-total
45,18.0,0,2002,Year,Witwatersrand Technikon,,WHITE,   2.1 Technical Employees
46,4.0,0,2002,Year,Witwatersrand Technikon,,COLOURED,   2.1 Technical Employees
47,1.0,0,2002,Year,Witwatersrand Technikon,,INDIAN,   2.1 Technical Employees
48,11.0,0,2002,Year,Witwatersrand Technikon,,AFRICAN,   2.1 Technical Employees
49,0.0,0,2002,Year,Witwatersrand Technikon,,ALL OTHER,   2.1 Technical Employees
50,34.0,0,2002,Year,Witwatersrand Technikon,TOTAL,TOTAL,   2.1 Technical Employees
51,32.0,0,2002,Year,Witwatersrand Technikon,MALE,,   2.1 Technical Employees
52,2.0,0,2002,Year,Witwatersrand Technikon,FEMALE,,   2.1 Technical Employees
53,0.0,0,2002,Year,Witwatersrand Technikon,UNKNOWN,,   2.1 Technical Employees
54,121.0,0,2002,Year,Witwatersrand Technikon,,WHITE,   2.2 Non-professional Administrative Employees
55,29.0,0,2002,Year,Witwatersrand Technikon,,COLOURED,   2.2 Non-professional Administrative Employees
56,13.0,0,2002,Year,Witwatersrand Technikon,,INDIAN,   2.2 Non-professional Administrative Employees
57,105.0,0,2002,Year,Witwatersrand Technikon,,AFRICAN,   2.2 Non-professional Administrative Employees
58,0.0,0,2002,Year,Witwatersrand Technikon,,ALL OTHER,   2.2 Non-professional Administrative Employees
59,268.0,0,2002,Year,Witwatersrand Technikon,TOTAL,TOTAL,   2.2 Non-professional Administrative Employees
60,91.0,0,2002,Year,Witwatersrand Technikon,MALE,,   2.2 Non-professional Administrative Employees
61,177.0,0,2002,Year,Witwatersrand Technikon,FEMALE,,   2.2 Non-professional Administrative Employees
62,0.0,0,2002,Year,Witwatersrand Technikon,UNKNOWN,,   2.2 Non-professional Administrative Employees
63,0.0,0,2002,Year,Witwatersrand Technikon,,WHITE,   2.3 Crafts/Trades Employees
64,0.0,0,2002,Year,Witwatersrand Technikon,,COLOURED,   2.3 Crafts/Trades Employees
65,0.0,0,2002,Year,Witwatersrand Technikon,,INDIAN,   2.3 Crafts/Trades Employees
66,0.0,0,2002,Year,Witwatersrand Technikon,,AFRICAN,   2.3 Crafts/Trades Employees
67,0.0,0,2002,Year,Witwatersrand Technikon,,ALL OTHER,   2.3 Crafts/Trades Employees
68,0.0,0,2002,Year,Witwatersrand Technikon,TOTAL,TOTAL,   2.3 Crafts/Trades Employees
69,0.0,0,2002,Year,Witwatersrand Technikon,MALE,,   2.3 Crafts/Trades Employees
70,0.0,0,2002,Year,Witwatersrand Technikon,FEMALE,,   2.3 Crafts/Trades Employees
71,0.0,0,2002,Year,Witwatersrand Technikon,UNKNOWN,,   2.3 Crafts/Trades Employees
72,2.0,0,2002,Year,Witwatersrand Technikon,,WHITE,   2.4 Service\Employees
73,3.0,0,2002,Year,Witwatersrand Technikon,,COLOURED,   2.4 Service\Employees
74,0.0,0,2002,Year,Witwatersrand Technikon,,INDIAN,   2.4 Service\Employees
75,247.0,0,2002,Year,Witwatersrand Technikon,,AFRICAN,   2.4 Service\Employees
76,0.0,0,2002,Year,Witwatersrand Technikon,,ALL OTHER,   2.4 Service\Employees
77,252.0,0,2002,Year,Witwatersrand Technikon,TOTAL,TOTAL,   2.4 Service\Employees
78,156.0,0,2002,Year,Witwatersrand Technikon,MALE,,   2.4 Service\Employees
79,96.0,0,2002,Year,Witwatersrand Technikon,FEMALE,,   2.4 Service\Employees
80,0.0,0,2002,Year,Witwatersrand Technikon,UNKNOWN,,   2.4 Service\Employees
81,0.0,0,2002,Year,Witwatersrand Technikon,,WHITE,3.0 Unknown
82,0.0,0,2002,Year,Witwatersrand Technikon,,COLOURED,3.0 Unknown
83,0.0,0,2002,Year,Witwatersrand Technikon,,INDIAN,3.0 Unknown
84,0.0,0,2002,Year,Witwatersrand Technikon,,AFRICAN,3.0 Unknown
85,0.0,0,2002,Year,Witwatersrand Technikon,,ALL OTHER,3.0 Unknown
86,0.0,0,2002,Year,Witwatersrand Technikon,TOTAL,TOTAL,3.0 Unknown
87,0.0,0,2002,Year,Witwatersrand Technikon,MALE,,3.0 Unknown
88,0.0,0,2002,Year,Witwatersrand Technikon,FEMALE,,3.0 Unknown
89,0.0,0,2002,Year,Witwatersrand Technikon,UNKNOWN,,3.0 Unknown
90,495.0,0,2002,Year,Witwatersrand Technikon,,WHITE,9.9 TOTAL
91,47.0,0,2002,Year,Witwatersrand Technikon,,COLOURED,9.9 TOTAL
92,48.0,0,2002,Year,Witwatersrand Technikon,,INDIAN,9.9 TOTAL
93,426.0,0,2002,Year,Witwatersrand Technikon,,AFRICAN,9.9 TOTAL
94,1.0,0,2002,Year,Witwatersrand Technikon,,ALL OTHER,9.9 TOTAL
95,1017.0,0,2002,Year,Witwatersrand Technikon,TOTAL,TOTAL,9.9 TOTAL
