,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,80.0,0,2003,Year,Border Technikon,,WHITE,1.0 Professional Staff     -Sub-total
1,2.0,0,2003,Year,Border Technikon,,COLOURED,1.0 Professional Staff     -Sub-total
2,10.0,0,2003,Year,Border Technikon,,INDIAN,1.0 Professional Staff     -Sub-total
3,81.0,0,2003,Year,Border Technikon,,AFRICAN,1.0 Professional Staff     -Sub-total
4,0.0,0,2003,Year,Border Technikon,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,173.0,0,2003,Year,Border Technikon,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,95.0,0,2003,Year,Border Technikon,MALE,,1.0 Professional Staff     -Sub-total
7,78.0,0,2003,Year,Border Technikon,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2003,Year,Border Technikon,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,70.0,0,2003,Year,Border Technikon,,WHITE,   1.1 Instruction/Research Professional
10,2.0,0,2003,Year,Border Technikon,,COLOURED,   1.1 Instruction/Research Professional
11,8.0,0,2003,Year,Border Technikon,,INDIAN,   1.1 Instruction/Research Professional
12,66.0,0,2003,Year,Border Technikon,,AFRICAN,   1.1 Instruction/Research Professional
13,0.0,0,2003,Year,Border Technikon,,ALL OTHER,   1.1 Instruction/Research Professional
14,146.0,0,2003,Year,Border Technikon,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,82.0,0,2003,Year,Border Technikon,MALE,,   1.1 Instruction/Research Professional
16,64.0,0,2003,Year,Border Technikon,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2003,Year,Border Technikon,UNKNOWN,,   1.1 Instruction/Research Professional
18,7.0,0,2003,Year,Border Technikon,,WHITE,   1.2 Executive/Administrative/Managerial Professionals
19,0.0,0,2003,Year,Border Technikon,,COLOURED,   1.2 Executive/Administrative/Managerial Professionals
20,2.0,0,2003,Year,Border Technikon,,INDIAN,   1.2 Executive/Administrative/Managerial Professionals
21,4.0,0,2003,Year,Border Technikon,,AFRICAN,   1.2 Executive/Administrative/Managerial Professionals
22,0.0,0,2003,Year,Border Technikon,,ALL OTHER,   1.2 Executive/Administrative/Managerial Professionals
23,13.0,0,2003,Year,Border Technikon,TOTAL,TOTAL,   1.2 Executive/Administrative/Managerial Professionals
24,11.0,0,2003,Year,Border Technikon,MALE,,   1.2 Executive/Administrative/Managerial Professionals
25,2.0,0,2003,Year,Border Technikon,FEMALE,,   1.2 Executive/Administrative/Managerial Professionals
26,0.0,0,2003,Year,Border Technikon,UNKNOWN,,   1.2 Executive/Administrative/Managerial Professionals
27,3.0,0,2003,Year,Border Technikon,,WHITE,   1.3 Specialist/Support Professionals
28,0.0,0,2003,Year,Border Technikon,,COLOURED,   1.3 Specialist/Support Professionals
29,0.0,0,2003,Year,Border Technikon,,INDIAN,   1.3 Specialist/Support Professionals
30,11.0,0,2003,Year,Border Technikon,,AFRICAN,   1.3 Specialist/Support Professionals
31,0.0,0,2003,Year,Border Technikon,,ALL OTHER,   1.3 Specialist/Support Professionals
32,14.0,0,2003,Year,Border Technikon,TOTAL,TOTAL,   1.3 Specialist/Support Professionals
33,2.0,0,2003,Year,Border Technikon,MALE,,   1.3 Specialist/Support Professionals
34,12.0,0,2003,Year,Border Technikon,FEMALE,,   1.3 Specialist/Support Professionals
35,0.0,0,2003,Year,Border Technikon,UNKNOWN,,   1.3 Specialist/Support Professionals
36,15.0,0,2003,Year,Border Technikon,,WHITE,2.0 Non-Professional Staff    -Sub-total
37,2.0,0,2003,Year,Border Technikon,,COLOURED,2.0 Non-Professional Staff    -Sub-total
38,1.0,0,2003,Year,Border Technikon,,INDIAN,2.0 Non-Professional Staff    -Sub-total
39,93.0,0,2003,Year,Border Technikon,,AFRICAN,2.0 Non-Professional Staff    -Sub-total
40,0.0,0,2003,Year,Border Technikon,,ALL OTHER,2.0 Non-Professional Staff    -Sub-total
41,111.0,0,2003,Year,Border Technikon,TOTAL,TOTAL,2.0 Non-Professional Staff    -Sub-total
