,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,355.0,0,2003,Year,Cape Technikon,,WHITE,1.0 Professional Staff     -Sub-total
1,76.0,0,2003,Year,Cape Technikon,,COLOURED,1.0 Professional Staff     -Sub-total
2,13.0,0,2003,Year,Cape Technikon,,INDIAN,1.0 Professional Staff     -Sub-total
3,41.0,0,2003,Year,Cape Technikon,,AFRICAN,1.0 Professional Staff     -Sub-total
4,0.0,0,2003,Year,Cape Technikon,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,485.0,0,2003,Year,Cape Technikon,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,286.0,0,2003,Year,Cape Technikon,MALE,,1.0 Professional Staff     -Sub-total
7,199.0,0,2003,Year,Cape Technikon,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2003,Year,Cape Technikon,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,275.0,0,2003,Year,Cape Technikon,,WHITE,   1.1 Instruction/Research Professional
10,45.0,0,2003,Year,Cape Technikon,,COLOURED,   1.1 Instruction/Research Professional
11,10.0,0,2003,Year,Cape Technikon,,INDIAN,   1.1 Instruction/Research Professional
12,15.0,0,2003,Year,Cape Technikon,,AFRICAN,   1.1 Instruction/Research Professional
13,0.0,0,2003,Year,Cape Technikon,,ALL OTHER,   1.1 Instruction/Research Professional
14,345.0,0,2003,Year,Cape Technikon,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,216.0,0,2003,Year,Cape Technikon,MALE,,   1.1 Instruction/Research Professional
16,129.0,0,2003,Year,Cape Technikon,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2003,Year,Cape Technikon,UNKNOWN,,   1.1 Instruction/Research Professional
18,15.0,0,2003,Year,Cape Technikon,,WHITE,   1.2 Executive/Administrative/Managerial Professionals
19,5.0,0,2003,Year,Cape Technikon,,COLOURED,   1.2 Executive/Administrative/Managerial Professionals
20,1.0,0,2003,Year,Cape Technikon,,INDIAN,   1.2 Executive/Administrative/Managerial Professionals
21,6.0,0,2003,Year,Cape Technikon,,AFRICAN,   1.2 Executive/Administrative/Managerial Professionals
22,0.0,0,2003,Year,Cape Technikon,,ALL OTHER,   1.2 Executive/Administrative/Managerial Professionals
23,27.0,0,2003,Year,Cape Technikon,TOTAL,TOTAL,   1.2 Executive/Administrative/Managerial Professionals
24,22.0,0,2003,Year,Cape Technikon,MALE,,   1.2 Executive/Administrative/Managerial Professionals
25,5.0,0,2003,Year,Cape Technikon,FEMALE,,   1.2 Executive/Administrative/Managerial Professionals
26,0.0,0,2003,Year,Cape Technikon,UNKNOWN,,   1.2 Executive/Administrative/Managerial Professionals
27,65.0,0,2003,Year,Cape Technikon,,WHITE,   1.3 Specialist/Support Professionals
28,26.0,0,2003,Year,Cape Technikon,,COLOURED,   1.3 Specialist/Support Professionals
29,2.0,0,2003,Year,Cape Technikon,,INDIAN,   1.3 Specialist/Support Professionals
30,20.0,0,2003,Year,Cape Technikon,,AFRICAN,   1.3 Specialist/Support Professionals
31,0.0,0,2003,Year,Cape Technikon,,ALL OTHER,   1.3 Specialist/Support Professionals
32,113.0,0,2003,Year,Cape Technikon,TOTAL,TOTAL,   1.3 Specialist/Support Professionals
33,48.0,0,2003,Year,Cape Technikon,MALE,,   1.3 Specialist/Support Professionals
34,65.0,0,2003,Year,Cape Technikon,FEMALE,,   1.3 Specialist/Support Professionals
35,0.0,0,2003,Year,Cape Technikon,UNKNOWN,,   1.3 Specialist/Support Professionals
36,121.0,0,2003,Year,Cape Technikon,,WHITE,2.0 Non-Professional Staff    -Sub-total
37,243.0,0,2003,Year,Cape Technikon,,COLOURED,2.0 Non-Professional Staff    -Sub-total
38,2.0,0,2003,Year,Cape Technikon,,INDIAN,2.0 Non-Professional Staff    -Sub-total
39,24.0,0,2003,Year,Cape Technikon,,AFRICAN,2.0 Non-Professional Staff    -Sub-total
40,0.0,0,2003,Year,Cape Technikon,,ALL OTHER,2.0 Non-Professional Staff    -Sub-total
41,390.0,0,2003,Year,Cape Technikon,TOTAL,TOTAL,2.0 Non-Professional Staff    -Sub-total
42,170.0,0,2003,Year,Cape Technikon,MALE,,2.0 Non-Professional Staff    -Sub-total
43,220.0,0,2003,Year,Cape Technikon,FEMALE,,2.0 Non-Professional Staff    -Sub-total
44,0.0,0,2003,Year,Cape Technikon,UNKNOWN,,2.0 Non-Professional Staff    -Sub-total
45,33.0,0,2003,Year,Cape Technikon,,WHITE,   2.1 Technical Employees
46,19.0,0,2003,Year,Cape Technikon,,COLOURED,   2.1 Technical Employees
47,0.0,0,2003,Year,Cape Technikon,,INDIAN,   2.1 Technical Employees
48,1.0,0,2003,Year,Cape Technikon,,AFRICAN,   2.1 Technical Employees
49,0.0,0,2003,Year,Cape Technikon,,ALL OTHER,   2.1 Technical Employees
