,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,37.0,0,2003,Year,Mangosuthu Technikon,,WHITE,1.0 Professional Staff     -Sub-total
1,3.0,0,2003,Year,Mangosuthu Technikon,,COLOURED,1.0 Professional Staff     -Sub-total
2,29.0,0,2003,Year,Mangosuthu Technikon,,INDIAN,1.0 Professional Staff     -Sub-total
3,106.0,0,2003,Year,Mangosuthu Technikon,,AFRICAN,1.0 Professional Staff     -Sub-total
4,0.0,0,2003,Year,Mangosuthu Technikon,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,175.0,0,2003,Year,Mangosuthu Technikon,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,123.0,0,2003,Year,Mangosuthu Technikon,MALE,,1.0 Professional Staff     -Sub-total
7,52.0,0,2003,Year,Mangosuthu Technikon,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2003,Year,Mangosuthu Technikon,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,32.0,0,2003,Year,Mangosuthu Technikon,,WHITE,   1.1 Instruction/Research Professional
10,2.0,0,2003,Year,Mangosuthu Technikon,,COLOURED,   1.1 Instruction/Research Professional
11,26.0,0,2003,Year,Mangosuthu Technikon,,INDIAN,   1.1 Instruction/Research Professional
12,87.0,0,2003,Year,Mangosuthu Technikon,,AFRICAN,   1.1 Instruction/Research Professional
13,0.0,0,2003,Year,Mangosuthu Technikon,,ALL OTHER,   1.1 Instruction/Research Professional
14,147.0,0,2003,Year,Mangosuthu Technikon,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,103.0,0,2003,Year,Mangosuthu Technikon,MALE,,   1.1 Instruction/Research Professional
16,44.0,0,2003,Year,Mangosuthu Technikon,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2003,Year,Mangosuthu Technikon,UNKNOWN,,   1.1 Instruction/Research Professional
18,4.0,0,2003,Year,Mangosuthu Technikon,,WHITE,   1.2 Executive/Administrative/Managerial Professionals
19,0.0,0,2003,Year,Mangosuthu Technikon,,COLOURED,   1.2 Executive/Administrative/Managerial Professionals
20,3.0,0,2003,Year,Mangosuthu Technikon,,INDIAN,   1.2 Executive/Administrative/Managerial Professionals
21,9.0,0,2003,Year,Mangosuthu Technikon,,AFRICAN,   1.2 Executive/Administrative/Managerial Professionals
22,0.0,0,2003,Year,Mangosuthu Technikon,,ALL OTHER,   1.2 Executive/Administrative/Managerial Professionals
23,16.0,0,2003,Year,Mangosuthu Technikon,TOTAL,TOTAL,   1.2 Executive/Administrative/Managerial Professionals
24,12.0,0,2003,Year,Mangosuthu Technikon,MALE,,   1.2 Executive/Administrative/Managerial Professionals
25,4.0,0,2003,Year,Mangosuthu Technikon,FEMALE,,   1.2 Executive/Administrative/Managerial Professionals
26,0.0,0,2003,Year,Mangosuthu Technikon,UNKNOWN,,   1.2 Executive/Administrative/Managerial Professionals
27,1.0,0,2003,Year,Mangosuthu Technikon,,WHITE,   1.3 Specialist/Support Professionals
28,1.0,0,2003,Year,Mangosuthu Technikon,,COLOURED,   1.3 Specialist/Support Professionals
29,0.0,0,2003,Year,Mangosuthu Technikon,,INDIAN,   1.3 Specialist/Support Professionals
30,10.0,0,2003,Year,Mangosuthu Technikon,,AFRICAN,   1.3 Specialist/Support Professionals
31,0.0,0,2003,Year,Mangosuthu Technikon,,ALL OTHER,   1.3 Specialist/Support Professionals
32,12.0,0,2003,Year,Mangosuthu Technikon,TOTAL,TOTAL,   1.3 Specialist/Support Professionals
33,8.0,0,2003,Year,Mangosuthu Technikon,MALE,,   1.3 Specialist/Support Professionals
34,4.0,0,2003,Year,Mangosuthu Technikon,FEMALE,,   1.3 Specialist/Support Professionals
35,0.0,0,2003,Year,Mangosuthu Technikon,UNKNOWN,,   1.3 Specialist/Support Professionals
36,14.0,0,2003,Year,Mangosuthu Technikon,,WHITE,2.0 Non-Professional Staff    -Sub-total
37,1.0,0,2003,Year,Mangosuthu Technikon,,COLOURED,2.0 Non-Professional Staff    -Sub-total
38,7.0,0,2003,Year,Mangosuthu Technikon,,INDIAN,2.0 Non-Professional Staff    -Sub-total
39,262.0,0,2003,Year,Mangosuthu Technikon,,AFRICAN,2.0 Non-Professional Staff    -Sub-total
40,0.0,0,2003,Year,Mangosuthu Technikon,,ALL OTHER,2.0 Non-Professional Staff    -Sub-total
41,284.0,0,2003,Year,Mangosuthu Technikon,TOTAL,TOTAL,2.0 Non-Professional Staff    -Sub-total
42,140.0,0,2003,Year,Mangosuthu Technikon,MALE,,2.0 Non-Professional Staff    -Sub-total
43,144.0,0,2003,Year,Mangosuthu Technikon,FEMALE,,2.0 Non-Professional Staff    -Sub-total
44,0.0,0,2003,Year,Mangosuthu Technikon,UNKNOWN,,2.0 Non-Professional Staff    -Sub-total
45,2.0,0,2003,Year,Mangosuthu Technikon,,WHITE,   2.1 Technical Employees
46,0.0,0,2003,Year,Mangosuthu Technikon,,COLOURED,   2.1 Technical Employees
47,3.0,0,2003,Year,Mangosuthu Technikon,,INDIAN,   2.1 Technical Employees
48,11.0,0,2003,Year,Mangosuthu Technikon,,AFRICAN,   2.1 Technical Employees
49,0.0,0,2003,Year,Mangosuthu Technikon,,ALL OTHER,   2.1 Technical Employees
50,16.0,0,2003,Year,Mangosuthu Technikon,TOTAL,TOTAL,   2.1 Technical Employees
51,13.0,0,2003,Year,Mangosuthu Technikon,MALE,,   2.1 Technical Employees
52,3.0,0,2003,Year,Mangosuthu Technikon,FEMALE,,   2.1 Technical Employees
53,0.0,0,2003,Year,Mangosuthu Technikon,UNKNOWN,,   2.1 Technical Employees
54,10.0,0,2003,Year,Mangosuthu Technikon,,WHITE,   2.2 Non-professional Administrative Employees
55,1.0,0,2003,Year,Mangosuthu Technikon,,COLOURED,   2.2 Non-professional Administrative Employees
56,4.0,0,2003,Year,Mangosuthu Technikon,,INDIAN,   2.2 Non-professional Administrative Employees
57,93.0,0,2003,Year,Mangosuthu Technikon,,AFRICAN,   2.2 Non-professional Administrative Employees
58,0.0,0,2003,Year,Mangosuthu Technikon,,ALL OTHER,   2.2 Non-professional Administrative Employees
59,108.0,0,2003,Year,Mangosuthu Technikon,TOTAL,TOTAL,   2.2 Non-professional Administrative Employees
60,48.0,0,2003,Year,Mangosuthu Technikon,MALE,,   2.2 Non-professional Administrative Employees
61,60.0,0,2003,Year,Mangosuthu Technikon,FEMALE,,   2.2 Non-professional Administrative Employees
62,0.0,0,2003,Year,Mangosuthu Technikon,UNKNOWN,,   2.2 Non-professional Administrative Employees
63,2.0,0,2003,Year,Mangosuthu Technikon,,WHITE,   2.3 Crafts/Trades Employees
