,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,66.0,0,2003,Year,Peninsula Technikon,,WHITE,1.0 Professional Staff     -Sub-total
1,194.0,0,2003,Year,Peninsula Technikon,,COLOURED,1.0 Professional Staff     -Sub-total
2,6.0,0,2003,Year,Peninsula Technikon,,INDIAN,1.0 Professional Staff     -Sub-total
3,17.0,0,2003,Year,Peninsula Technikon,,AFRICAN,1.0 Professional Staff     -Sub-total
4,4.0,0,2003,Year,Peninsula Technikon,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,287.0,0,2003,Year,Peninsula Technikon,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,195.0,0,2003,Year,Peninsula Technikon,MALE,,1.0 Professional Staff     -Sub-total
7,92.0,0,2003,Year,Peninsula Technikon,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2003,Year,Peninsula Technikon,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,59.0,0,2003,Year,Peninsula Technikon,,WHITE,   1.1 Instruction/Research Professional
10,135.0,0,2003,Year,Peninsula Technikon,,COLOURED,   1.1 Instruction/Research Professional
11,4.0,0,2003,Year,Peninsula Technikon,,INDIAN,   1.1 Instruction/Research Professional
12,12.0,0,2003,Year,Peninsula Technikon,,AFRICAN,   1.1 Instruction/Research Professional
13,4.0,0,2003,Year,Peninsula Technikon,,ALL OTHER,   1.1 Instruction/Research Professional
14,214.0,0,2003,Year,Peninsula Technikon,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,139.0,0,2003,Year,Peninsula Technikon,MALE,,   1.1 Instruction/Research Professional
16,75.0,0,2003,Year,Peninsula Technikon,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2003,Year,Peninsula Technikon,UNKNOWN,,   1.1 Instruction/Research Professional
18,5.0,0,2003,Year,Peninsula Technikon,,WHITE,   1.2 Executive/Administrative/Managerial Professionals
