,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,662.0,0,2003,Year,Pretoria Technikon,,WHITE,1.0 Professional Staff     -Sub-total
1,11.0,0,2003,Year,Pretoria Technikon,,COLOURED,1.0 Professional Staff     -Sub-total
2,16.0,0,2003,Year,Pretoria Technikon,,INDIAN,1.0 Professional Staff     -Sub-total
3,99.0,0,2003,Year,Pretoria Technikon,,AFRICAN,1.0 Professional Staff     -Sub-total
4,0.0,0,2003,Year,Pretoria Technikon,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,788.0,0,2003,Year,Pretoria Technikon,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,446.0,0,2003,Year,Pretoria Technikon,MALE,,1.0 Professional Staff     -Sub-total
7,342.0,0,2003,Year,Pretoria Technikon,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2003,Year,Pretoria Technikon,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,465.0,0,2003,Year,Pretoria Technikon,,WHITE,   1.1 Instruction/Research Professional
10,8.0,0,2003,Year,Pretoria Technikon,,COLOURED,   1.1 Instruction/Research Professional
11,11.0,0,2003,Year,Pretoria Technikon,,INDIAN,   1.1 Instruction/Research Professional
12,66.0,0,2003,Year,Pretoria Technikon,,AFRICAN,   1.1 Instruction/Research Professional
13,0.0,0,2003,Year,Pretoria Technikon,,ALL OTHER,   1.1 Instruction/Research Professional
14,550.0,0,2003,Year,Pretoria Technikon,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,322.0,0,2003,Year,Pretoria Technikon,MALE,,   1.1 Instruction/Research Professional
16,228.0,0,2003,Year,Pretoria Technikon,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2003,Year,Pretoria Technikon,UNKNOWN,,   1.1 Instruction/Research Professional
18,41.0,0,2003,Year,Pretoria Technikon,,WHITE,   1.2 Executive/Administrative/Managerial Professionals
19,3.0,0,2003,Year,Pretoria Technikon,,COLOURED,   1.2 Executive/Administrative/Managerial Professionals
20,0.0,0,2003,Year,Pretoria Technikon,,INDIAN,   1.2 Executive/Administrative/Managerial Professionals
21,7.0,0,2003,Year,Pretoria Technikon,,AFRICAN,   1.2 Executive/Administrative/Managerial Professionals
22,0.0,0,2003,Year,Pretoria Technikon,,ALL OTHER,   1.2 Executive/Administrative/Managerial Professionals
23,51.0,0,2003,Year,Pretoria Technikon,TOTAL,TOTAL,   1.2 Executive/Administrative/Managerial Professionals
24,41.0,0,2003,Year,Pretoria Technikon,MALE,,   1.2 Executive/Administrative/Managerial Professionals
