,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,453.0,0,2003,Year,Rand Afrikaans University,,WHITE,1.0 Professional Staff     -Sub-total
1,12.0,0,2003,Year,Rand Afrikaans University,,COLOURED,1.0 Professional Staff     -Sub-total
2,12.0,0,2003,Year,Rand Afrikaans University,,INDIAN,1.0 Professional Staff     -Sub-total
3,37.0,0,2003,Year,Rand Afrikaans University,,AFRICAN,1.0 Professional Staff     -Sub-total
4,0.0,0,2003,Year,Rand Afrikaans University,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,514.0,0,2003,Year,Rand Afrikaans University,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,294.0,0,2003,Year,Rand Afrikaans University,MALE,,1.0 Professional Staff     -Sub-total
7,220.0,0,2003,Year,Rand Afrikaans University,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2003,Year,Rand Afrikaans University,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,378.0,0,2003,Year,Rand Afrikaans University,,WHITE,   1.1 Instruction/Research Professional
10,9.0,0,2003,Year,Rand Afrikaans University,,COLOURED,   1.1 Instruction/Research Professional
11,11.0,0,2003,Year,Rand Afrikaans University,,INDIAN,   1.1 Instruction/Research Professional
12,34.0,0,2003,Year,Rand Afrikaans University,,AFRICAN,   1.1 Instruction/Research Professional
13,0.0,0,2003,Year,Rand Afrikaans University,,ALL OTHER,   1.1 Instruction/Research Professional
14,432.0,0,2003,Year,Rand Afrikaans University,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,249.0,0,2003,Year,Rand Afrikaans University,MALE,,   1.1 Instruction/Research Professional
16,183.0,0,2003,Year,Rand Afrikaans University,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2003,Year,Rand Afrikaans University,UNKNOWN,,   1.1 Instruction/Research Professional
18,38.0,0,2003,Year,Rand Afrikaans University,,WHITE,   1.2 Executive/Administrative/Managerial Professionals
19,2.0,0,2003,Year,Rand Afrikaans University,,COLOURED,   1.2 Executive/Administrative/Managerial Professionals
20,0.0,0,2003,Year,Rand Afrikaans University,,INDIAN,   1.2 Executive/Administrative/Managerial Professionals
21,2.0,0,2003,Year,Rand Afrikaans University,,AFRICAN,   1.2 Executive/Administrative/Managerial Professionals
22,0.0,0,2003,Year,Rand Afrikaans University,,ALL OTHER,   1.2 Executive/Administrative/Managerial Professionals
23,42.0,0,2003,Year,Rand Afrikaans University,TOTAL,TOTAL,   1.2 Executive/Administrative/Managerial Professionals
24,30.0,0,2003,Year,Rand Afrikaans University,MALE,,   1.2 Executive/Administrative/Managerial Professionals
25,12.0,0,2003,Year,Rand Afrikaans University,FEMALE,,   1.2 Executive/Administrative/Managerial Professionals
26,0.0,0,2003,Year,Rand Afrikaans University,UNKNOWN,,   1.2 Executive/Administrative/Managerial Professionals
27,37.0,0,2003,Year,Rand Afrikaans University,,WHITE,   1.3 Specialist/Support Professionals
28,1.0,0,2003,Year,Rand Afrikaans University,,COLOURED,   1.3 Specialist/Support Professionals
29,1.0,0,2003,Year,Rand Afrikaans University,,INDIAN,   1.3 Specialist/Support Professionals
30,1.0,0,2003,Year,Rand Afrikaans University,,AFRICAN,   1.3 Specialist/Support Professionals
