,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,263.0,0,2003,Year,Technikon SA,,WHITE,1.0 Professional Staff     -Sub-total
1,29.0,0,2003,Year,Technikon SA,,COLOURED,1.0 Professional Staff     -Sub-total
2,29.0,0,2003,Year,Technikon SA,,INDIAN,1.0 Professional Staff     -Sub-total
3,127.0,0,2003,Year,Technikon SA,,AFRICAN,1.0 Professional Staff     -Sub-total
4,0.0,0,2003,Year,Technikon SA,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,448.0,0,2003,Year,Technikon SA,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,232.0,0,2003,Year,Technikon SA,MALE,,1.0 Professional Staff     -Sub-total
7,216.0,0,2003,Year,Technikon SA,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2003,Year,Technikon SA,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,109.0,0,2003,Year,Technikon SA,,WHITE,   1.1 Instruction/Research Professional
10,4.0,0,2003,Year,Technikon SA,,COLOURED,   1.1 Instruction/Research Professional
11,14.0,0,2003,Year,Technikon SA,,INDIAN,   1.1 Instruction/Research Professional
12,49.0,0,2003,Year,Technikon SA,,AFRICAN,   1.1 Instruction/Research Professional
13,0.0,0,2003,Year,Technikon SA,,ALL OTHER,   1.1 Instruction/Research Professional
14,176.0,0,2003,Year,Technikon SA,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,99.0,0,2003,Year,Technikon SA,MALE,,   1.1 Instruction/Research Professional
16,77.0,0,2003,Year,Technikon SA,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2003,Year,Technikon SA,UNKNOWN,,   1.1 Instruction/Research Professional
18,50.0,0,2003,Year,Technikon SA,,WHITE,   1.2 Executive/Administrative/Managerial Professionals
19,12.0,0,2003,Year,Technikon SA,,COLOURED,   1.2 Executive/Administrative/Managerial Professionals
20,7.0,0,2003,Year,Technikon SA,,INDIAN,   1.2 Executive/Administrative/Managerial Professionals
21,23.0,0,2003,Year,Technikon SA,,AFRICAN,   1.2 Executive/Administrative/Managerial Professionals
22,0.0,0,2003,Year,Technikon SA,,ALL OTHER,   1.2 Executive/Administrative/Managerial Professionals
23,92.0,0,2003,Year,Technikon SA,TOTAL,TOTAL,   1.2 Executive/Administrative/Managerial Professionals
24,63.0,0,2003,Year,Technikon SA,MALE,,   1.2 Executive/Administrative/Managerial Professionals
25,29.0,0,2003,Year,Technikon SA,FEMALE,,   1.2 Executive/Administrative/Managerial Professionals
26,0.0,0,2003,Year,Technikon SA,UNKNOWN,,   1.2 Executive/Administrative/Managerial Professionals
27,104.0,0,2003,Year,Technikon SA,,WHITE,   1.3 Specialist/Support Professionals
28,13.0,0,2003,Year,Technikon SA,,COLOURED,   1.3 Specialist/Support Professionals
29,8.0,0,2003,Year,Technikon SA,,INDIAN,   1.3 Specialist/Support Professionals
30,55.0,0,2003,Year,Technikon SA,,AFRICAN,   1.3 Specialist/Support Professionals
31,0.0,0,2003,Year,Technikon SA,,ALL OTHER,   1.3 Specialist/Support Professionals
32,180.0,0,2003,Year,Technikon SA,TOTAL,TOTAL,   1.3 Specialist/Support Professionals
33,70.0,0,2003,Year,Technikon SA,MALE,,   1.3 Specialist/Support Professionals
34,110.0,0,2003,Year,Technikon SA,FEMALE,,   1.3 Specialist/Support Professionals
35,0.0,0,2003,Year,Technikon SA,UNKNOWN,,   1.3 Specialist/Support Professionals
36,267.0,0,2003,Year,Technikon SA,,WHITE,2.0 Non-Professional Staff    -Sub-total
37,76.0,0,2003,Year,Technikon SA,,COLOURED,2.0 Non-Professional Staff    -Sub-total
38,22.0,0,2003,Year,Technikon SA,,INDIAN,2.0 Non-Professional Staff    -Sub-total
39,293.0,0,2003,Year,Technikon SA,,AFRICAN,2.0 Non-Professional Staff    -Sub-total
40,0.0,0,2003,Year,Technikon SA,,ALL OTHER,2.0 Non-Professional Staff    -Sub-total
41,658.0,0,2003,Year,Technikon SA,TOTAL,TOTAL,2.0 Non-Professional Staff    -Sub-total
42,237.0,0,2003,Year,Technikon SA,MALE,,2.0 Non-Professional Staff    -Sub-total
43,421.0,0,2003,Year,Technikon SA,FEMALE,,2.0 Non-Professional Staff    -Sub-total
44,0.0,0,2003,Year,Technikon SA,UNKNOWN,,2.0 Non-Professional Staff    -Sub-total
45,27.0,0,2003,Year,Technikon SA,,WHITE,   2.1 Technical Employees
46,10.0,0,2003,Year,Technikon SA,,COLOURED,   2.1 Technical Employees
47,4.0,0,2003,Year,Technikon SA,,INDIAN,   2.1 Technical Employees
48,11.0,0,2003,Year,Technikon SA,,AFRICAN,   2.1 Technical Employees
49,0.0,0,2003,Year,Technikon SA,,ALL OTHER,   2.1 Technical Employees
50,52.0,0,2003,Year,Technikon SA,TOTAL,TOTAL,   2.1 Technical Employees
