,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,101.0,0,2003,Year,University of Fort Hare,,WHITE,1.0 Professional Staff     -Sub-total
1,18.0,0,2003,Year,University of Fort Hare,,COLOURED,1.0 Professional Staff     -Sub-total
2,11.0,0,2003,Year,University of Fort Hare,,INDIAN,1.0 Professional Staff     -Sub-total
3,225.0,0,2003,Year,University of Fort Hare,,AFRICAN,1.0 Professional Staff     -Sub-total
4,1.0,0,2003,Year,University of Fort Hare,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,356.0,0,2003,Year,University of Fort Hare,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,220.0,0,2003,Year,University of Fort Hare,MALE,,1.0 Professional Staff     -Sub-total
7,136.0,0,2003,Year,University of Fort Hare,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2003,Year,University of Fort Hare,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,63.0,0,2003,Year,University of Fort Hare,,WHITE,   1.1 Instruction/Research Professional
10,5.0,0,2003,Year,University of Fort Hare,,COLOURED,   1.1 Instruction/Research Professional
11,7.0,0,2003,Year,University of Fort Hare,,INDIAN,   1.1 Instruction/Research Professional
12,114.0,0,2003,Year,University of Fort Hare,,AFRICAN,   1.1 Instruction/Research Professional
13,1.0,0,2003,Year,University of Fort Hare,,ALL OTHER,   1.1 Instruction/Research Professional
14,190.0,0,2003,Year,University of Fort Hare,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,131.0,0,2003,Year,University of Fort Hare,MALE,,   1.1 Instruction/Research Professional
16,59.0,0,2003,Year,University of Fort Hare,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2003,Year,University of Fort Hare,UNKNOWN,,   1.1 Instruction/Research Professional
18,13.0,0,2003,Year,University of Fort Hare,,WHITE,   1.2 Executive/Administrative/Managerial Professionals
19,3.0,0,2003,Year,University of Fort Hare,,COLOURED,   1.2 Executive/Administrative/Managerial Professionals
20,1.0,0,2003,Year,University of Fort Hare,,INDIAN,   1.2 Executive/Administrative/Managerial Professionals
21,23.0,0,2003,Year,University of Fort Hare,,AFRICAN,   1.2 Executive/Administrative/Managerial Professionals
22,0.0,0,2003,Year,University of Fort Hare,,ALL OTHER,   1.2 Executive/Administrative/Managerial Professionals
23,40.0,0,2003,Year,University of Fort Hare,TOTAL,TOTAL,   1.2 Executive/Administrative/Managerial Professionals
24,28.0,0,2003,Year,University of Fort Hare,MALE,,   1.2 Executive/Administrative/Managerial Professionals
25,12.0,0,2003,Year,University of Fort Hare,FEMALE,,   1.2 Executive/Administrative/Managerial Professionals
26,0.0,0,2003,Year,University of Fort Hare,UNKNOWN,,   1.2 Executive/Administrative/Managerial Professionals
27,25.0,0,2003,Year,University of Fort Hare,,WHITE,   1.3 Specialist/Support Professionals
28,10.0,0,2003,Year,University of Fort Hare,,COLOURED,   1.3 Specialist/Support Professionals
29,3.0,0,2003,Year,University of Fort Hare,,INDIAN,   1.3 Specialist/Support Professionals
30,88.0,0,2003,Year,University of Fort Hare,,AFRICAN,   1.3 Specialist/Support Professionals
31,0.0,0,2003,Year,University of Fort Hare,,ALL OTHER,   1.3 Specialist/Support Professionals
32,126.0,0,2003,Year,University of Fort Hare,TOTAL,TOTAL,   1.3 Specialist/Support Professionals
33,61.0,0,2003,Year,University of Fort Hare,MALE,,   1.3 Specialist/Support Professionals
34,65.0,0,2003,Year,University of Fort Hare,FEMALE,,   1.3 Specialist/Support Professionals
35,0.0,0,2003,Year,University of Fort Hare,UNKNOWN,,   1.3 Specialist/Support Professionals
36,22.0,0,2003,Year,University of Fort Hare,,WHITE,2.0 Non-Professional Staff    -Sub-total
37,3.0,0,2003,Year,University of Fort Hare,,COLOURED,2.0 Non-Professional Staff    -Sub-total
38,1.0,0,2003,Year,University of Fort Hare,,INDIAN,2.0 Non-Professional Staff    -Sub-total
39,265.0,0,2003,Year,University of Fort Hare,,AFRICAN,2.0 Non-Professional Staff    -Sub-total
40,0.0,0,2003,Year,University of Fort Hare,,ALL OTHER,2.0 Non-Professional Staff    -Sub-total
41,291.0,0,2003,Year,University of Fort Hare,TOTAL,TOTAL,2.0 Non-Professional Staff    -Sub-total
42,151.0,0,2003,Year,University of Fort Hare,MALE,,2.0 Non-Professional Staff    -Sub-total
43,140.0,0,2003,Year,University of Fort Hare,FEMALE,,2.0 Non-Professional Staff    -Sub-total
44,0.0,0,2003,Year,University of Fort Hare,UNKNOWN,,2.0 Non-Professional Staff    -Sub-total
45,6.0,0,2003,Year,University of Fort Hare,,WHITE,   2.1 Technical Employees
46,0.0,0,2003,Year,University of Fort Hare,,COLOURED,   2.1 Technical Employees
47,1.0,0,2003,Year,University of Fort Hare,,INDIAN,   2.1 Technical Employees
48,51.0,0,2003,Year,University of Fort Hare,,AFRICAN,   2.1 Technical Employees
49,0.0,0,2003,Year,University of Fort Hare,,ALL OTHER,   2.1 Technical Employees
50,58.0,0,2003,Year,University of Fort Hare,TOTAL,TOTAL,   2.1 Technical Employees
51,31.0,0,2003,Year,University of Fort Hare,MALE,,   2.1 Technical Employees
52,27.0,0,2003,Year,University of Fort Hare,FEMALE,,   2.1 Technical Employees
53,0.0,0,2003,Year,University of Fort Hare,UNKNOWN,,   2.1 Technical Employees
54,16.0,0,2003,Year,University of Fort Hare,,WHITE,   2.2 Non-professional Administrative Employees
55,3.0,0,2003,Year,University of Fort Hare,,COLOURED,   2.2 Non-professional Administrative Employees
56,0.0,0,2003,Year,University of Fort Hare,,INDIAN,   2.2 Non-professional Administrative Employees
57,153.0,0,2003,Year,University of Fort Hare,,AFRICAN,   2.2 Non-professional Administrative Employees
58,0.0,0,2003,Year,University of Fort Hare,,ALL OTHER,   2.2 Non-professional Administrative Employees
59,172.0,0,2003,Year,University of Fort Hare,TOTAL,TOTAL,   2.2 Non-professional Administrative Employees
60,69.0,0,2003,Year,University of Fort Hare,MALE,,   2.2 Non-professional Administrative Employees
61,103.0,0,2003,Year,University of Fort Hare,FEMALE,,   2.2 Non-professional Administrative Employees
62,0.0,0,2003,Year,University of Fort Hare,UNKNOWN,,   2.2 Non-professional Administrative Employees
63,0.0,0,2003,Year,University of Fort Hare,,WHITE,   2.3 Crafts/Trades Employees
64,0.0,0,2003,Year,University of Fort Hare,,COLOURED,   2.3 Crafts/Trades Employees
65,0.0,0,2003,Year,University of Fort Hare,,INDIAN,   2.3 Crafts/Trades Employees
