,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,24.0,0,2003,Year,University of North West,,WHITE,1.0 Professional Staff     -Sub-total
1,3.0,0,2003,Year,University of North West,,COLOURED,1.0 Professional Staff     -Sub-total
2,16.0,0,2003,Year,University of North West,,INDIAN,1.0 Professional Staff     -Sub-total
3,184.0,0,2003,Year,University of North West,,AFRICAN,1.0 Professional Staff     -Sub-total
4,0.0,0,2003,Year,University of North West,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,227.0,0,2003,Year,University of North West,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,140.0,0,2003,Year,University of North West,MALE,,1.0 Professional Staff     -Sub-total
7,87.0,0,2003,Year,University of North West,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2003,Year,University of North West,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,18.0,0,2003,Year,University of North West,,WHITE,   1.1 Instruction/Research Professional
10,1.0,0,2003,Year,University of North West,,COLOURED,   1.1 Instruction/Research Professional
11,13.0,0,2003,Year,University of North West,,INDIAN,   1.1 Instruction/Research Professional
12,152.0,0,2003,Year,University of North West,,AFRICAN,   1.1 Instruction/Research Professional
13,0.0,0,2003,Year,University of North West,,ALL OTHER,   1.1 Instruction/Research Professional
14,184.0,0,2003,Year,University of North West,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,117.0,0,2003,Year,University of North West,MALE,,   1.1 Instruction/Research Professional
16,67.0,0,2003,Year,University of North West,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2003,Year,University of North West,UNKNOWN,,   1.1 Instruction/Research Professional
18,4.0,0,2003,Year,University of North West,,WHITE,   1.2 Executive/Administrative/Managerial Professionals
19,2.0,0,2003,Year,University of North West,,COLOURED,   1.2 Executive/Administrative/Managerial Professionals
20,1.0,0,2003,Year,University of North West,,INDIAN,   1.2 Executive/Administrative/Managerial Professionals
21,7.0,0,2003,Year,University of North West,,AFRICAN,   1.2 Executive/Administrative/Managerial Professionals
22,0.0,0,2003,Year,University of North West,,ALL OTHER,   1.2 Executive/Administrative/Managerial Professionals
23,14.0,0,2003,Year,University of North West,TOTAL,TOTAL,   1.2 Executive/Administrative/Managerial Professionals
24,10.0,0,2003,Year,University of North West,MALE,,   1.2 Executive/Administrative/Managerial Professionals
25,4.0,0,2003,Year,University of North West,FEMALE,,   1.2 Executive/Administrative/Managerial Professionals
26,0.0,0,2003,Year,University of North West,UNKNOWN,,   1.2 Executive/Administrative/Managerial Professionals
27,2.0,0,2003,Year,University of North West,,WHITE,   1.3 Specialist/Support Professionals
28,0.0,0,2003,Year,University of North West,,COLOURED,   1.3 Specialist/Support Professionals
29,2.0,0,2003,Year,University of North West,,INDIAN,   1.3 Specialist/Support Professionals
30,25.0,0,2003,Year,University of North West,,AFRICAN,   1.3 Specialist/Support Professionals
31,0.0,0,2003,Year,University of North West,,ALL OTHER,   1.3 Specialist/Support Professionals
32,29.0,0,2003,Year,University of North West,TOTAL,TOTAL,   1.3 Specialist/Support Professionals
33,13.0,0,2003,Year,University of North West,MALE,,   1.3 Specialist/Support Professionals
34,16.0,0,2003,Year,University of North West,FEMALE,,   1.3 Specialist/Support Professionals
35,0.0,0,2003,Year,University of North West,UNKNOWN,,   1.3 Specialist/Support Professionals
36,3.0,0,2003,Year,University of North West,,WHITE,2.0 Non-Professional Staff    -Sub-total
