,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,12.0,0,2003,Year,University of Transkei,,WHITE,1.0 Professional Staff     -Sub-total
1,0.0,0,2003,Year,University of Transkei,,COLOURED,1.0 Professional Staff     -Sub-total
2,20.0,0,2003,Year,University of Transkei,,INDIAN,1.0 Professional Staff     -Sub-total
3,143.0,0,2003,Year,University of Transkei,,AFRICAN,1.0 Professional Staff     -Sub-total
4,0.0,0,2003,Year,University of Transkei,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,175.0,0,2003,Year,University of Transkei,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,94.0,0,2003,Year,University of Transkei,MALE,,1.0 Professional Staff     -Sub-total
7,81.0,0,2003,Year,University of Transkei,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2003,Year,University of Transkei,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,12.0,0,2003,Year,University of Transkei,,WHITE,   1.1 Instruction/Research Professional
10,0.0,0,2003,Year,University of Transkei,,COLOURED,   1.1 Instruction/Research Professional
11,19.0,0,2003,Year,University of Transkei,,INDIAN,   1.1 Instruction/Research Professional
12,139.0,0,2003,Year,University of Transkei,,AFRICAN,   1.1 Instruction/Research Professional
13,0.0,0,2003,Year,University of Transkei,,ALL OTHER,   1.1 Instruction/Research Professional
14,170.0,0,2003,Year,University of Transkei,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,91.0,0,2003,Year,University of Transkei,MALE,,   1.1 Instruction/Research Professional
16,79.0,0,2003,Year,University of Transkei,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2003,Year,University of Transkei,UNKNOWN,,   1.1 Instruction/Research Professional
18,0.0,0,2003,Year,University of Transkei,,WHITE,   1.2 Executive/Administrative/Managerial Professionals
19,0.0,0,2003,Year,University of Transkei,,COLOURED,   1.2 Executive/Administrative/Managerial Professionals
20,1.0,0,2003,Year,University of Transkei,,INDIAN,   1.2 Executive/Administrative/Managerial Professionals
21,4.0,0,2003,Year,University of Transkei,,AFRICAN,   1.2 Executive/Administrative/Managerial Professionals
22,0.0,0,2003,Year,University of Transkei,,ALL OTHER,   1.2 Executive/Administrative/Managerial Professionals
23,5.0,0,2003,Year,University of Transkei,TOTAL,TOTAL,   1.2 Executive/Administrative/Managerial Professionals
24,3.0,0,2003,Year,University of Transkei,MALE,,   1.2 Executive/Administrative/Managerial Professionals
25,2.0,0,2003,Year,University of Transkei,FEMALE,,   1.2 Executive/Administrative/Managerial Professionals
26,0.0,0,2003,Year,University of Transkei,UNKNOWN,,   1.2 Executive/Administrative/Managerial Professionals
27,0.0,0,2003,Year,University of Transkei,,WHITE,   1.3 Specialist/Support Professionals
28,0.0,0,2003,Year,University of Transkei,,COLOURED,   1.3 Specialist/Support Professionals
29,0.0,0,2003,Year,University of Transkei,,INDIAN,   1.3 Specialist/Support Professionals
30,0.0,0,2003,Year,University of Transkei,,AFRICAN,   1.3 Specialist/Support Professionals
31,0.0,0,2003,Year,University of Transkei,,ALL OTHER,   1.3 Specialist/Support Professionals
32,0.0,0,2003,Year,University of Transkei,TOTAL,TOTAL,   1.3 Specialist/Support Professionals
33,0.0,0,2003,Year,University of Transkei,MALE,,   1.3 Specialist/Support Professionals
34,0.0,0,2003,Year,University of Transkei,FEMALE,,   1.3 Specialist/Support Professionals
35,0.0,0,2003,Year,University of Transkei,UNKNOWN,,   1.3 Specialist/Support Professionals
36,3.0,0,2003,Year,University of Transkei,,WHITE,2.0 Non-Professional Staff    -Sub-total
37,9.0,0,2003,Year,University of Transkei,,COLOURED,2.0 Non-Professional Staff    -Sub-total
38,4.0,0,2003,Year,University of Transkei,,INDIAN,2.0 Non-Professional Staff    -Sub-total
39,326.0,0,2003,Year,University of Transkei,,AFRICAN,2.0 Non-Professional Staff    -Sub-total
40,0.0,0,2003,Year,University of Transkei,,ALL OTHER,2.0 Non-Professional Staff    -Sub-total
41,342.0,0,2003,Year,University of Transkei,TOTAL,TOTAL,2.0 Non-Professional Staff    -Sub-total
42,156.0,0,2003,Year,University of Transkei,MALE,,2.0 Non-Professional Staff    -Sub-total
43,186.0,0,2003,Year,University of Transkei,FEMALE,,2.0 Non-Professional Staff    -Sub-total
44,0.0,0,2003,Year,University of Transkei,UNKNOWN,,2.0 Non-Professional Staff    -Sub-total
45,0.0,0,2003,Year,University of Transkei,,WHITE,   2.1 Technical Employees
46,1.0,0,2003,Year,University of Transkei,,COLOURED,   2.1 Technical Employees
47,0.0,0,2003,Year,University of Transkei,,INDIAN,   2.1 Technical Employees
48,0.0,0,2003,Year,University of Transkei,,AFRICAN,   2.1 Technical Employees
49,0.0,0,2003,Year,University of Transkei,,ALL OTHER,   2.1 Technical Employees
50,1.0,0,2003,Year,University of Transkei,TOTAL,TOTAL,   2.1 Technical Employees
51,1.0,0,2003,Year,University of Transkei,MALE,,   2.1 Technical Employees
52,0.0,0,2003,Year,University of Transkei,FEMALE,,   2.1 Technical Employees
53,0.0,0,2003,Year,University of Transkei,UNKNOWN,,   2.1 Technical Employees
54,3.0,0,2003,Year,University of Transkei,,WHITE,   2.2 Non-professional Administrative Employees
55,6.0,0,2003,Year,University of Transkei,,COLOURED,   2.2 Non-professional Administrative Employees
56,4.0,0,2003,Year,University of Transkei,,INDIAN,   2.2 Non-professional Administrative Employees
57,139.0,0,2003,Year,University of Transkei,,AFRICAN,   2.2 Non-professional Administrative Employees
58,0.0,0,2003,Year,University of Transkei,,ALL OTHER,   2.2 Non-professional Administrative Employees
59,152.0,0,2003,Year,University of Transkei,TOTAL,TOTAL,   2.2 Non-professional Administrative Employees
60,54.0,0,2003,Year,University of Transkei,MALE,,   2.2 Non-professional Administrative Employees
61,98.0,0,2003,Year,University of Transkei,FEMALE,,   2.2 Non-professional Administrative Employees
62,0.0,0,2003,Year,University of Transkei,UNKNOWN,,   2.2 Non-professional Administrative Employees
63,0.0,0,2003,Year,University of Transkei,,WHITE,   2.3 Crafts/Trades Employees
64,0.0,0,2003,Year,University of Transkei,,COLOURED,   2.3 Crafts/Trades Employees
65,0.0,0,2003,Year,University of Transkei,,INDIAN,   2.3 Crafts/Trades Employees
66,0.0,0,2003,Year,University of Transkei,,AFRICAN,   2.3 Crafts/Trades Employees
67,0.0,0,2003,Year,University of Transkei,,ALL OTHER,   2.3 Crafts/Trades Employees
68,0.0,0,2003,Year,University of Transkei,TOTAL,TOTAL,   2.3 Crafts/Trades Employees
69,0.0,0,2003,Year,University of Transkei,MALE,,   2.3 Crafts/Trades Employees
70,0.0,0,2003,Year,University of Transkei,FEMALE,,   2.3 Crafts/Trades Employees
71,0.0,0,2003,Year,University of Transkei,UNKNOWN,,   2.3 Crafts/Trades Employees
72,0.0,0,2003,Year,University of Transkei,,WHITE,   2.4 Service\Employees
73,2.0,0,2003,Year,University of Transkei,,COLOURED,   2.4 Service\Employees
74,0.0,0,2003,Year,University of Transkei,,INDIAN,   2.4 Service\Employees
75,187.0,0,2003,Year,University of Transkei,,AFRICAN,   2.4 Service\Employees
76,0.0,0,2003,Year,University of Transkei,,ALL OTHER,   2.4 Service\Employees
