,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,24.0,0,2004,Year,Eastern Cape Technikon,,WHITE,1.0 Professional Staff     -Sub-total
1,9.0,0,2004,Year,Eastern Cape Technikon,,COLOURED,1.0 Professional Staff     -Sub-total
2,9.0,0,2004,Year,Eastern Cape Technikon,,INDIAN,1.0 Professional Staff     -Sub-total
3,219.0,0,2004,Year,Eastern Cape Technikon,,AFRICAN,1.0 Professional Staff     -Sub-total
4,0.0,0,2004,Year,Eastern Cape Technikon,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,261.0,0,2004,Year,Eastern Cape Technikon,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,155.0,0,2004,Year,Eastern Cape Technikon,MALE,,1.0 Professional Staff     -Sub-total
7,106.0,0,2004,Year,Eastern Cape Technikon,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2004,Year,Eastern Cape Technikon,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,19.0,0,2004,Year,Eastern Cape Technikon,,WHITE,   1.1 Instruction/Research Professional
10,7.0,0,2004,Year,Eastern Cape Technikon,,COLOURED,   1.1 Instruction/Research Professional
11,9.0,0,2004,Year,Eastern Cape Technikon,,INDIAN,   1.1 Instruction/Research Professional
12,172.0,0,2004,Year,Eastern Cape Technikon,,AFRICAN,   1.1 Instruction/Research Professional
13,0.0,0,2004,Year,Eastern Cape Technikon,,ALL OTHER,   1.1 Instruction/Research Professional
14,207.0,0,2004,Year,Eastern Cape Technikon,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,126.0,0,2004,Year,Eastern Cape Technikon,MALE,,   1.1 Instruction/Research Professional
16,81.0,0,2004,Year,Eastern Cape Technikon,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2004,Year,Eastern Cape Technikon,UNKNOWN,,   1.1 Instruction/Research Professional
18,5.0,0,2004,Year,Eastern Cape Technikon,,WHITE,   1.2 Executive/Administrative/Managerial Professionals
19,2.0,0,2004,Year,Eastern Cape Technikon,,COLOURED,   1.2 Executive/Administrative/Managerial Professionals
20,0.0,0,2004,Year,Eastern Cape Technikon,,INDIAN,   1.2 Executive/Administrative/Managerial Professionals
21,15.0,0,2004,Year,Eastern Cape Technikon,,AFRICAN,   1.2 Executive/Administrative/Managerial Professionals
22,0.0,0,2004,Year,Eastern Cape Technikon,,ALL OTHER,   1.2 Executive/Administrative/Managerial Professionals
23,22.0,0,2004,Year,Eastern Cape Technikon,TOTAL,TOTAL,   1.2 Executive/Administrative/Managerial Professionals
24,16.0,0,2004,Year,Eastern Cape Technikon,MALE,,   1.2 Executive/Administrative/Managerial Professionals
25,6.0,0,2004,Year,Eastern Cape Technikon,FEMALE,,   1.2 Executive/Administrative/Managerial Professionals
26,0.0,0,2004,Year,Eastern Cape Technikon,UNKNOWN,,   1.2 Executive/Administrative/Managerial Professionals
27,0.0,0,2004,Year,Eastern Cape Technikon,,WHITE,   1.3 Specialist/Support Professionals
28,0.0,0,2004,Year,Eastern Cape Technikon,,COLOURED,   1.3 Specialist/Support Professionals
29,0.0,0,2004,Year,Eastern Cape Technikon,,INDIAN,   1.3 Specialist/Support Professionals
30,32.0,0,2004,Year,Eastern Cape Technikon,,AFRICAN,   1.3 Specialist/Support Professionals
31,0.0,0,2004,Year,Eastern Cape Technikon,,ALL OTHER,   1.3 Specialist/Support Professionals
32,32.0,0,2004,Year,Eastern Cape Technikon,TOTAL,TOTAL,   1.3 Specialist/Support Professionals
33,13.0,0,2004,Year,Eastern Cape Technikon,MALE,,   1.3 Specialist/Support Professionals
34,19.0,0,2004,Year,Eastern Cape Technikon,FEMALE,,   1.3 Specialist/Support Professionals
35,0.0,0,2004,Year,Eastern Cape Technikon,UNKNOWN,,   1.3 Specialist/Support Professionals
36,6.0,0,2004,Year,Eastern Cape Technikon,,WHITE,2.0 Non-Professional Staff    -Sub-total
37,7.0,0,2004,Year,Eastern Cape Technikon,,COLOURED,2.0 Non-Professional Staff    -Sub-total
38,2.0,0,2004,Year,Eastern Cape Technikon,,INDIAN,2.0 Non-Professional Staff    -Sub-total
39,132.0,0,2004,Year,Eastern Cape Technikon,,AFRICAN,2.0 Non-Professional Staff    -Sub-total
40,0.0,0,2004,Year,Eastern Cape Technikon,,ALL OTHER,2.0 Non-Professional Staff    -Sub-total
41,147.0,0,2004,Year,Eastern Cape Technikon,TOTAL,TOTAL,2.0 Non-Professional Staff    -Sub-total
42,72.0,0,2004,Year,Eastern Cape Technikon,MALE,,2.0 Non-Professional Staff    -Sub-total
43,75.0,0,2004,Year,Eastern Cape Technikon,FEMALE,,2.0 Non-Professional Staff    -Sub-total
44,0.0,0,2004,Year,Eastern Cape Technikon,UNKNOWN,,2.0 Non-Professional Staff    -Sub-total
45,2.0,0,2004,Year,Eastern Cape Technikon,,WHITE,   2.1 Technical Employees
