,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,240.0,0,2004,Year,Technikon Free State,,WHITE,1.0 Professional Staff     -Sub-total
1,15.0,0,2004,Year,Technikon Free State,,COLOURED,1.0 Professional Staff     -Sub-total
2,2.0,0,2004,Year,Technikon Free State,,INDIAN,1.0 Professional Staff     -Sub-total
3,88.0,0,2004,Year,Technikon Free State,,AFRICAN,1.0 Professional Staff     -Sub-total
4,0.0,0,2004,Year,Technikon Free State,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,345.0,0,2004,Year,Technikon Free State,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,198.0,0,2004,Year,Technikon Free State,MALE,,1.0 Professional Staff     -Sub-total
7,147.0,0,2004,Year,Technikon Free State,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2004,Year,Technikon Free State,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,149.0,0,2004,Year,Technikon Free State,,WHITE,   1.1 Instruction/Research Professional
10,5.0,0,2004,Year,Technikon Free State,,COLOURED,   1.1 Instruction/Research Professional
11,1.0,0,2004,Year,Technikon Free State,,INDIAN,   1.1 Instruction/Research Professional
12,47.0,0,2004,Year,Technikon Free State,,AFRICAN,   1.1 Instruction/Research Professional
13,0.0,0,2004,Year,Technikon Free State,,ALL OTHER,   1.1 Instruction/Research Professional
14,202.0,0,2004,Year,Technikon Free State,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,122.0,0,2004,Year,Technikon Free State,MALE,,   1.1 Instruction/Research Professional
16,80.0,0,2004,Year,Technikon Free State,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2004,Year,Technikon Free State,UNKNOWN,,   1.1 Instruction/Research Professional
18,35.0,0,2004,Year,Technikon Free State,,WHITE,   1.2 Executive/Administrative/Managerial Professionals
19,6.0,0,2004,Year,Technikon Free State,,COLOURED,   1.2 Executive/Administrative/Managerial Professionals
20,0.0,0,2004,Year,Technikon Free State,,INDIAN,   1.2 Executive/Administrative/Managerial Professionals
21,8.0,0,2004,Year,Technikon Free State,,AFRICAN,   1.2 Executive/Administrative/Managerial Professionals
