,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,12433.0,0,2005,Year,National,,WHITE,1.0 Professional Staff     -Sub-total
1,1159.0,0,2005,Year,National,,COLOURED,1.0 Professional Staff     -Sub-total
2,1545.0,0,2005,Year,National,,INDIAN,1.0 Professional Staff     -Sub-total
3,4876.0,0,2005,Year,National,,AFRICAN,1.0 Professional Staff     -Sub-total
4,59.0,0,2005,Year,National,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,20072.0,0,2005,Year,National,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,11451.0,0,2005,Year,National,MALE,,1.0 Professional Staff     -Sub-total
7,8621.0,0,2005,Year,National,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2005,Year,National,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,9624.0,0,2005,Year,National,,WHITE,   1.1 Instruction/Research Professional
10,786.0,0,2005,Year,National,,COLOURED,   1.1 Instruction/Research Professional
11,1230.0,0,2005,Year,National,,INDIAN,   1.1 Instruction/Research Professional
12,3606.0,0,2005,Year,National,,AFRICAN,   1.1 Instruction/Research Professional
13,56.0,0,2005,Year,National,,ALL OTHER,   1.1 Instruction/Research Professional
14,15302.0,0,2005,Year,National,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,8956.0,0,2005,Year,National,MALE,,   1.1 Instruction/Research Professional
16,6346.0,0,2005,Year,National,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2005,Year,National,UNKNOWN,,   1.1 Instruction/Research Professional
18,913.0,0,2005,Year,National,,WHITE,   1.2 Executive/Administrative/Managerial Professionals
19,125.0,0,2005,Year,National,,COLOURED,   1.2 Executive/Administrative/Managerial Professionals
20,101.0,0,2005,Year,National,,INDIAN,   1.2 Executive/Administrative/Managerial Professionals
21,334.0,0,2005,Year,National,,AFRICAN,   1.2 Executive/Administrative/Managerial Professionals
22,1.0,0,2005,Year,National,,ALL OTHER,   1.2 Executive/Administrative/Managerial Professionals
23,1474.0,0,2005,Year,National,TOTAL,TOTAL,   1.2 Executive/Administrative/Managerial Professionals
24,1045.0,0,2005,Year,National,MALE,,   1.2 Executive/Administrative/Managerial Professionals
25,429.0,0,2005,Year,National,FEMALE,,   1.2 Executive/Administrative/Managerial Professionals
26,0.0,0,2005,Year,National,UNKNOWN,,   1.2 Executive/Administrative/Managerial Professionals
27,1896.0,0,2005,Year,National,,WHITE,   1.3 Specialist/Support Professionals
28,248.0,0,2005,Year,National,,COLOURED,   1.3 Specialist/Support Professionals
29,214.0,0,2005,Year,National,,INDIAN,   1.3 Specialist/Support Professionals
30,936.0,0,2005,Year,National,,AFRICAN,   1.3 Specialist/Support Professionals
31,2.0,0,2005,Year,National,,ALL OTHER,   1.3 Specialist/Support Professionals
32,3296.0,0,2005,Year,National,TOTAL,TOTAL,   1.3 Specialist/Support Professionals
33,1450.0,0,2005,Year,National,MALE,,   1.3 Specialist/Support Professionals
34,1846.0,0,2005,Year,National,FEMALE,,   1.3 Specialist/Support Professionals
35,0.0,0,2005,Year,National,UNKNOWN,,   1.3 Specialist/Support Professionals
