,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,712.0,0,2005,Year,Tshwane University of Technology,,WHITE,1.0 Professional Staff     -Sub-total
1,14.0,0,2005,Year,Tshwane University of Technology,,COLOURED,1.0 Professional Staff     -Sub-total
2,38.0,0,2005,Year,Tshwane University of Technology,,INDIAN,1.0 Professional Staff     -Sub-total
3,356.0,0,2005,Year,Tshwane University of Technology,,AFRICAN,1.0 Professional Staff     -Sub-total
4,0.0,0,2005,Year,Tshwane University of Technology,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,1120.0,0,2005,Year,Tshwane University of Technology,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,669.0,0,2005,Year,Tshwane University of Technology,MALE,,1.0 Professional Staff     -Sub-total
7,451.0,0,2005,Year,Tshwane University of Technology,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2005,Year,Tshwane University of Technology,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,541.0,0,2005,Year,Tshwane University of Technology,,WHITE,   1.1 Instruction/Research Professional
10,11.0,0,2005,Year,Tshwane University of Technology,,COLOURED,   1.1 Instruction/Research Professional
11,31.0,0,2005,Year,Tshwane University of Technology,,INDIAN,   1.1 Instruction/Research Professional
12,297.0,0,2005,Year,Tshwane University of Technology,,AFRICAN,   1.1 Instruction/Research Professional
13,0.0,0,2005,Year,Tshwane University of Technology,,ALL OTHER,   1.1 Instruction/Research Professional
14,880.0,0,2005,Year,Tshwane University of Technology,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,533.0,0,2005,Year,Tshwane University of Technology,MALE,,   1.1 Instruction/Research Professional
16,347.0,0,2005,Year,Tshwane University of Technology,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2005,Year,Tshwane University of Technology,UNKNOWN,,   1.1 Instruction/Research Professional
18,47.0,0,2005,Year,Tshwane University of Technology,,WHITE,   1.2 Executive/Administrative/Managerial Professionals
19,2.0,0,2005,Year,Tshwane University of Technology,,COLOURED,   1.2 Executive/Administrative/Managerial Professionals
20,5.0,0,2005,Year,Tshwane University of Technology,,INDIAN,   1.2 Executive/Administrative/Managerial Professionals
21,27.0,0,2005,Year,Tshwane University of Technology,,AFRICAN,   1.2 Executive/Administrative/Managerial Professionals
22,0.0,0,2005,Year,Tshwane University of Technology,,ALL OTHER,   1.2 Executive/Administrative/Managerial Professionals
23,81.0,0,2005,Year,Tshwane University of Technology,TOTAL,TOTAL,   1.2 Executive/Administrative/Managerial Professionals
24,61.0,0,2005,Year,Tshwane University of Technology,MALE,,   1.2 Executive/Administrative/Managerial Professionals
