,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,729.0,0,2005,Year,University of Cape Town,,WHITE,1.0 Professional Staff     -Sub-total
1,109.0,0,2005,Year,University of Cape Town,,COLOURED,1.0 Professional Staff     -Sub-total
2,49.0,0,2005,Year,University of Cape Town,,INDIAN,1.0 Professional Staff     -Sub-total
3,81.0,0,2005,Year,University of Cape Town,,AFRICAN,1.0 Professional Staff     -Sub-total
4,48.0,0,2005,Year,University of Cape Town,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,1016.0,0,2005,Year,University of Cape Town,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,626.0,0,2005,Year,University of Cape Town,MALE,,1.0 Professional Staff     -Sub-total
7,390.0,0,2005,Year,University of Cape Town,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2005,Year,University of Cape Town,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,608.0,0,2005,Year,University of Cape Town,,WHITE,   1.1 Instruction/Research Professional
10,72.0,0,2005,Year,University of Cape Town,,COLOURED,   1.1 Instruction/Research Professional
11,40.0,0,2005,Year,University of Cape Town,,INDIAN,   1.1 Instruction/Research Professional
12,64.0,0,2005,Year,University of Cape Town,,AFRICAN,   1.1 Instruction/Research Professional
13,45.0,0,2005,Year,University of Cape Town,,ALL OTHER,   1.1 Instruction/Research Professional
14,829.0,0,2005,Year,University of Cape Town,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,538.0,0,2005,Year,University of Cape Town,MALE,,   1.1 Instruction/Research Professional
16,291.0,0,2005,Year,University of Cape Town,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2005,Year,University of Cape Town,UNKNOWN,,   1.1 Instruction/Research Professional
18,36.0,0,2005,Year,University of Cape Town,,WHITE,   1.2 Executive/Administrative/Managerial Professionals
19,1.0,0,2005,Year,University of Cape Town,,COLOURED,   1.2 Executive/Administrative/Managerial Professionals
20,6.0,0,2005,Year,University of Cape Town,,INDIAN,   1.2 Executive/Administrative/Managerial Professionals
21,3.0,0,2005,Year,University of Cape Town,,AFRICAN,   1.2 Executive/Administrative/Managerial Professionals
22,1.0,0,2005,Year,University of Cape Town,,ALL OTHER,   1.2 Executive/Administrative/Managerial Professionals
23,47.0,0,2005,Year,University of Cape Town,TOTAL,TOTAL,   1.2 Executive/Administrative/Managerial Professionals
24,29.0,0,2005,Year,University of Cape Town,MALE,,   1.2 Executive/Administrative/Managerial Professionals
25,18.0,0,2005,Year,University of Cape Town,FEMALE,,   1.2 Executive/Administrative/Managerial Professionals
26,0.0,0,2005,Year,University of Cape Town,UNKNOWN,,   1.2 Executive/Administrative/Managerial Professionals
27,85.0,0,2005,Year,University of Cape Town,,WHITE,   1.3 Specialist/Support Professionals
28,36.0,0,2005,Year,University of Cape Town,,COLOURED,   1.3 Specialist/Support Professionals
29,3.0,0,2005,Year,University of Cape Town,,INDIAN,   1.3 Specialist/Support Professionals
30,14.0,0,2005,Year,University of Cape Town,,AFRICAN,   1.3 Specialist/Support Professionals
31,2.0,0,2005,Year,University of Cape Town,,ALL OTHER,   1.3 Specialist/Support Professionals
32,140.0,0,2005,Year,University of Cape Town,TOTAL,TOTAL,   1.3 Specialist/Support Professionals
33,59.0,0,2005,Year,University of Cape Town,MALE,,   1.3 Specialist/Support Professionals
34,81.0,0,2005,Year,University of Cape Town,FEMALE,,   1.3 Specialist/Support Professionals
35,0.0,0,2005,Year,University of Cape Town,UNKNOWN,,   1.3 Specialist/Support Professionals
36,477.0,0,2005,Year,University of Cape Town,,WHITE,2.0 Non-Professional Staff    -Sub-total
37,799.0,0,2005,Year,University of Cape Town,,COLOURED,2.0 Non-Professional Staff    -Sub-total
38,55.0,0,2005,Year,University of Cape Town,,INDIAN,2.0 Non-Professional Staff    -Sub-total
39,205.0,0,2005,Year,University of Cape Town,,AFRICAN,2.0 Non-Professional Staff    -Sub-total
40,42.0,0,2005,Year,University of Cape Town,,ALL OTHER,2.0 Non-Professional Staff    -Sub-total
41,1578.0,0,2005,Year,University of Cape Town,TOTAL,TOTAL,2.0 Non-Professional Staff    -Sub-total
42,599.0,0,2005,Year,University of Cape Town,MALE,,2.0 Non-Professional Staff    -Sub-total
43,979.0,0,2005,Year,University of Cape Town,FEMALE,,2.0 Non-Professional Staff    -Sub-total
44,0.0,0,2005,Year,University of Cape Town,UNKNOWN,,2.0 Non-Professional Staff    -Sub-total
45,113.0,0,2005,Year,University of Cape Town,,WHITE,   2.1 Technical Employees
46,49.0,0,2005,Year,University of Cape Town,,COLOURED,   2.1 Technical Employees
47,6.0,0,2005,Year,University of Cape Town,,INDIAN,   2.1 Technical Employees
48,15.0,0,2005,Year,University of Cape Town,,AFRICAN,   2.1 Technical Employees
49,9.0,0,2005,Year,University of Cape Town,,ALL OTHER,   2.1 Technical Employees
50,192.0,0,2005,Year,University of Cape Town,TOTAL,TOTAL,   2.1 Technical Employees
51,105.0,0,2005,Year,University of Cape Town,MALE,,   2.1 Technical Employees
52,87.0,0,2005,Year,University of Cape Town,FEMALE,,   2.1 Technical Employees
53,0.0,0,2005,Year,University of Cape Town,UNKNOWN,,   2.1 Technical Employees
54,355.0,0,2005,Year,University of Cape Town,,WHITE,   2.2 Non-professional Administrative Employees
55,525.0,0,2005,Year,University of Cape Town,,COLOURED,   2.2 Non-professional Administrative Employees
56,47.0,0,2005,Year,University of Cape Town,,INDIAN,   2.2 Non-professional Administrative Employees
57,142.0,0,2005,Year,University of Cape Town,,AFRICAN,   2.2 Non-professional Administrative Employees
58,29.0,0,2005,Year,University of Cape Town,,ALL OTHER,   2.2 Non-professional Administrative Employees
59,1098.0,0,2005,Year,University of Cape Town,TOTAL,TOTAL,   2.2 Non-professional Administrative Employees
60,282.0,0,2005,Year,University of Cape Town,MALE,,   2.2 Non-professional Administrative Employees
61,816.0,0,2005,Year,University of Cape Town,FEMALE,,   2.2 Non-professional Administrative Employees
62,0.0,0,2005,Year,University of Cape Town,UNKNOWN,,   2.2 Non-professional Administrative Employees
63,2.0,0,2005,Year,University of Cape Town,,WHITE,   2.3 Crafts/Trades Employees
64,29.0,0,2005,Year,University of Cape Town,,COLOURED,   2.3 Crafts/Trades Employees
65,0.0,0,2005,Year,University of Cape Town,,INDIAN,   2.3 Crafts/Trades Employees
66,3.0,0,2005,Year,University of Cape Town,,AFRICAN,   2.3 Crafts/Trades Employees
67,1.0,0,2005,Year,University of Cape Town,,ALL OTHER,   2.3 Crafts/Trades Employees
68,35.0,0,2005,Year,University of Cape Town,TOTAL,TOTAL,   2.3 Crafts/Trades Employees
69,35.0,0,2005,Year,University of Cape Town,MALE,,   2.3 Crafts/Trades Employees
70,0.0,0,2005,Year,University of Cape Town,FEMALE,,   2.3 Crafts/Trades Employees
71,0.0,0,2005,Year,University of Cape Town,UNKNOWN,,   2.3 Crafts/Trades Employees
72,7.0,0,2005,Year,University of Cape Town,,WHITE,   2.4 Service\Employees
73,196.0,0,2005,Year,University of Cape Town,,COLOURED,   2.4 Service\Employees
74,2.0,0,2005,Year,University of Cape Town,,INDIAN,   2.4 Service\Employees
75,45.0,0,2005,Year,University of Cape Town,,AFRICAN,   2.4 Service\Employees
76,3.0,0,2005,Year,University of Cape Town,,ALL OTHER,   2.4 Service\Employees
77,253.0,0,2005,Year,University of Cape Town,TOTAL,TOTAL,   2.4 Service\Employees
78,177.0,0,2005,Year,University of Cape Town,MALE,,   2.4 Service\Employees
79,76.0,0,2005,Year,University of Cape Town,FEMALE,,   2.4 Service\Employees
80,0.0,0,2005,Year,University of Cape Town,UNKNOWN,,   2.4 Service\Employees
81,0.0,0,2005,Year,University of Cape Town,,WHITE,3.0 Unknown
82,0.0,0,2005,Year,University of Cape Town,,COLOURED,3.0 Unknown
83,0.0,0,2005,Year,University of Cape Town,,INDIAN,3.0 Unknown
84,0.0,0,2005,Year,University of Cape Town,,AFRICAN,3.0 Unknown
85,0.0,0,2005,Year,University of Cape Town,,ALL OTHER,3.0 Unknown
86,0.0,0,2005,Year,University of Cape Town,TOTAL,TOTAL,3.0 Unknown
87,0.0,0,2005,Year,University of Cape Town,MALE,,3.0 Unknown
88,0.0,0,2005,Year,University of Cape Town,FEMALE,,3.0 Unknown
89,0.0,0,2005,Year,University of Cape Town,UNKNOWN,,3.0 Unknown
90,1206.0,0,2005,Year,University of Cape Town,,WHITE,9.9 TOTAL
91,908.0,0,2005,Year,University of Cape Town,,COLOURED,9.9 TOTAL
92,104.0,0,2005,Year,University of Cape Town,,INDIAN,9.9 TOTAL
93,286.0,0,2005,Year,University of Cape Town,,AFRICAN,9.9 TOTAL
94,90.0,0,2005,Year,University of Cape Town,,ALL OTHER,9.9 TOTAL
95,2594.0,0,2005,Year,University of Cape Town,TOTAL,TOTAL,9.9 TOTAL
96,1225.0,0,2005,Year,University of Cape Town,MALE,,9.9 TOTAL
97,1369.0,0,2005,Year,University of Cape Town,FEMALE,,9.9 TOTAL
98,0.0,0,2005,Year,University of Cape Town,UNKNOWN,,9.9 TOTAL
