,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,855.0,0,2005,Year,University of Johannesburg,,WHITE,1.0 Professional Staff     -Sub-total
1,38.0,0,2005,Year,University of Johannesburg,,COLOURED,1.0 Professional Staff     -Sub-total
2,64.0,0,2005,Year,University of Johannesburg,,INDIAN,1.0 Professional Staff     -Sub-total
3,243.0,0,2005,Year,University of Johannesburg,,AFRICAN,1.0 Professional Staff     -Sub-total
4,0.0,0,2005,Year,University of Johannesburg,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,1200.0,0,2005,Year,University of Johannesburg,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,699.0,0,2005,Year,University of Johannesburg,MALE,,1.0 Professional Staff     -Sub-total
7,501.0,0,2005,Year,University of Johannesburg,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2005,Year,University of Johannesburg,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,655.0,0,2005,Year,University of Johannesburg,,WHITE,   1.1 Instruction/Research Professional
10,24.0,0,2005,Year,University of Johannesburg,,COLOURED,   1.1 Instruction/Research Professional
11,44.0,0,2005,Year,University of Johannesburg,,INDIAN,   1.1 Instruction/Research Professional
12,194.0,0,2005,Year,University of Johannesburg,,AFRICAN,   1.1 Instruction/Research Professional
13,0.0,0,2005,Year,University of Johannesburg,,ALL OTHER,   1.1 Instruction/Research Professional
14,917.0,0,2005,Year,University of Johannesburg,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,540.0,0,2005,Year,University of Johannesburg,MALE,,   1.1 Instruction/Research Professional
16,377.0,0,2005,Year,University of Johannesburg,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2005,Year,University of Johannesburg,UNKNOWN,,   1.1 Instruction/Research Professional
18,23.0,0,2005,Year,University of Johannesburg,,WHITE,   1.2 Executive/Administrative/Managerial Professionals
19,1.0,0,2005,Year,University of Johannesburg,,COLOURED,   1.2 Executive/Administrative/Managerial Professionals
20,1.0,0,2005,Year,University of Johannesburg,,INDIAN,   1.2 Executive/Administrative/Managerial Professionals
21,5.0,0,2005,Year,University of Johannesburg,,AFRICAN,   1.2 Executive/Administrative/Managerial Professionals
22,0.0,0,2005,Year,University of Johannesburg,,ALL OTHER,   1.2 Executive/Administrative/Managerial Professionals
23,30.0,0,2005,Year,University of Johannesburg,TOTAL,TOTAL,   1.2 Executive/Administrative/Managerial Professionals
24,21.0,0,2005,Year,University of Johannesburg,MALE,,   1.2 Executive/Administrative/Managerial Professionals
25,9.0,0,2005,Year,University of Johannesburg,FEMALE,,   1.2 Executive/Administrative/Managerial Professionals
