,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,29.0,0,2005,Year,University of Venda,,WHITE,1.0 Professional Staff     -Sub-total
1,1.0,0,2005,Year,University of Venda,,COLOURED,1.0 Professional Staff     -Sub-total
2,7.0,0,2005,Year,University of Venda,,INDIAN,1.0 Professional Staff     -Sub-total
3,294.0,0,2005,Year,University of Venda,,AFRICAN,1.0 Professional Staff     -Sub-total
4,0.0,0,2005,Year,University of Venda,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,331.0,0,2005,Year,University of Venda,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,235.0,0,2005,Year,University of Venda,MALE,,1.0 Professional Staff     -Sub-total
7,96.0,0,2005,Year,University of Venda,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2005,Year,University of Venda,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,27.0,0,2005,Year,University of Venda,,WHITE,   1.1 Instruction/Research Professional
10,0.0,0,2005,Year,University of Venda,,COLOURED,   1.1 Instruction/Research Professional
11,6.0,0,2005,Year,University of Venda,,INDIAN,   1.1 Instruction/Research Professional
12,235.0,0,2005,Year,University of Venda,,AFRICAN,   1.1 Instruction/Research Professional
13,0.0,0,2005,Year,University of Venda,,ALL OTHER,   1.1 Instruction/Research Professional
14,268.0,0,2005,Year,University of Venda,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,188.0,0,2005,Year,University of Venda,MALE,,   1.1 Instruction/Research Professional
16,80.0,0,2005,Year,University of Venda,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2005,Year,University of Venda,UNKNOWN,,   1.1 Instruction/Research Professional
18,2.0,0,2005,Year,University of Venda,,WHITE,   1.2 Executive/Administrative/Managerial Professionals
19,0.0,0,2005,Year,University of Venda,,COLOURED,   1.2 Executive/Administrative/Managerial Professionals
20,0.0,0,2005,Year,University of Venda,,INDIAN,   1.2 Executive/Administrative/Managerial Professionals
21,22.0,0,2005,Year,University of Venda,,AFRICAN,   1.2 Executive/Administrative/Managerial Professionals
22,0.0,0,2005,Year,University of Venda,,ALL OTHER,   1.2 Executive/Administrative/Managerial Professionals
23,24.0,0,2005,Year,University of Venda,TOTAL,TOTAL,   1.2 Executive/Administrative/Managerial Professionals
24,19.0,0,2005,Year,University of Venda,MALE,,   1.2 Executive/Administrative/Managerial Professionals
25,5.0,0,2005,Year,University of Venda,FEMALE,,   1.2 Executive/Administrative/Managerial Professionals
26,0.0,0,2005,Year,University of Venda,UNKNOWN,,   1.2 Executive/Administrative/Managerial Professionals
27,0.0,0,2005,Year,University of Venda,,WHITE,   1.3 Specialist/Support Professionals
28,1.0,0,2005,Year,University of Venda,,COLOURED,   1.3 Specialist/Support Professionals
29,1.0,0,2005,Year,University of Venda,,INDIAN,   1.3 Specialist/Support Professionals
30,37.0,0,2005,Year,University of Venda,,AFRICAN,   1.3 Specialist/Support Professionals
31,0.0,0,2005,Year,University of Venda,,ALL OTHER,   1.3 Specialist/Support Professionals
32,39.0,0,2005,Year,University of Venda,TOTAL,TOTAL,   1.3 Specialist/Support Professionals
33,28.0,0,2005,Year,University of Venda,MALE,,   1.3 Specialist/Support Professionals
34,11.0,0,2005,Year,University of Venda,FEMALE,,   1.3 Specialist/Support Professionals
35,0.0,0,2005,Year,University of Venda,UNKNOWN,,   1.3 Specialist/Support Professionals
36,4.0,0,2005,Year,University of Venda,,WHITE,2.0 Non-Professional Staff    -Sub-total
37,0.0,0,2005,Year,University of Venda,,COLOURED,2.0 Non-Professional Staff    -Sub-total
38,0.0,0,2005,Year,University of Venda,,INDIAN,2.0 Non-Professional Staff    -Sub-total
39,417.0,0,2005,Year,University of Venda,,AFRICAN,2.0 Non-Professional Staff    -Sub-total
40,0.0,0,2005,Year,University of Venda,,ALL OTHER,2.0 Non-Professional Staff    -Sub-total
41,421.0,0,2005,Year,University of Venda,TOTAL,TOTAL,2.0 Non-Professional Staff    -Sub-total
42,197.0,0,2005,Year,University of Venda,MALE,,2.0 Non-Professional Staff    -Sub-total
43,224.0,0,2005,Year,University of Venda,FEMALE,,2.0 Non-Professional Staff    -Sub-total
44,0.0,0,2005,Year,University of Venda,UNKNOWN,,2.0 Non-Professional Staff    -Sub-total
45,1.0,0,2005,Year,University of Venda,,WHITE,   2.1 Technical Employees
46,0.0,0,2005,Year,University of Venda,,COLOURED,   2.1 Technical Employees
47,0.0,0,2005,Year,University of Venda,,INDIAN,   2.1 Technical Employees
48,27.0,0,2005,Year,University of Venda,,AFRICAN,   2.1 Technical Employees
49,0.0,0,2005,Year,University of Venda,,ALL OTHER,   2.1 Technical Employees
50,28.0,0,2005,Year,University of Venda,TOTAL,TOTAL,   2.1 Technical Employees
51,21.0,0,2005,Year,University of Venda,MALE,,   2.1 Technical Employees
52,7.0,0,2005,Year,University of Venda,FEMALE,,   2.1 Technical Employees
53,0.0,0,2005,Year,University of Venda,UNKNOWN,,   2.1 Technical Employees
54,3.0,0,2005,Year,University of Venda,,WHITE,   2.2 Non-professional Administrative Employees
55,0.0,0,2005,Year,University of Venda,,COLOURED,   2.2 Non-professional Administrative Employees
56,0.0,0,2005,Year,University of Venda,,INDIAN,   2.2 Non-professional Administrative Employees
57,173.0,0,2005,Year,University of Venda,,AFRICAN,   2.2 Non-professional Administrative Employees
58,0.0,0,2005,Year,University of Venda,,ALL OTHER,   2.2 Non-professional Administrative Employees
59,176.0,0,2005,Year,University of Venda,TOTAL,TOTAL,   2.2 Non-professional Administrative Employees
60,76.0,0,2005,Year,University of Venda,MALE,,   2.2 Non-professional Administrative Employees
61,100.0,0,2005,Year,University of Venda,FEMALE,,   2.2 Non-professional Administrative Employees
62,0.0,0,2005,Year,University of Venda,UNKNOWN,,   2.2 Non-professional Administrative Employees
63,0.0,0,2005,Year,University of Venda,,WHITE,   2.3 Crafts/Trades Employees
64,0.0,0,2005,Year,University of Venda,,COLOURED,   2.3 Crafts/Trades Employees
65,0.0,0,2005,Year,University of Venda,,INDIAN,   2.3 Crafts/Trades Employees
66,7.0,0,2005,Year,University of Venda,,AFRICAN,   2.3 Crafts/Trades Employees
67,0.0,0,2005,Year,University of Venda,,ALL OTHER,   2.3 Crafts/Trades Employees
68,7.0,0,2005,Year,University of Venda,TOTAL,TOTAL,   2.3 Crafts/Trades Employees
69,7.0,0,2005,Year,University of Venda,MALE,,   2.3 Crafts/Trades Employees
70,0.0,0,2005,Year,University of Venda,FEMALE,,   2.3 Crafts/Trades Employees
71,0.0,0,2005,Year,University of Venda,UNKNOWN,,   2.3 Crafts/Trades Employees
72,0.0,0,2005,Year,University of Venda,,WHITE,   2.4 Service\Employees
73,0.0,0,2005,Year,University of Venda,,COLOURED,   2.4 Service\Employees
74,0.0,0,2005,Year,University of Venda,,INDIAN,   2.4 Service\Employees
75,210.0,0,2005,Year,University of Venda,,AFRICAN,   2.4 Service\Employees
76,0.0,0,2005,Year,University of Venda,,ALL OTHER,   2.4 Service\Employees
77,210.0,0,2005,Year,University of Venda,TOTAL,TOTAL,   2.4 Service\Employees
78,93.0,0,2005,Year,University of Venda,MALE,,   2.4 Service\Employees
79,117.0,0,2005,Year,University of Venda,FEMALE,,   2.4 Service\Employees
80,0.0,0,2005,Year,University of Venda,UNKNOWN,,   2.4 Service\Employees
81,0.0,0,2005,Year,University of Venda,,WHITE,3.0 Unknown
82,0.0,0,2005,Year,University of Venda,,COLOURED,3.0 Unknown
83,0.0,0,2005,Year,University of Venda,,INDIAN,3.0 Unknown
84,0.0,0,2005,Year,University of Venda,,AFRICAN,3.0 Unknown
85,0.0,0,2005,Year,University of Venda,,ALL OTHER,3.0 Unknown
86,0.0,0,2005,Year,University of Venda,TOTAL,TOTAL,3.0 Unknown
87,0.0,0,2005,Year,University of Venda,MALE,,3.0 Unknown
88,0.0,0,2005,Year,University of Venda,FEMALE,,3.0 Unknown
89,0.0,0,2005,Year,University of Venda,UNKNOWN,,3.0 Unknown
90,33.0,0,2005,Year,University of Venda,,WHITE,9.9 TOTAL
91,1.0,0,2005,Year,University of Venda,,COLOURED,9.9 TOTAL
92,7.0,0,2005,Year,University of Venda,,INDIAN,9.9 TOTAL
93,711.0,0,2005,Year,University of Venda,,AFRICAN,9.9 TOTAL
94,0.0,0,2005,Year,University of Venda,,ALL OTHER,9.9 TOTAL
95,752.0,0,2005,Year,University of Venda,TOTAL,TOTAL,9.9 TOTAL
96,432.0,0,2005,Year,University of Venda,MALE,,9.9 TOTAL
97,320.0,0,2005,Year,University of Venda,FEMALE,,9.9 TOTAL
98,0.0,0,2005,Year,University of Venda,UNKNOWN,,9.9 TOTAL
