,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,651.0,0,2005,Year,University of the Free State,,WHITE,1.0 Professional Staff     -Sub-total
1,16.0,0,2005,Year,University of the Free State,,COLOURED,1.0 Professional Staff     -Sub-total
2,5.0,0,2005,Year,University of the Free State,,INDIAN,1.0 Professional Staff     -Sub-total
3,109.0,0,2005,Year,University of the Free State,,AFRICAN,1.0 Professional Staff     -Sub-total
4,0.0,0,2005,Year,University of the Free State,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,781.0,0,2005,Year,University of the Free State,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,434.0,0,2005,Year,University of the Free State,MALE,,1.0 Professional Staff     -Sub-total
7,347.0,0,2005,Year,University of the Free State,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2005,Year,University of the Free State,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,514.0,0,2005,Year,University of the Free State,,WHITE,   1.1 Instruction/Research Professional
10,12.0,0,2005,Year,University of the Free State,,COLOURED,   1.1 Instruction/Research Professional
11,5.0,0,2005,Year,University of the Free State,,INDIAN,   1.1 Instruction/Research Professional
12,89.0,0,2005,Year,University of the Free State,,AFRICAN,   1.1 Instruction/Research Professional
13,0.0,0,2005,Year,University of the Free State,,ALL OTHER,   1.1 Instruction/Research Professional
14,620.0,0,2005,Year,University of the Free State,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,352.0,0,2005,Year,University of the Free State,MALE,,   1.1 Instruction/Research Professional
16,268.0,0,2005,Year,University of the Free State,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2005,Year,University of the Free State,UNKNOWN,,   1.1 Instruction/Research Professional
18,59.0,0,2005,Year,University of the Free State,,WHITE,   1.2 Executive/Administrative/Managerial Professionals
19,3.0,0,2005,Year,University of the Free State,,COLOURED,   1.2 Executive/Administrative/Managerial Professionals
20,0.0,0,2005,Year,University of the Free State,,INDIAN,   1.2 Executive/Administrative/Managerial Professionals
21,11.0,0,2005,Year,University of the Free State,,AFRICAN,   1.2 Executive/Administrative/Managerial Professionals
22,0.0,0,2005,Year,University of the Free State,,ALL OTHER,   1.2 Executive/Administrative/Managerial Professionals
23,73.0,0,2005,Year,University of the Free State,TOTAL,TOTAL,   1.2 Executive/Administrative/Managerial Professionals
24,55.0,0,2005,Year,University of the Free State,MALE,,   1.2 Executive/Administrative/Managerial Professionals
25,18.0,0,2005,Year,University of the Free State,FEMALE,,   1.2 Executive/Administrative/Managerial Professionals
26,0.0,0,2005,Year,University of the Free State,UNKNOWN,,   1.2 Executive/Administrative/Managerial Professionals
27,78.0,0,2005,Year,University of the Free State,,WHITE,   1.3 Specialist/Support Professionals
28,1.0,0,2005,Year,University of the Free State,,COLOURED,   1.3 Specialist/Support Professionals
29,0.0,0,2005,Year,University of the Free State,,INDIAN,   1.3 Specialist/Support Professionals
30,9.0,0,2005,Year,University of the Free State,,AFRICAN,   1.3 Specialist/Support Professionals
31,0.0,0,2005,Year,University of the Free State,,ALL OTHER,   1.3 Specialist/Support Professionals
32,88.0,0,2005,Year,University of the Free State,TOTAL,TOTAL,   1.3 Specialist/Support Professionals
33,27.0,0,2005,Year,University of the Free State,MALE,,   1.3 Specialist/Support Professionals
34,61.0,0,2005,Year,University of the Free State,FEMALE,,   1.3 Specialist/Support Professionals
35,0.0,0,2005,Year,University of the Free State,UNKNOWN,,   1.3 Specialist/Support Professionals
