,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,419.0,0,2006,Year,Cape Peninsula University of Technology,,WHITE,1.0 Professional Staff     -Sub-total
1,318.0,0,2006,Year,Cape Peninsula University of Technology,,COLOURED,1.0 Professional Staff     -Sub-total
2,26.0,0,2006,Year,Cape Peninsula University of Technology,,INDIAN,1.0 Professional Staff     -Sub-total
3,101.0,0,2006,Year,Cape Peninsula University of Technology,,AFRICAN,1.0 Professional Staff     -Sub-total
4,0.0,0,2006,Year,Cape Peninsula University of Technology,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,864.0,0,2006,Year,Cape Peninsula University of Technology,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,513.0,0,2006,Year,Cape Peninsula University of Technology,MALE,,1.0 Professional Staff     -Sub-total
7,351.0,0,2006,Year,Cape Peninsula University of Technology,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2006,Year,Cape Peninsula University of Technology,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,348.0,0,2006,Year,Cape Peninsula University of Technology,,WHITE,   1.1 Instruction/Research Professional
10,218.0,0,2006,Year,Cape Peninsula University of Technology,,COLOURED,   1.1 Instruction/Research Professional
11,21.0,0,2006,Year,Cape Peninsula University of Technology,,INDIAN,   1.1 Instruction/Research Professional
12,61.0,0,2006,Year,Cape Peninsula University of Technology,,AFRICAN,   1.1 Instruction/Research Professional
13,0.0,0,2006,Year,Cape Peninsula University of Technology,,ALL OTHER,   1.1 Instruction/Research Professional
14,648.0,0,2006,Year,Cape Peninsula University of Technology,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,398.0,0,2006,Year,Cape Peninsula University of Technology,MALE,,   1.1 Instruction/Research Professional
16,250.0,0,2006,Year,Cape Peninsula University of Technology,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2006,Year,Cape Peninsula University of Technology,UNKNOWN,,   1.1 Instruction/Research Professional
18,12.0,0,2006,Year,Cape Peninsula University of Technology,,WHITE,   1.2 Executive/Administrative/Managerial Professionals
19,23.0,0,2006,Year,Cape Peninsula University of Technology,,COLOURED,   1.2 Executive/Administrative/Managerial Professionals
20,3.0,0,2006,Year,Cape Peninsula University of Technology,,INDIAN,   1.2 Executive/Administrative/Managerial Professionals
21,7.0,0,2006,Year,Cape Peninsula University of Technology,,AFRICAN,   1.2 Executive/Administrative/Managerial Professionals
22,0.0,0,2006,Year,Cape Peninsula University of Technology,,ALL OTHER,   1.2 Executive/Administrative/Managerial Professionals
23,45.0,0,2006,Year,Cape Peninsula University of Technology,TOTAL,TOTAL,   1.2 Executive/Administrative/Managerial Professionals
24,36.0,0,2006,Year,Cape Peninsula University of Technology,MALE,,   1.2 Executive/Administrative/Managerial Professionals
25,9.0,0,2006,Year,Cape Peninsula University of Technology,FEMALE,,   1.2 Executive/Administrative/Managerial Professionals
26,0.0,0,2006,Year,Cape Peninsula University of Technology,UNKNOWN,,   1.2 Executive/Administrative/Managerial Professionals
27,59.0,0,2006,Year,Cape Peninsula University of Technology,,WHITE,   1.3 Specialist/Support Professionals
28,77.0,0,2006,Year,Cape Peninsula University of Technology,,COLOURED,   1.3 Specialist/Support Professionals
29,2.0,0,2006,Year,Cape Peninsula University of Technology,,INDIAN,   1.3 Specialist/Support Professionals
30,33.0,0,2006,Year,Cape Peninsula University of Technology,,AFRICAN,   1.3 Specialist/Support Professionals
31,0.0,0,2006,Year,Cape Peninsula University of Technology,,ALL OTHER,   1.3 Specialist/Support Professionals
