,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,688.0,0,2006,Year,Tshwane University of Technology,,WHITE,1.0 Professional Staff     -Sub-total
1,14.0,0,2006,Year,Tshwane University of Technology,,COLOURED,1.0 Professional Staff     -Sub-total
2,39.0,0,2006,Year,Tshwane University of Technology,,INDIAN,1.0 Professional Staff     -Sub-total
3,353.0,0,2006,Year,Tshwane University of Technology,,AFRICAN,1.0 Professional Staff     -Sub-total
4,0.0,0,2006,Year,Tshwane University of Technology,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,1094.0,0,2006,Year,Tshwane University of Technology,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,645.0,0,2006,Year,Tshwane University of Technology,MALE,,1.0 Professional Staff     -Sub-total
7,449.0,0,2006,Year,Tshwane University of Technology,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2006,Year,Tshwane University of Technology,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,522.0,0,2006,Year,Tshwane University of Technology,,WHITE,   1.1 Instruction/Research Professional
10,12.0,0,2006,Year,Tshwane University of Technology,,COLOURED,   1.1 Instruction/Research Professional
11,31.0,0,2006,Year,Tshwane University of Technology,,INDIAN,   1.1 Instruction/Research Professional
12,290.0,0,2006,Year,Tshwane University of Technology,,AFRICAN,   1.1 Instruction/Research Professional
13,0.0,0,2006,Year,Tshwane University of Technology,,ALL OTHER,   1.1 Instruction/Research Professional
14,855.0,0,2006,Year,Tshwane University of Technology,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,511.0,0,2006,Year,Tshwane University of Technology,MALE,,   1.1 Instruction/Research Professional
16,344.0,0,2006,Year,Tshwane University of Technology,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2006,Year,Tshwane University of Technology,UNKNOWN,,   1.1 Instruction/Research Professional
18,45.0,0,2006,Year,Tshwane University of Technology,,WHITE,   1.2 Executive/Administrative/Managerial Professionals
19,1.0,0,2006,Year,Tshwane University of Technology,,COLOURED,   1.2 Executive/Administrative/Managerial Professionals
