,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,244.0,0,2006,Year,University of Limpopo,,WHITE,1.0 Professional Staff     -Sub-total
1,12.0,0,2006,Year,University of Limpopo,,COLOURED,1.0 Professional Staff     -Sub-total
2,64.0,0,2006,Year,University of Limpopo,,INDIAN,1.0 Professional Staff     -Sub-total
3,631.0,0,2006,Year,University of Limpopo,,AFRICAN,1.0 Professional Staff     -Sub-total
4,0.0,0,2006,Year,University of Limpopo,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,951.0,0,2006,Year,University of Limpopo,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,565.0,0,2006,Year,University of Limpopo,MALE,,1.0 Professional Staff     -Sub-total
7,386.0,0,2006,Year,University of Limpopo,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2006,Year,University of Limpopo,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,197.0,0,2006,Year,University of Limpopo,,WHITE,   1.1 Instruction/Research Professional
10,8.0,0,2006,Year,University of Limpopo,,COLOURED,   1.1 Instruction/Research Professional
11,62.0,0,2006,Year,University of Limpopo,,INDIAN,   1.1 Instruction/Research Professional
12,531.0,0,2006,Year,University of Limpopo,,AFRICAN,   1.1 Instruction/Research Professional
13,0.0,0,2006,Year,University of Limpopo,,ALL OTHER,   1.1 Instruction/Research Professional
14,798.0,0,2006,Year,University of Limpopo,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,486.0,0,2006,Year,University of Limpopo,MALE,,   1.1 Instruction/Research Professional
16,312.0,0,2006,Year,University of Limpopo,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2006,Year,University of Limpopo,UNKNOWN,,   1.1 Instruction/Research Professional
18,16.0,0,2006,Year,University of Limpopo,,WHITE,   1.2 Executive/Administrative/Managerial Professionals
19,3.0,0,2006,Year,University of Limpopo,,COLOURED,   1.2 Executive/Administrative/Managerial Professionals
20,2.0,0,2006,Year,University of Limpopo,,INDIAN,   1.2 Executive/Administrative/Managerial Professionals
21,28.0,0,2006,Year,University of Limpopo,,AFRICAN,   1.2 Executive/Administrative/Managerial Professionals
22,0.0,0,2006,Year,University of Limpopo,,ALL OTHER,   1.2 Executive/Administrative/Managerial Professionals
23,49.0,0,2006,Year,University of Limpopo,TOTAL,TOTAL,   1.2 Executive/Administrative/Managerial Professionals
24,35.0,0,2006,Year,University of Limpopo,MALE,,   1.2 Executive/Administrative/Managerial Professionals
25,14.0,0,2006,Year,University of Limpopo,FEMALE,,   1.2 Executive/Administrative/Managerial Professionals
26,0.0,0,2006,Year,University of Limpopo,UNKNOWN,,   1.2 Executive/Administrative/Managerial Professionals
27,31.0,0,2006,Year,University of Limpopo,,WHITE,   1.3 Specialist/Support Professionals
28,1.0,0,2006,Year,University of Limpopo,,COLOURED,   1.3 Specialist/Support Professionals
29,0.0,0,2006,Year,University of Limpopo,,INDIAN,   1.3 Specialist/Support Professionals
30,72.0,0,2006,Year,University of Limpopo,,AFRICAN,   1.3 Specialist/Support Professionals
31,0.0,0,2006,Year,University of Limpopo,,ALL OTHER,   1.3 Specialist/Support Professionals
32,104.0,0,2006,Year,University of Limpopo,TOTAL,TOTAL,   1.3 Specialist/Support Professionals
33,44.0,0,2006,Year,University of Limpopo,MALE,,   1.3 Specialist/Support Professionals
34,60.0,0,2006,Year,University of Limpopo,FEMALE,,   1.3 Specialist/Support Professionals
35,0.0,0,2006,Year,University of Limpopo,UNKNOWN,,   1.3 Specialist/Support Professionals
36,132.0,0,2006,Year,University of Limpopo,,WHITE,2.0 Non-Professional Staff    -Sub-total
37,3.0,0,2006,Year,University of Limpopo,,COLOURED,2.0 Non-Professional Staff    -Sub-total
38,2.0,0,2006,Year,University of Limpopo,,INDIAN,2.0 Non-Professional Staff    -Sub-total
39,967.0,0,2006,Year,University of Limpopo,,AFRICAN,2.0 Non-Professional Staff    -Sub-total
40,0.0,0,2006,Year,University of Limpopo,,ALL OTHER,2.0 Non-Professional Staff    -Sub-total
41,1104.0,0,2006,Year,University of Limpopo,TOTAL,TOTAL,2.0 Non-Professional Staff    -Sub-total
42,536.0,0,2006,Year,University of Limpopo,MALE,,2.0 Non-Professional Staff    -Sub-total
43,568.0,0,2006,Year,University of Limpopo,FEMALE,,2.0 Non-Professional Staff    -Sub-total
44,0.0,0,2006,Year,University of Limpopo,UNKNOWN,,2.0 Non-Professional Staff    -Sub-total
45,15.0,0,2006,Year,University of Limpopo,,WHITE,   2.1 Technical Employees
46,1.0,0,2006,Year,University of Limpopo,,COLOURED,   2.1 Technical Employees
47,0.0,0,2006,Year,University of Limpopo,,INDIAN,   2.1 Technical Employees
48,39.0,0,2006,Year,University of Limpopo,,AFRICAN,   2.1 Technical Employees
49,0.0,0,2006,Year,University of Limpopo,,ALL OTHER,   2.1 Technical Employees
50,55.0,0,2006,Year,University of Limpopo,TOTAL,TOTAL,   2.1 Technical Employees
51,36.0,0,2006,Year,University of Limpopo,MALE,,   2.1 Technical Employees
52,19.0,0,2006,Year,University of Limpopo,FEMALE,,   2.1 Technical Employees
53,0.0,0,2006,Year,University of Limpopo,UNKNOWN,,   2.1 Technical Employees
54,109.0,0,2006,Year,University of Limpopo,,WHITE,   2.2 Non-professional Administrative Employees
55,2.0,0,2006,Year,University of Limpopo,,COLOURED,   2.2 Non-professional Administrative Employees
56,2.0,0,2006,Year,University of Limpopo,,INDIAN,   2.2 Non-professional Administrative Employees
57,404.0,0,2006,Year,University of Limpopo,,AFRICAN,   2.2 Non-professional Administrative Employees
58,0.0,0,2006,Year,University of Limpopo,,ALL OTHER,   2.2 Non-professional Administrative Employees
59,517.0,0,2006,Year,University of Limpopo,TOTAL,TOTAL,   2.2 Non-professional Administrative Employees
60,183.0,0,2006,Year,University of Limpopo,MALE,,   2.2 Non-professional Administrative Employees
61,334.0,0,2006,Year,University of Limpopo,FEMALE,,   2.2 Non-professional Administrative Employees
62,0.0,0,2006,Year,University of Limpopo,UNKNOWN,,   2.2 Non-professional Administrative Employees
63,7.0,0,2006,Year,University of Limpopo,,WHITE,   2.3 Crafts/Trades Employees
64,0.0,0,2006,Year,University of Limpopo,,COLOURED,   2.3 Crafts/Trades Employees
65,0.0,0,2006,Year,University of Limpopo,,INDIAN,   2.3 Crafts/Trades Employees
66,35.0,0,2006,Year,University of Limpopo,,AFRICAN,   2.3 Crafts/Trades Employees
67,0.0,0,2006,Year,University of Limpopo,,ALL OTHER,   2.3 Crafts/Trades Employees
