,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,396.0,0,2007,Year,Cape Peninsula University of Technology,,WHITE,1.0 Professional Staff     -Sub-total
1,328.0,0,2007,Year,Cape Peninsula University of Technology,,COLOURED,1.0 Professional Staff     -Sub-total
2,28.0,0,2007,Year,Cape Peninsula University of Technology,,INDIAN,1.0 Professional Staff     -Sub-total
3,122.0,0,2007,Year,Cape Peninsula University of Technology,,AFRICAN,1.0 Professional Staff     -Sub-total
4,0.0,0,2007,Year,Cape Peninsula University of Technology,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,874.0,0,2007,Year,Cape Peninsula University of Technology,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,511.0,0,2007,Year,Cape Peninsula University of Technology,MALE,,1.0 Professional Staff     -Sub-total
7,363.0,0,2007,Year,Cape Peninsula University of Technology,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2007,Year,Cape Peninsula University of Technology,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,326.0,0,2007,Year,Cape Peninsula University of Technology,,WHITE,   1.1 Instruction/Research Professional
10,231.0,0,2007,Year,Cape Peninsula University of Technology,,COLOURED,   1.1 Instruction/Research Professional
11,24.0,0,2007,Year,Cape Peninsula University of Technology,,INDIAN,   1.1 Instruction/Research Professional
12,76.0,0,2007,Year,Cape Peninsula University of Technology,,AFRICAN,   1.1 Instruction/Research Professional
13,0.0,0,2007,Year,Cape Peninsula University of Technology,,ALL OTHER,   1.1 Instruction/Research Professional
14,657.0,0,2007,Year,Cape Peninsula University of Technology,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,403.0,0,2007,Year,Cape Peninsula University of Technology,MALE,,   1.1 Instruction/Research Professional
16,254.0,0,2007,Year,Cape Peninsula University of Technology,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2007,Year,Cape Peninsula University of Technology,UNKNOWN,,   1.1 Instruction/Research Professional
18,16.0,0,2007,Year,Cape Peninsula University of Technology,,WHITE,   1.2 Executive/Administrative/Managerial Professionals
19,19.0,0,2007,Year,Cape Peninsula University of Technology,,COLOURED,   1.2 Executive/Administrative/Managerial Professionals
20,2.0,0,2007,Year,Cape Peninsula University of Technology,,INDIAN,   1.2 Executive/Administrative/Managerial Professionals
21,6.0,0,2007,Year,Cape Peninsula University of Technology,,AFRICAN,   1.2 Executive/Administrative/Managerial Professionals
22,0.0,0,2007,Year,Cape Peninsula University of Technology,,ALL OTHER,   1.2 Executive/Administrative/Managerial Professionals
23,43.0,0,2007,Year,Cape Peninsula University of Technology,TOTAL,TOTAL,   1.2 Executive/Administrative/Managerial Professionals
24,34.0,0,2007,Year,Cape Peninsula University of Technology,MALE,,   1.2 Executive/Administrative/Managerial Professionals
25,9.0,0,2007,Year,Cape Peninsula University of Technology,FEMALE,,   1.2 Executive/Administrative/Managerial Professionals
26,0.0,0,2007,Year,Cape Peninsula University of Technology,UNKNOWN,,   1.2 Executive/Administrative/Managerial Professionals
27,54.0,0,2007,Year,Cape Peninsula University of Technology,,WHITE,   1.3 Specialist/Support Professionals
28,78.0,0,2007,Year,Cape Peninsula University of Technology,,COLOURED,   1.3 Specialist/Support Professionals
29,2.0,0,2007,Year,Cape Peninsula University of Technology,,INDIAN,   1.3 Specialist/Support Professionals
30,40.0,0,2007,Year,Cape Peninsula University of Technology,,AFRICAN,   1.3 Specialist/Support Professionals
31,0.0,0,2007,Year,Cape Peninsula University of Technology,,ALL OTHER,   1.3 Specialist/Support Professionals
32,174.0,0,2007,Year,Cape Peninsula University of Technology,TOTAL,TOTAL,   1.3 Specialist/Support Professionals
33,74.0,0,2007,Year,Cape Peninsula University of Technology,MALE,,   1.3 Specialist/Support Professionals
34,100.0,0,2007,Year,Cape Peninsula University of Technology,FEMALE,,   1.3 Specialist/Support Professionals
35,0.0,0,2007,Year,Cape Peninsula University of Technology,UNKNOWN,,   1.3 Specialist/Support Professionals
36,106.0,0,2007,Year,Cape Peninsula University of Technology,,WHITE,2.0 Non-Professional Staff    -Sub-total
37,493.0,0,2007,Year,Cape Peninsula University of Technology,,COLOURED,2.0 Non-Professional Staff    -Sub-total
38,4.0,0,2007,Year,Cape Peninsula University of Technology,,INDIAN,2.0 Non-Professional Staff    -Sub-total
39,136.0,0,2007,Year,Cape Peninsula University of Technology,,AFRICAN,2.0 Non-Professional Staff    -Sub-total
40,0.0,0,2007,Year,Cape Peninsula University of Technology,,ALL OTHER,2.0 Non-Professional Staff    -Sub-total
41,739.0,0,2007,Year,Cape Peninsula University of Technology,TOTAL,TOTAL,2.0 Non-Professional Staff    -Sub-total
42,334.0,0,2007,Year,Cape Peninsula University of Technology,MALE,,2.0 Non-Professional Staff    -Sub-total
43,405.0,0,2007,Year,Cape Peninsula University of Technology,FEMALE,,2.0 Non-Professional Staff    -Sub-total
44,0.0,0,2007,Year,Cape Peninsula University of Technology,UNKNOWN,,2.0 Non-Professional Staff    -Sub-total
45,36.0,0,2007,Year,Cape Peninsula University of Technology,,WHITE,   2.1 Technical Employees
46,67.0,0,2007,Year,Cape Peninsula University of Technology,,COLOURED,   2.1 Technical Employees
47,0.0,0,2007,Year,Cape Peninsula University of Technology,,INDIAN,   2.1 Technical Employees
48,18.0,0,2007,Year,Cape Peninsula University of Technology,,AFRICAN,   2.1 Technical Employees
49,0.0,0,2007,Year,Cape Peninsula University of Technology,,ALL OTHER,   2.1 Technical Employees
50,121.0,0,2007,Year,Cape Peninsula University of Technology,TOTAL,TOTAL,   2.1 Technical Employees
51,91.0,0,2007,Year,Cape Peninsula University of Technology,MALE,,   2.1 Technical Employees
52,30.0,0,2007,Year,Cape Peninsula University of Technology,FEMALE,,   2.1 Technical Employees
53,0.0,0,2007,Year,Cape Peninsula University of Technology,UNKNOWN,,   2.1 Technical Employees
54,67.0,0,2007,Year,Cape Peninsula University of Technology,,WHITE,   2.2 Non-professional Administrative Employees
55,277.0,0,2007,Year,Cape Peninsula University of Technology,,COLOURED,   2.2 Non-professional Administrative Employees
56,4.0,0,2007,Year,Cape Peninsula University of Technology,,INDIAN,   2.2 Non-professional Administrative Employees
57,99.0,0,2007,Year,Cape Peninsula University of Technology,,AFRICAN,   2.2 Non-professional Administrative Employees
58,0.0,0,2007,Year,Cape Peninsula University of Technology,,ALL OTHER,   2.2 Non-professional Administrative Employees
59,447.0,0,2007,Year,Cape Peninsula University of Technology,TOTAL,TOTAL,   2.2 Non-professional Administrative Employees
60,115.0,0,2007,Year,Cape Peninsula University of Technology,MALE,,   2.2 Non-professional Administrative Employees
61,332.0,0,2007,Year,Cape Peninsula University of Technology,FEMALE,,   2.2 Non-professional Administrative Employees
62,0.0,0,2007,Year,Cape Peninsula University of Technology,UNKNOWN,,   2.2 Non-professional Administrative Employees
63,1.0,0,2007,Year,Cape Peninsula University of Technology,,WHITE,   2.3 Crafts/Trades Employees
64,15.0,0,2007,Year,Cape Peninsula University of Technology,,COLOURED,   2.3 Crafts/Trades Employees
65,0.0,0,2007,Year,Cape Peninsula University of Technology,,INDIAN,   2.3 Crafts/Trades Employees
66,0.0,0,2007,Year,Cape Peninsula University of Technology,,AFRICAN,   2.3 Crafts/Trades Employees
67,0.0,0,2007,Year,Cape Peninsula University of Technology,,ALL OTHER,   2.3 Crafts/Trades Employees
68,16.0,0,2007,Year,Cape Peninsula University of Technology,TOTAL,TOTAL,   2.3 Crafts/Trades Employees
69,16.0,0,2007,Year,Cape Peninsula University of Technology,MALE,,   2.3 Crafts/Trades Employees
70,0.0,0,2007,Year,Cape Peninsula University of Technology,FEMALE,,   2.3 Crafts/Trades Employees
71,0.0,0,2007,Year,Cape Peninsula University of Technology,UNKNOWN,,   2.3 Crafts/Trades Employees
72,2.0,0,2007,Year,Cape Peninsula University of Technology,,WHITE,   2.4 Service\Employees
73,134.0,0,2007,Year,Cape Peninsula University of Technology,,COLOURED,   2.4 Service\Employees
74,0.0,0,2007,Year,Cape Peninsula University of Technology,,INDIAN,   2.4 Service\Employees
75,19.0,0,2007,Year,Cape Peninsula University of Technology,,AFRICAN,   2.4 Service\Employees
76,0.0,0,2007,Year,Cape Peninsula University of Technology,,ALL OTHER,   2.4 Service\Employees
77,155.0,0,2007,Year,Cape Peninsula University of Technology,TOTAL,TOTAL,   2.4 Service\Employees
