,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,906.0,0,2007,Year,North West University,,WHITE,1.0 Professional Staff     -Sub-total
1,28.0,0,2007,Year,North West University,,COLOURED,1.0 Professional Staff     -Sub-total
2,14.0,0,2007,Year,North West University,,INDIAN,1.0 Professional Staff     -Sub-total
3,308.0,0,2007,Year,North West University,,AFRICAN,1.0 Professional Staff     -Sub-total
4,0.0,0,2007,Year,North West University,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,1256.0,0,2007,Year,North West University,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,741.0,0,2007,Year,North West University,MALE,,1.0 Professional Staff     -Sub-total
7,515.0,0,2007,Year,North West University,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2007,Year,North West University,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,620.0,0,2007,Year,North West University,,WHITE,   1.1 Instruction/Research Professional
10,19.0,0,2007,Year,North West University,,COLOURED,   1.1 Instruction/Research Professional
11,12.0,0,2007,Year,North West University,,INDIAN,   1.1 Instruction/Research Professional
12,238.0,0,2007,Year,North West University,,AFRICAN,   1.1 Instruction/Research Professional
13,0.0,0,2007,Year,North West University,,ALL OTHER,   1.1 Instruction/Research Professional
14,889.0,0,2007,Year,North West University,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,534.0,0,2007,Year,North West University,MALE,,   1.1 Instruction/Research Professional
16,355.0,0,2007,Year,North West University,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2007,Year,North West University,UNKNOWN,,   1.1 Instruction/Research Professional
18,84.0,0,2007,Year,North West University,,WHITE,   1.2 Executive/Administrative/Managerial Professionals
19,2.0,0,2007,Year,North West University,,COLOURED,   1.2 Executive/Administrative/Managerial Professionals
20,0.0,0,2007,Year,North West University,,INDIAN,   1.2 Executive/Administrative/Managerial Professionals
21,24.0,0,2007,Year,North West University,,AFRICAN,   1.2 Executive/Administrative/Managerial Professionals
22,0.0,0,2007,Year,North West University,,ALL OTHER,   1.2 Executive/Administrative/Managerial Professionals
23,110.0,0,2007,Year,North West University,TOTAL,TOTAL,   1.2 Executive/Administrative/Managerial Professionals
24,88.0,0,2007,Year,North West University,MALE,,   1.2 Executive/Administrative/Managerial Professionals
25,22.0,0,2007,Year,North West University,FEMALE,,   1.2 Executive/Administrative/Managerial Professionals
26,0.0,0,2007,Year,North West University,UNKNOWN,,   1.2 Executive/Administrative/Managerial Professionals
27,202.0,0,2007,Year,North West University,,WHITE,   1.3 Specialist/Support Professionals
28,7.0,0,2007,Year,North West University,,COLOURED,   1.3 Specialist/Support Professionals
29,2.0,0,2007,Year,North West University,,INDIAN,   1.3 Specialist/Support Professionals
30,46.0,0,2007,Year,North West University,,AFRICAN,   1.3 Specialist/Support Professionals
31,0.0,0,2007,Year,North West University,,ALL OTHER,   1.3 Specialist/Support Professionals
32,257.0,0,2007,Year,North West University,TOTAL,TOTAL,   1.3 Specialist/Support Professionals
33,119.0,0,2007,Year,North West University,MALE,,   1.3 Specialist/Support Professionals
34,138.0,0,2007,Year,North West University,FEMALE,,   1.3 Specialist/Support Professionals
35,0.0,0,2007,Year,North West University,UNKNOWN,,   1.3 Specialist/Support Professionals
36,712.0,0,2007,Year,North West University,,WHITE,2.0 Non-Professional Staff    -Sub-total
37,37.0,0,2007,Year,North West University,,COLOURED,2.0 Non-Professional Staff    -Sub-total
38,8.0,0,2007,Year,North West University,,INDIAN,2.0 Non-Professional Staff    -Sub-total
39,726.0,0,2007,Year,North West University,,AFRICAN,2.0 Non-Professional Staff    -Sub-total
40,0.0,0,2007,Year,North West University,,ALL OTHER,2.0 Non-Professional Staff    -Sub-total
41,1483.0,0,2007,Year,North West University,TOTAL,TOTAL,2.0 Non-Professional Staff    -Sub-total
42,519.0,0,2007,Year,North West University,MALE,,2.0 Non-Professional Staff    -Sub-total
43,964.0,0,2007,Year,North West University,FEMALE,,2.0 Non-Professional Staff    -Sub-total
44,0.0,0,2007,Year,North West University,UNKNOWN,,2.0 Non-Professional Staff    -Sub-total
45,121.0,0,2007,Year,North West University,,WHITE,   2.1 Technical Employees
46,3.0,0,2007,Year,North West University,,COLOURED,   2.1 Technical Employees
47,1.0,0,2007,Year,North West University,,INDIAN,   2.1 Technical Employees
48,62.0,0,2007,Year,North West University,,AFRICAN,   2.1 Technical Employees
49,0.0,0,2007,Year,North West University,,ALL OTHER,   2.1 Technical Employees
50,187.0,0,2007,Year,North West University,TOTAL,TOTAL,   2.1 Technical Employees
51,111.0,0,2007,Year,North West University,MALE,,   2.1 Technical Employees
52,76.0,0,2007,Year,North West University,FEMALE,,   2.1 Technical Employees
53,0.0,0,2007,Year,North West University,UNKNOWN,,   2.1 Technical Employees
54,543.0,0,2007,Year,North West University,,WHITE,   2.2 Non-professional Administrative Employees
55,21.0,0,2007,Year,North West University,,COLOURED,   2.2 Non-professional Administrative Employees
56,5.0,0,2007,Year,North West University,,INDIAN,   2.2 Non-professional Administrative Employees
57,218.0,0,2007,Year,North West University,,AFRICAN,   2.2 Non-professional Administrative Employees
58,0.0,0,2007,Year,North West University,,ALL OTHER,   2.2 Non-professional Administrative Employees
59,787.0,0,2007,Year,North West University,TOTAL,TOTAL,   2.2 Non-professional Administrative Employees
60,144.0,0,2007,Year,North West University,MALE,,   2.2 Non-professional Administrative Employees
61,643.0,0,2007,Year,North West University,FEMALE,,   2.2 Non-professional Administrative Employees
62,0.0,0,2007,Year,North West University,UNKNOWN,,   2.2 Non-professional Administrative Employees
63,21.0,0,2007,Year,North West University,,WHITE,   2.3 Crafts/Trades Employees
64,1.0,0,2007,Year,North West University,,COLOURED,   2.3 Crafts/Trades Employees
65,1.0,0,2007,Year,North West University,,INDIAN,   2.3 Crafts/Trades Employees
66,11.0,0,2007,Year,North West University,,AFRICAN,   2.3 Crafts/Trades Employees
67,0.0,0,2007,Year,North West University,,ALL OTHER,   2.3 Crafts/Trades Employees
68,34.0,0,2007,Year,North West University,TOTAL,TOTAL,   2.3 Crafts/Trades Employees
69,31.0,0,2007,Year,North West University,MALE,,   2.3 Crafts/Trades Employees
70,3.0,0,2007,Year,North West University,FEMALE,,   2.3 Crafts/Trades Employees
71,0.0,0,2007,Year,North West University,UNKNOWN,,   2.3 Crafts/Trades Employees
72,27.0,0,2007,Year,North West University,,WHITE,   2.4 Service\Employees
73,12.0,0,2007,Year,North West University,,COLOURED,   2.4 Service\Employees
74,1.0,0,2007,Year,North West University,,INDIAN,   2.4 Service\Employees
75,435.0,0,2007,Year,North West University,,AFRICAN,   2.4 Service\Employees
76,0.0,0,2007,Year,North West University,,ALL OTHER,   2.4 Service\Employees
77,475.0,0,2007,Year,North West University,TOTAL,TOTAL,   2.4 Service\Employees
78,233.0,0,2007,Year,North West University,MALE,,   2.4 Service\Employees
79,242.0,0,2007,Year,North West University,FEMALE,,   2.4 Service\Employees
80,0.0,0,2007,Year,North West University,UNKNOWN,,   2.4 Service\Employees
81,0.0,0,2007,Year,North West University,,WHITE,3.0 Unknown
82,0.0,0,2007,Year,North West University,,COLOURED,3.0 Unknown
83,0.0,0,2007,Year,North West University,,INDIAN,3.0 Unknown
84,0.0,0,2007,Year,North West University,,AFRICAN,3.0 Unknown
85,0.0,0,2007,Year,North West University,,ALL OTHER,3.0 Unknown
86,0.0,0,2007,Year,North West University,TOTAL,TOTAL,3.0 Unknown
87,0.0,0,2007,Year,North West University,MALE,,3.0 Unknown
88,0.0,0,2007,Year,North West University,FEMALE,,3.0 Unknown
89,0.0,0,2007,Year,North West University,UNKNOWN,,3.0 Unknown
90,1618.0,0,2007,Year,North West University,,WHITE,9.9 TOTAL
91,65.0,0,2007,Year,North West University,,COLOURED,9.9 TOTAL
92,22.0,0,2007,Year,North West University,,INDIAN,9.9 TOTAL
93,1034.0,0,2007,Year,North West University,,AFRICAN,9.9 TOTAL
94,0.0,0,2007,Year,North West University,,ALL OTHER,9.9 TOTAL
95,2739.0,0,2007,Year,North West University,TOTAL,TOTAL,9.9 TOTAL
96,1260.0,0,2007,Year,North West University,MALE,,9.9 TOTAL
97,1479.0,0,2007,Year,North West University,FEMALE,,9.9 TOTAL
98,0.0,0,2007,Year,North West University,UNKNOWN,,9.9 TOTAL
