,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,1702.0,0,2007,Year,University of Pretoria,,WHITE,1.0 Professional Staff     -Sub-total
1,55.0,0,2007,Year,University of Pretoria,,COLOURED,1.0 Professional Staff     -Sub-total
2,80.0,0,2007,Year,University of Pretoria,,INDIAN,1.0 Professional Staff     -Sub-total
3,291.0,0,2007,Year,University of Pretoria,,AFRICAN,1.0 Professional Staff     -Sub-total
4,4.0,0,2007,Year,University of Pretoria,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,2132.0,0,2007,Year,University of Pretoria,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,1090.0,0,2007,Year,University of Pretoria,MALE,,1.0 Professional Staff     -Sub-total
7,1042.0,0,2007,Year,University of Pretoria,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2007,Year,University of Pretoria,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,1306.0,0,2007,Year,University of Pretoria,,WHITE,   1.1 Instruction/Research Professional
10,27.0,0,2007,Year,University of Pretoria,,COLOURED,   1.1 Instruction/Research Professional
11,74.0,0,2007,Year,University of Pretoria,,INDIAN,   1.1 Instruction/Research Professional
12,208.0,0,2007,Year,University of Pretoria,,AFRICAN,   1.1 Instruction/Research Professional
13,4.0,0,2007,Year,University of Pretoria,,ALL OTHER,   1.1 Instruction/Research Professional
14,1619.0,0,2007,Year,University of Pretoria,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,869.0,0,2007,Year,University of Pretoria,MALE,,   1.1 Instruction/Research Professional
16,750.0,0,2007,Year,University of Pretoria,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2007,Year,University of Pretoria,UNKNOWN,,   1.1 Instruction/Research Professional
18,213.0,0,2007,Year,University of Pretoria,,WHITE,   1.2 Executive/Administrative/Managerial Professionals
19,11.0,0,2007,Year,University of Pretoria,,COLOURED,   1.2 Executive/Administrative/Managerial Professionals
20,4.0,0,2007,Year,University of Pretoria,,INDIAN,   1.2 Executive/Administrative/Managerial Professionals
21,23.0,0,2007,Year,University of Pretoria,,AFRICAN,   1.2 Executive/Administrative/Managerial Professionals
22,0.0,0,2007,Year,University of Pretoria,,ALL OTHER,   1.2 Executive/Administrative/Managerial Professionals
23,251.0,0,2007,Year,University of Pretoria,TOTAL,TOTAL,   1.2 Executive/Administrative/Managerial Professionals
24,110.0,0,2007,Year,University of Pretoria,MALE,,   1.2 Executive/Administrative/Managerial Professionals
25,141.0,0,2007,Year,University of Pretoria,FEMALE,,   1.2 Executive/Administrative/Managerial Professionals
26,0.0,0,2007,Year,University of Pretoria,UNKNOWN,,   1.2 Executive/Administrative/Managerial Professionals
27,183.0,0,2007,Year,University of Pretoria,,WHITE,   1.3 Specialist/Support Professionals
28,17.0,0,2007,Year,University of Pretoria,,COLOURED,   1.3 Specialist/Support Professionals
29,2.0,0,2007,Year,University of Pretoria,,INDIAN,   1.3 Specialist/Support Professionals
30,60.0,0,2007,Year,University of Pretoria,,AFRICAN,   1.3 Specialist/Support Professionals
31,0.0,0,2007,Year,University of Pretoria,,ALL OTHER,   1.3 Specialist/Support Professionals
32,262.0,0,2007,Year,University of Pretoria,TOTAL,TOTAL,   1.3 Specialist/Support Professionals
33,111.0,0,2007,Year,University of Pretoria,MALE,,   1.3 Specialist/Support Professionals
34,151.0,0,2007,Year,University of Pretoria,FEMALE,,   1.3 Specialist/Support Professionals
35,0.0,0,2007,Year,University of Pretoria,UNKNOWN,,   1.3 Specialist/Support Professionals
36,602.0,0,2007,Year,University of Pretoria,,WHITE,2.0 Non-Professional Staff    -Sub-total
37,36.0,0,2007,Year,University of Pretoria,,COLOURED,2.0 Non-Professional Staff    -Sub-total
38,20.0,0,2007,Year,University of Pretoria,,INDIAN,2.0 Non-Professional Staff    -Sub-total
