,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,33.0,0,2007,Year,University of Venda,,WHITE,1.0 Professional Staff     -Sub-total
1,2.0,0,2007,Year,University of Venda,,COLOURED,1.0 Professional Staff     -Sub-total
2,4.0,0,2007,Year,University of Venda,,INDIAN,1.0 Professional Staff     -Sub-total
3,311.0,0,2007,Year,University of Venda,,AFRICAN,1.0 Professional Staff     -Sub-total
4,0.0,0,2007,Year,University of Venda,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,350.0,0,2007,Year,University of Venda,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,238.0,0,2007,Year,University of Venda,MALE,,1.0 Professional Staff     -Sub-total
7,112.0,0,2007,Year,University of Venda,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2007,Year,University of Venda,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,30.0,0,2007,Year,University of Venda,,WHITE,   1.1 Instruction/Research Professional
10,1.0,0,2007,Year,University of Venda,,COLOURED,   1.1 Instruction/Research Professional
11,4.0,0,2007,Year,University of Venda,,INDIAN,   1.1 Instruction/Research Professional
12,243.0,0,2007,Year,University of Venda,,AFRICAN,   1.1 Instruction/Research Professional
13,0.0,0,2007,Year,University of Venda,,ALL OTHER,   1.1 Instruction/Research Professional
14,278.0,0,2007,Year,University of Venda,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,191.0,0,2007,Year,University of Venda,MALE,,   1.1 Instruction/Research Professional
16,87.0,0,2007,Year,University of Venda,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2007,Year,University of Venda,UNKNOWN,,   1.1 Instruction/Research Professional
18,3.0,0,2007,Year,University of Venda,,WHITE,   1.2 Executive/Administrative/Managerial Professionals
19,0.0,0,2007,Year,University of Venda,,COLOURED,   1.2 Executive/Administrative/Managerial Professionals
20,0.0,0,2007,Year,University of Venda,,INDIAN,   1.2 Executive/Administrative/Managerial Professionals
21,20.0,0,2007,Year,University of Venda,,AFRICAN,   1.2 Executive/Administrative/Managerial Professionals
22,0.0,0,2007,Year,University of Venda,,ALL OTHER,   1.2 Executive/Administrative/Managerial Professionals
23,23.0,0,2007,Year,University of Venda,TOTAL,TOTAL,   1.2 Executive/Administrative/Managerial Professionals
24,17.0,0,2007,Year,University of Venda,MALE,,   1.2 Executive/Administrative/Managerial Professionals
25,6.0,0,2007,Year,University of Venda,FEMALE,,   1.2 Executive/Administrative/Managerial Professionals
26,0.0,0,2007,Year,University of Venda,UNKNOWN,,   1.2 Executive/Administrative/Managerial Professionals
27,0.0,0,2007,Year,University of Venda,,WHITE,   1.3 Specialist/Support Professionals
28,1.0,0,2007,Year,University of Venda,,COLOURED,   1.3 Specialist/Support Professionals
29,0.0,0,2007,Year,University of Venda,,INDIAN,   1.3 Specialist/Support Professionals
30,48.0,0,2007,Year,University of Venda,,AFRICAN,   1.3 Specialist/Support Professionals
31,0.0,0,2007,Year,University of Venda,,ALL OTHER,   1.3 Specialist/Support Professionals
32,49.0,0,2007,Year,University of Venda,TOTAL,TOTAL,   1.3 Specialist/Support Professionals
