,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,86.0,0,2007,Year,University of Zululand,,WHITE,1.0 Professional Staff     -Sub-total
1,5.0,0,2007,Year,University of Zululand,,COLOURED,1.0 Professional Staff     -Sub-total
2,27.0,0,2007,Year,University of Zululand,,INDIAN,1.0 Professional Staff     -Sub-total
3,185.0,0,2007,Year,University of Zululand,,AFRICAN,1.0 Professional Staff     -Sub-total
4,0.0,0,2007,Year,University of Zululand,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,303.0,0,2007,Year,University of Zululand,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,187.0,0,2007,Year,University of Zululand,MALE,,1.0 Professional Staff     -Sub-total
7,116.0,0,2007,Year,University of Zululand,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2007,Year,University of Zululand,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,66.0,0,2007,Year,University of Zululand,,WHITE,   1.1 Instruction/Research Professional
10,2.0,0,2007,Year,University of Zululand,,COLOURED,   1.1 Instruction/Research Professional
11,20.0,0,2007,Year,University of Zululand,,INDIAN,   1.1 Instruction/Research Professional
12,143.0,0,2007,Year,University of Zululand,,AFRICAN,   1.1 Instruction/Research Professional
13,0.0,0,2007,Year,University of Zululand,,ALL OTHER,   1.1 Instruction/Research Professional
14,231.0,0,2007,Year,University of Zululand,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,136.0,0,2007,Year,University of Zululand,MALE,,   1.1 Instruction/Research Professional
16,95.0,0,2007,Year,University of Zululand,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2007,Year,University of Zululand,UNKNOWN,,   1.1 Instruction/Research Professional
18,12.0,0,2007,Year,University of Zululand,,WHITE,   1.2 Executive/Administrative/Managerial Professionals
19,2.0,0,2007,Year,University of Zululand,,COLOURED,   1.2 Executive/Administrative/Managerial Professionals
20,6.0,0,2007,Year,University of Zululand,,INDIAN,   1.2 Executive/Administrative/Managerial Professionals
21,20.0,0,2007,Year,University of Zululand,,AFRICAN,   1.2 Executive/Administrative/Managerial Professionals
22,0.0,0,2007,Year,University of Zululand,,ALL OTHER,   1.2 Executive/Administrative/Managerial Professionals
23,40.0,0,2007,Year,University of Zululand,TOTAL,TOTAL,   1.2 Executive/Administrative/Managerial Professionals
24,31.0,0,2007,Year,University of Zululand,MALE,,   1.2 Executive/Administrative/Managerial Professionals
25,9.0,0,2007,Year,University of Zululand,FEMALE,,   1.2 Executive/Administrative/Managerial Professionals
26,0.0,0,2007,Year,University of Zululand,UNKNOWN,,   1.2 Executive/Administrative/Managerial Professionals
27,8.0,0,2007,Year,University of Zululand,,WHITE,   1.3 Specialist/Support Professionals
28,1.0,0,2007,Year,University of Zululand,,COLOURED,   1.3 Specialist/Support Professionals
29,1.0,0,2007,Year,University of Zululand,,INDIAN,   1.3 Specialist/Support Professionals
30,22.0,0,2007,Year,University of Zululand,,AFRICAN,   1.3 Specialist/Support Professionals
31,0.0,0,2007,Year,University of Zululand,,ALL OTHER,   1.3 Specialist/Support Professionals
32,32.0,0,2007,Year,University of Zululand,TOTAL,TOTAL,   1.3 Specialist/Support Professionals
33,20.0,0,2007,Year,University of Zululand,MALE,,   1.3 Specialist/Support Professionals
34,12.0,0,2007,Year,University of Zululand,FEMALE,,   1.3 Specialist/Support Professionals
35,0.0,0,2007,Year,University of Zululand,UNKNOWN,,   1.3 Specialist/Support Professionals
36,27.0,0,2007,Year,University of Zululand,,WHITE,2.0 Non-Professional Staff    -Sub-total
