,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,200.0,0,2008,Year,Durban Institute of Technology,,WHITE,1.0 Professional Staff     -Sub-total
1,18.0,0,2008,Year,Durban Institute of Technology,,COLOURED,1.0 Professional Staff     -Sub-total
2,290.0,0,2008,Year,Durban Institute of Technology,,INDIAN,1.0 Professional Staff     -Sub-total
3,156.0,0,2008,Year,Durban Institute of Technology,,AFRICAN,1.0 Professional Staff     -Sub-total
4,2.0,0,2008,Year,Durban Institute of Technology,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,666.0,0,2008,Year,Durban Institute of Technology,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,366.0,0,2008,Year,Durban Institute of Technology,MALE,,1.0 Professional Staff     -Sub-total
7,300.0,0,2008,Year,Durban Institute of Technology,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2008,Year,Durban Institute of Technology,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,188.0,0,2008,Year,Durban Institute of Technology,,WHITE,   1.1 Instruction/Research Professional
10,14.0,0,2008,Year,Durban Institute of Technology,,COLOURED,   1.1 Instruction/Research Professional
11,245.0,0,2008,Year,Durban Institute of Technology,,INDIAN,   1.1 Instruction/Research Professional
12,129.0,0,2008,Year,Durban Institute of Technology,,AFRICAN,   1.1 Instruction/Research Professional
13,2.0,0,2008,Year,Durban Institute of Technology,,ALL OTHER,   1.1 Instruction/Research Professional
14,578.0,0,2008,Year,Durban Institute of Technology,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,316.0,0,2008,Year,Durban Institute of Technology,MALE,,   1.1 Instruction/Research Professional
16,262.0,0,2008,Year,Durban Institute of Technology,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2008,Year,Durban Institute of Technology,UNKNOWN,,   1.1 Instruction/Research Professional
18,5.0,0,2008,Year,Durban Institute of Technology,,WHITE,   1.2 Executive/Administrative/Managerial Professionals
19,3.0,0,2008,Year,Durban Institute of Technology,,COLOURED,   1.2 Executive/Administrative/Managerial Professionals
20,11.0,0,2008,Year,Durban Institute of Technology,,INDIAN,   1.2 Executive/Administrative/Managerial Professionals
21,7.0,0,2008,Year,Durban Institute of Technology,,AFRICAN,   1.2 Executive/Administrative/Managerial Professionals
22,0.0,0,2008,Year,Durban Institute of Technology,,ALL OTHER,   1.2 Executive/Administrative/Managerial Professionals
23,26.0,0,2008,Year,Durban Institute of Technology,TOTAL,TOTAL,   1.2 Executive/Administrative/Managerial Professionals
24,19.0,0,2008,Year,Durban Institute of Technology,MALE,,   1.2 Executive/Administrative/Managerial Professionals
25,7.0,0,2008,Year,Durban Institute of Technology,FEMALE,,   1.2 Executive/Administrative/Managerial Professionals
26,0.0,0,2008,Year,Durban Institute of Technology,UNKNOWN,,   1.2 Executive/Administrative/Managerial Professionals
27,7.0,0,2008,Year,Durban Institute of Technology,,WHITE,   1.3 Specialist/Support Professionals
28,1.0,0,2008,Year,Durban Institute of Technology,,COLOURED,   1.3 Specialist/Support Professionals
29,34.0,0,2008,Year,Durban Institute of Technology,,INDIAN,   1.3 Specialist/Support Professionals
30,20.0,0,2008,Year,Durban Institute of Technology,,AFRICAN,   1.3 Specialist/Support Professionals
31,0.0,0,2008,Year,Durban Institute of Technology,,ALL OTHER,   1.3 Specialist/Support Professionals
32,62.0,0,2008,Year,Durban Institute of Technology,TOTAL,TOTAL,   1.3 Specialist/Support Professionals
33,31.0,0,2008,Year,Durban Institute of Technology,MALE,,   1.3 Specialist/Support Professionals
34,31.0,0,2008,Year,Durban Institute of Technology,FEMALE,,   1.3 Specialist/Support Professionals
35,0.0,0,2008,Year,Durban Institute of Technology,UNKNOWN,,   1.3 Specialist/Support Professionals
36,56.0,0,2008,Year,Durban Institute of Technology,,WHITE,2.0 Non-Professional Staff    -Sub-total
37,24.0,0,2008,Year,Durban Institute of Technology,,COLOURED,2.0 Non-Professional Staff    -Sub-total
38,291.0,0,2008,Year,Durban Institute of Technology,,INDIAN,2.0 Non-Professional Staff    -Sub-total
39,323.0,0,2008,Year,Durban Institute of Technology,,AFRICAN,2.0 Non-Professional Staff    -Sub-total
40,1.0,0,2008,Year,Durban Institute of Technology,,ALL OTHER,2.0 Non-Professional Staff    -Sub-total
41,695.0,0,2008,Year,Durban Institute of Technology,TOTAL,TOTAL,2.0 Non-Professional Staff    -Sub-total
