,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,591.0,0,2008,Year,Nelson Mandela Metropolitan University,,WHITE,1.0 Professional Staff     -Sub-total
1,75.0,0,2008,Year,Nelson Mandela Metropolitan University,,COLOURED,1.0 Professional Staff     -Sub-total
2,31.0,0,2008,Year,Nelson Mandela Metropolitan University,,INDIAN,1.0 Professional Staff     -Sub-total
3,86.0,0,2008,Year,Nelson Mandela Metropolitan University,,AFRICAN,1.0 Professional Staff     -Sub-total
4,0.0,0,2008,Year,Nelson Mandela Metropolitan University,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,783.0,0,2008,Year,Nelson Mandela Metropolitan University,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,429.0,0,2008,Year,Nelson Mandela Metropolitan University,MALE,,1.0 Professional Staff     -Sub-total
7,354.0,0,2008,Year,Nelson Mandela Metropolitan University,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2008,Year,Nelson Mandela Metropolitan University,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,430.0,0,2008,Year,Nelson Mandela Metropolitan University,,WHITE,   1.1 Instruction/Research Professional
10,34.0,0,2008,Year,Nelson Mandela Metropolitan University,,COLOURED,   1.1 Instruction/Research Professional
11,18.0,0,2008,Year,Nelson Mandela Metropolitan University,,INDIAN,   1.1 Instruction/Research Professional
12,49.0,0,2008,Year,Nelson Mandela Metropolitan University,,AFRICAN,   1.1 Instruction/Research Professional
13,0.0,0,2008,Year,Nelson Mandela Metropolitan University,,ALL OTHER,   1.1 Instruction/Research Professional
14,531.0,0,2008,Year,Nelson Mandela Metropolitan University,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,304.0,0,2008,Year,Nelson Mandela Metropolitan University,MALE,,   1.1 Instruction/Research Professional
16,227.0,0,2008,Year,Nelson Mandela Metropolitan University,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2008,Year,Nelson Mandela Metropolitan University,UNKNOWN,,   1.1 Instruction/Research Professional
18,93.0,0,2008,Year,Nelson Mandela Metropolitan University,,WHITE,   1.2 Executive/Administrative/Managerial Professionals
19,20.0,0,2008,Year,Nelson Mandela Metropolitan University,,COLOURED,   1.2 Executive/Administrative/Managerial Professionals
20,8.0,0,2008,Year,Nelson Mandela Metropolitan University,,INDIAN,   1.2 Executive/Administrative/Managerial Professionals
21,14.0,0,2008,Year,Nelson Mandela Metropolitan University,,AFRICAN,   1.2 Executive/Administrative/Managerial Professionals
22,0.0,0,2008,Year,Nelson Mandela Metropolitan University,,ALL OTHER,   1.2 Executive/Administrative/Managerial Professionals
23,135.0,0,2008,Year,Nelson Mandela Metropolitan University,TOTAL,TOTAL,   1.2 Executive/Administrative/Managerial Professionals
24,86.0,0,2008,Year,Nelson Mandela Metropolitan University,MALE,,   1.2 Executive/Administrative/Managerial Professionals
25,49.0,0,2008,Year,Nelson Mandela Metropolitan University,FEMALE,,   1.2 Executive/Administrative/Managerial Professionals
26,0.0,0,2008,Year,Nelson Mandela Metropolitan University,UNKNOWN,,   1.2 Executive/Administrative/Managerial Professionals
27,68.0,0,2008,Year,Nelson Mandela Metropolitan University,,WHITE,   1.3 Specialist/Support Professionals
