,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,787.0,0,2008,Year,University of Cape Town,,WHITE,1.0 Professional Staff     -Sub-total
1,231.0,0,2008,Year,University of Cape Town,,COLOURED,1.0 Professional Staff     -Sub-total
2,75.0,0,2008,Year,University of Cape Town,,INDIAN,1.0 Professional Staff     -Sub-total
3,129.0,0,2008,Year,University of Cape Town,,AFRICAN,1.0 Professional Staff     -Sub-total
4,214.0,0,2008,Year,University of Cape Town,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,1436.0,0,2008,Year,University of Cape Town,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,804.0,0,2008,Year,University of Cape Town,MALE,,1.0 Professional Staff     -Sub-total
7,632.0,0,2008,Year,University of Cape Town,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2008,Year,University of Cape Town,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,551.0,0,2008,Year,University of Cape Town,,WHITE,   1.1 Instruction/Research Professional
10,83.0,0,2008,Year,University of Cape Town,,COLOURED,   1.1 Instruction/Research Professional
11,55.0,0,2008,Year,University of Cape Town,,INDIAN,   1.1 Instruction/Research Professional
12,74.0,0,2008,Year,University of Cape Town,,AFRICAN,   1.1 Instruction/Research Professional
13,174.0,0,2008,Year,University of Cape Town,,ALL OTHER,   1.1 Instruction/Research Professional
14,937.0,0,2008,Year,University of Cape Town,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,567.0,0,2008,Year,University of Cape Town,MALE,,   1.1 Instruction/Research Professional
16,370.0,0,2008,Year,University of Cape Town,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2008,Year,University of Cape Town,UNKNOWN,,   1.1 Instruction/Research Professional
18,36.0,0,2008,Year,University of Cape Town,,WHITE,   1.2 Executive/Administrative/Managerial Professionals
19,10.0,0,2008,Year,University of Cape Town,,COLOURED,   1.2 Executive/Administrative/Managerial Professionals
20,4.0,0,2008,Year,University of Cape Town,,INDIAN,   1.2 Executive/Administrative/Managerial Professionals
21,7.0,0,2008,Year,University of Cape Town,,AFRICAN,   1.2 Executive/Administrative/Managerial Professionals
22,9.0,0,2008,Year,University of Cape Town,,ALL OTHER,   1.2 Executive/Administrative/Managerial Professionals
23,66.0,0,2008,Year,University of Cape Town,TOTAL,TOTAL,   1.2 Executive/Administrative/Managerial Professionals
24,41.0,0,2008,Year,University of Cape Town,MALE,,   1.2 Executive/Administrative/Managerial Professionals
25,25.0,0,2008,Year,University of Cape Town,FEMALE,,   1.2 Executive/Administrative/Managerial Professionals
26,0.0,0,2008,Year,University of Cape Town,UNKNOWN,,   1.2 Executive/Administrative/Managerial Professionals
27,200.0,0,2008,Year,University of Cape Town,,WHITE,   1.3 Specialist/Support Professionals
28,138.0,0,2008,Year,University of Cape Town,,COLOURED,   1.3 Specialist/Support Professionals
29,16.0,0,2008,Year,University of Cape Town,,INDIAN,   1.3 Specialist/Support Professionals
30,48.0,0,2008,Year,University of Cape Town,,AFRICAN,   1.3 Specialist/Support Professionals
31,31.0,0,2008,Year,University of Cape Town,,ALL OTHER,   1.3 Specialist/Support Professionals
32,433.0,0,2008,Year,University of Cape Town,TOTAL,TOTAL,   1.3 Specialist/Support Professionals
33,196.0,0,2008,Year,University of Cape Town,MALE,,   1.3 Specialist/Support Professionals
34,237.0,0,2008,Year,University of Cape Town,FEMALE,,   1.3 Specialist/Support Professionals
35,0.0,0,2008,Year,University of Cape Town,UNKNOWN,,   1.3 Specialist/Support Professionals
36,348.0,0,2008,Year,University of Cape Town,,WHITE,2.0 Non-Professional Staff    -Sub-total
37,879.0,0,2008,Year,University of Cape Town,,COLOURED,2.0 Non-Professional Staff    -Sub-total
38,49.0,0,2008,Year,University of Cape Town,,INDIAN,2.0 Non-Professional Staff    -Sub-total
39,308.0,0,2008,Year,University of Cape Town,,AFRICAN,2.0 Non-Professional Staff    -Sub-total
40,81.0,0,2008,Year,University of Cape Town,,ALL OTHER,2.0 Non-Professional Staff    -Sub-total
41,1665.0,0,2008,Year,University of Cape Town,TOTAL,TOTAL,2.0 Non-Professional Staff    -Sub-total
42,557.0,0,2008,Year,University of Cape Town,MALE,,2.0 Non-Professional Staff    -Sub-total
43,1108.0,0,2008,Year,University of Cape Town,FEMALE,,2.0 Non-Professional Staff    -Sub-total
44,0.0,0,2008,Year,University of Cape Town,UNKNOWN,,2.0 Non-Professional Staff    -Sub-total
45,91.0,0,2008,Year,University of Cape Town,,WHITE,   2.1 Technical Employees
46,75.0,0,2008,Year,University of Cape Town,,COLOURED,   2.1 Technical Employees
47,7.0,0,2008,Year,University of Cape Town,,INDIAN,   2.1 Technical Employees
48,23.0,0,2008,Year,University of Cape Town,,AFRICAN,   2.1 Technical Employees
49,30.0,0,2008,Year,University of Cape Town,,ALL OTHER,   2.1 Technical Employees
50,226.0,0,2008,Year,University of Cape Town,TOTAL,TOTAL,   2.1 Technical Employees
51,129.0,0,2008,Year,University of Cape Town,MALE,,   2.1 Technical Employees
