,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,152.0,0,2008,Year,University of Fort Hare,,WHITE,1.0 Professional Staff     -Sub-total
1,20.0,0,2008,Year,University of Fort Hare,,COLOURED,1.0 Professional Staff     -Sub-total
2,18.0,0,2008,Year,University of Fort Hare,,INDIAN,1.0 Professional Staff     -Sub-total
3,371.0,0,2008,Year,University of Fort Hare,,AFRICAN,1.0 Professional Staff     -Sub-total
4,0.0,0,2008,Year,University of Fort Hare,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,561.0,0,2008,Year,University of Fort Hare,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,323.0,0,2008,Year,University of Fort Hare,MALE,,1.0 Professional Staff     -Sub-total
7,238.0,0,2008,Year,University of Fort Hare,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2008,Year,University of Fort Hare,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,104.0,0,2008,Year,University of Fort Hare,,WHITE,   1.1 Instruction/Research Professional
10,5.0,0,2008,Year,University of Fort Hare,,COLOURED,   1.1 Instruction/Research Professional
11,17.0,0,2008,Year,University of Fort Hare,,INDIAN,   1.1 Instruction/Research Professional
12,210.0,0,2008,Year,University of Fort Hare,,AFRICAN,   1.1 Instruction/Research Professional
13,0.0,0,2008,Year,University of Fort Hare,,ALL OTHER,   1.1 Instruction/Research Professional
14,336.0,0,2008,Year,University of Fort Hare,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,214.0,0,2008,Year,University of Fort Hare,MALE,,   1.1 Instruction/Research Professional
16,122.0,0,2008,Year,University of Fort Hare,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2008,Year,University of Fort Hare,UNKNOWN,,   1.1 Instruction/Research Professional
18,21.0,0,2008,Year,University of Fort Hare,,WHITE,   1.2 Executive/Administrative/Managerial Professionals
19,6.0,0,2008,Year,University of Fort Hare,,COLOURED,   1.2 Executive/Administrative/Managerial Professionals
20,1.0,0,2008,Year,University of Fort Hare,,INDIAN,   1.2 Executive/Administrative/Managerial Professionals
21,33.0,0,2008,Year,University of Fort Hare,,AFRICAN,   1.2 Executive/Administrative/Managerial Professionals
22,0.0,0,2008,Year,University of Fort Hare,,ALL OTHER,   1.2 Executive/Administrative/Managerial Professionals
