,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,790.0,0,2008,Year,University of Johannesburg,,WHITE,1.0 Professional Staff     -Sub-total
1,46.0,0,2008,Year,University of Johannesburg,,COLOURED,1.0 Professional Staff     -Sub-total
2,85.0,0,2008,Year,University of Johannesburg,,INDIAN,1.0 Professional Staff     -Sub-total
3,247.0,0,2008,Year,University of Johannesburg,,AFRICAN,1.0 Professional Staff     -Sub-total
4,0.0,0,2008,Year,University of Johannesburg,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,1168.0,0,2008,Year,University of Johannesburg,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,611.0,0,2008,Year,University of Johannesburg,MALE,,1.0 Professional Staff     -Sub-total
7,557.0,0,2008,Year,University of Johannesburg,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2008,Year,University of Johannesburg,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,604.0,0,2008,Year,University of Johannesburg,,WHITE,   1.1 Instruction/Research Professional
10,23.0,0,2008,Year,University of Johannesburg,,COLOURED,   1.1 Instruction/Research Professional
11,60.0,0,2008,Year,University of Johannesburg,,INDIAN,   1.1 Instruction/Research Professional
12,166.0,0,2008,Year,University of Johannesburg,,AFRICAN,   1.1 Instruction/Research Professional
13,0.0,0,2008,Year,University of Johannesburg,,ALL OTHER,   1.1 Instruction/Research Professional
14,853.0,0,2008,Year,University of Johannesburg,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,469.0,0,2008,Year,University of Johannesburg,MALE,,   1.1 Instruction/Research Professional
16,384.0,0,2008,Year,University of Johannesburg,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2008,Year,University of Johannesburg,UNKNOWN,,   1.1 Instruction/Research Professional
18,37.0,0,2008,Year,University of Johannesburg,,WHITE,   1.2 Executive/Administrative/Managerial Professionals
19,4.0,0,2008,Year,University of Johannesburg,,COLOURED,   1.2 Executive/Administrative/Managerial Professionals
20,5.0,0,2008,Year,University of Johannesburg,,INDIAN,   1.2 Executive/Administrative/Managerial Professionals
21,19.0,0,2008,Year,University of Johannesburg,,AFRICAN,   1.2 Executive/Administrative/Managerial Professionals
22,0.0,0,2008,Year,University of Johannesburg,,ALL OTHER,   1.2 Executive/Administrative/Managerial Professionals
23,65.0,0,2008,Year,University of Johannesburg,TOTAL,TOTAL,   1.2 Executive/Administrative/Managerial Professionals
24,36.0,0,2008,Year,University of Johannesburg,MALE,,   1.2 Executive/Administrative/Managerial Professionals
25,29.0,0,2008,Year,University of Johannesburg,FEMALE,,   1.2 Executive/Administrative/Managerial Professionals
26,0.0,0,2008,Year,University of Johannesburg,UNKNOWN,,   1.2 Executive/Administrative/Managerial Professionals
27,149.0,0,2008,Year,University of Johannesburg,,WHITE,   1.3 Specialist/Support Professionals
28,19.0,0,2008,Year,University of Johannesburg,,COLOURED,   1.3 Specialist/Support Professionals
29,20.0,0,2008,Year,University of Johannesburg,,INDIAN,   1.3 Specialist/Support Professionals
30,62.0,0,2008,Year,University of Johannesburg,,AFRICAN,   1.3 Specialist/Support Professionals
31,0.0,0,2008,Year,University of Johannesburg,,ALL OTHER,   1.3 Specialist/Support Professionals
32,250.0,0,2008,Year,University of Johannesburg,TOTAL,TOTAL,   1.3 Specialist/Support Professionals
33,106.0,0,2008,Year,University of Johannesburg,MALE,,   1.3 Specialist/Support Professionals
34,144.0,0,2008,Year,University of Johannesburg,FEMALE,,   1.3 Specialist/Support Professionals
35,0.0,0,2008,Year,University of Johannesburg,UNKNOWN,,   1.3 Specialist/Support Professionals
36,446.0,0,2008,Year,University of Johannesburg,,WHITE,2.0 Non-Professional Staff    -Sub-total
37,109.0,0,2008,Year,University of Johannesburg,,COLOURED,2.0 Non-Professional Staff    -Sub-total
38,42.0,0,2008,Year,University of Johannesburg,,INDIAN,2.0 Non-Professional Staff    -Sub-total
39,775.0,0,2008,Year,University of Johannesburg,,AFRICAN,2.0 Non-Professional Staff    -Sub-total
40,0.0,0,2008,Year,University of Johannesburg,,ALL OTHER,2.0 Non-Professional Staff    -Sub-total
