,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,789.0,0,2008,Year,University of KwaZulu-Natal,,WHITE,1.0 Professional Staff     -Sub-total
1,51.0,0,2008,Year,University of KwaZulu-Natal,,COLOURED,1.0 Professional Staff     -Sub-total
2,597.0,0,2008,Year,University of KwaZulu-Natal,,INDIAN,1.0 Professional Staff     -Sub-total
3,481.0,0,2008,Year,University of KwaZulu-Natal,,AFRICAN,1.0 Professional Staff     -Sub-total
4,23.0,0,2008,Year,University of KwaZulu-Natal,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,1941.0,0,2008,Year,University of KwaZulu-Natal,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,1032.0,0,2008,Year,University of KwaZulu-Natal,MALE,,1.0 Professional Staff     -Sub-total
7,909.0,0,2008,Year,University of KwaZulu-Natal,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2008,Year,University of KwaZulu-Natal,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,652.0,0,2008,Year,University of KwaZulu-Natal,,WHITE,   1.1 Instruction/Research Professional
10,33.0,0,2008,Year,University of KwaZulu-Natal,,COLOURED,   1.1 Instruction/Research Professional
11,436.0,0,2008,Year,University of KwaZulu-Natal,,INDIAN,   1.1 Instruction/Research Professional
12,333.0,0,2008,Year,University of KwaZulu-Natal,,AFRICAN,   1.1 Instruction/Research Professional
13,22.0,0,2008,Year,University of KwaZulu-Natal,,ALL OTHER,   1.1 Instruction/Research Professional
14,1476.0,0,2008,Year,University of KwaZulu-Natal,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,818.0,0,2008,Year,University of KwaZulu-Natal,MALE,,   1.1 Instruction/Research Professional
16,658.0,0,2008,Year,University of KwaZulu-Natal,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2008,Year,University of KwaZulu-Natal,UNKNOWN,,   1.1 Instruction/Research Professional
18,54.0,0,2008,Year,University of KwaZulu-Natal,,WHITE,   1.2 Executive/Administrative/Managerial Professionals
19,4.0,0,2008,Year,University of KwaZulu-Natal,,COLOURED,   1.2 Executive/Administrative/Managerial Professionals
20,56.0,0,2008,Year,University of KwaZulu-Natal,,INDIAN,   1.2 Executive/Administrative/Managerial Professionals
21,36.0,0,2008,Year,University of KwaZulu-Natal,,AFRICAN,   1.2 Executive/Administrative/Managerial Professionals
22,0.0,0,2008,Year,University of KwaZulu-Natal,,ALL OTHER,   1.2 Executive/Administrative/Managerial Professionals
23,150.0,0,2008,Year,University of KwaZulu-Natal,TOTAL,TOTAL,   1.2 Executive/Administrative/Managerial Professionals
24,99.0,0,2008,Year,University of KwaZulu-Natal,MALE,,   1.2 Executive/Administrative/Managerial Professionals
25,51.0,0,2008,Year,University of KwaZulu-Natal,FEMALE,,   1.2 Executive/Administrative/Managerial Professionals
26,0.0,0,2008,Year,University of KwaZulu-Natal,UNKNOWN,,   1.2 Executive/Administrative/Managerial Professionals
27,83.0,0,2008,Year,University of KwaZulu-Natal,,WHITE,   1.3 Specialist/Support Professionals
28,14.0,0,2008,Year,University of KwaZulu-Natal,,COLOURED,   1.3 Specialist/Support Professionals
29,105.0,0,2008,Year,University of KwaZulu-Natal,,INDIAN,   1.3 Specialist/Support Professionals
