,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,1278.0,0,2008,Year,University of South Africa,,WHITE,1.0 Professional Staff     -Sub-total
1,58.0,0,2008,Year,University of South Africa,,COLOURED,1.0 Professional Staff     -Sub-total
2,78.0,0,2008,Year,University of South Africa,,INDIAN,1.0 Professional Staff     -Sub-total
3,709.0,0,2008,Year,University of South Africa,,AFRICAN,1.0 Professional Staff     -Sub-total
4,0.0,0,2008,Year,University of South Africa,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,2123.0,0,2008,Year,University of South Africa,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,998.0,0,2008,Year,University of South Africa,MALE,,1.0 Professional Staff     -Sub-total
7,1125.0,0,2008,Year,University of South Africa,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2008,Year,University of South Africa,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,852.0,0,2008,Year,University of South Africa,,WHITE,   1.1 Instruction/Research Professional
10,30.0,0,2008,Year,University of South Africa,,COLOURED,   1.1 Instruction/Research Professional
11,53.0,0,2008,Year,University of South Africa,,INDIAN,   1.1 Instruction/Research Professional
12,378.0,0,2008,Year,University of South Africa,,AFRICAN,   1.1 Instruction/Research Professional
13,0.0,0,2008,Year,University of South Africa,,ALL OTHER,   1.1 Instruction/Research Professional
14,1313.0,0,2008,Year,University of South Africa,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,636.0,0,2008,Year,University of South Africa,MALE,,   1.1 Instruction/Research Professional
16,677.0,0,2008,Year,University of South Africa,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2008,Year,University of South Africa,UNKNOWN,,   1.1 Instruction/Research Professional
18,100.0,0,2008,Year,University of South Africa,,WHITE,   1.2 Executive/Administrative/Managerial Professionals
19,4.0,0,2008,Year,University of South Africa,,COLOURED,   1.2 Executive/Administrative/Managerial Professionals
20,6.0,0,2008,Year,University of South Africa,,INDIAN,   1.2 Executive/Administrative/Managerial Professionals
21,50.0,0,2008,Year,University of South Africa,,AFRICAN,   1.2 Executive/Administrative/Managerial Professionals
22,0.0,0,2008,Year,University of South Africa,,ALL OTHER,   1.2 Executive/Administrative/Managerial Professionals
23,160.0,0,2008,Year,University of South Africa,TOTAL,TOTAL,   1.2 Executive/Administrative/Managerial Professionals
24,100.0,0,2008,Year,University of South Africa,MALE,,   1.2 Executive/Administrative/Managerial Professionals
25,60.0,0,2008,Year,University of South Africa,FEMALE,,   1.2 Executive/Administrative/Managerial Professionals
26,0.0,0,2008,Year,University of South Africa,UNKNOWN,,   1.2 Executive/Administrative/Managerial Professionals
27,326.0,0,2008,Year,University of South Africa,,WHITE,   1.3 Specialist/Support Professionals
28,24.0,0,2008,Year,University of South Africa,,COLOURED,   1.3 Specialist/Support Professionals
29,19.0,0,2008,Year,University of South Africa,,INDIAN,   1.3 Specialist/Support Professionals
30,281.0,0,2008,Year,University of South Africa,,AFRICAN,   1.3 Specialist/Support Professionals
31,0.0,0,2008,Year,University of South Africa,,ALL OTHER,   1.3 Specialist/Support Professionals
32,650.0,0,2008,Year,University of South Africa,TOTAL,TOTAL,   1.3 Specialist/Support Professionals
33,262.0,0,2008,Year,University of South Africa,MALE,,   1.3 Specialist/Support Professionals
34,388.0,0,2008,Year,University of South Africa,FEMALE,,   1.3 Specialist/Support Professionals
35,0.0,0,2008,Year,University of South Africa,UNKNOWN,,   1.3 Specialist/Support Professionals
36,637.0,0,2008,Year,University of South Africa,,WHITE,2.0 Non-Professional Staff    -Sub-total
37,124.0,0,2008,Year,University of South Africa,,COLOURED,2.0 Non-Professional Staff    -Sub-total
38,49.0,0,2008,Year,University of South Africa,,INDIAN,2.0 Non-Professional Staff    -Sub-total
39,1048.0,0,2008,Year,University of South Africa,,AFRICAN,2.0 Non-Professional Staff    -Sub-total
40,0.0,0,2008,Year,University of South Africa,,ALL OTHER,2.0 Non-Professional Staff    -Sub-total
41,1858.0,0,2008,Year,University of South Africa,TOTAL,TOTAL,2.0 Non-Professional Staff    -Sub-total
42,820.0,0,2008,Year,University of South Africa,MALE,,2.0 Non-Professional Staff    -Sub-total
43,1038.0,0,2008,Year,University of South Africa,FEMALE,,2.0 Non-Professional Staff    -Sub-total
44,0.0,0,2008,Year,University of South Africa,UNKNOWN,,2.0 Non-Professional Staff    -Sub-total
45,66.0,0,2008,Year,University of South Africa,,WHITE,   2.1 Technical Employees
