,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,86.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",,WHITE,1.0 Professional Staff     -Sub-total
1,9.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",,COLOURED,1.0 Professional Staff     -Sub-total
2,43.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",,INDIAN,1.0 Professional Staff     -Sub-total
3,516.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",,AFRICAN,1.0 Professional Staff     -Sub-total
4,0.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",,ALL OTHER,1.0 Professional Staff     -Sub-total
5,654.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,359.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",MALE,,1.0 Professional Staff     -Sub-total
7,295.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",UNKNOWN,,1.0 Professional Staff     -Sub-total
9,78.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",,WHITE,   1.1 Instruction/Research Professional
10,8.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",,COLOURED,   1.1 Instruction/Research Professional
11,39.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",,INDIAN,   1.1 Instruction/Research Professional
12,412.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",,AFRICAN,   1.1 Instruction/Research Professional
13,0.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",,ALL OTHER,   1.1 Instruction/Research Professional
14,537.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,312.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",MALE,,   1.1 Instruction/Research Professional
16,225.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",UNKNOWN,,   1.1 Instruction/Research Professional
18,5.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",,WHITE,   1.2 Executive/Administrative/Managerial Professionals
19,1.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",,COLOURED,   1.2 Executive/Administrative/Managerial Professionals
20,2.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",,INDIAN,   1.2 Executive/Administrative/Managerial Professionals
21,21.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",,AFRICAN,   1.2 Executive/Administrative/Managerial Professionals
22,0.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",,ALL OTHER,   1.2 Executive/Administrative/Managerial Professionals
23,29.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",TOTAL,TOTAL,   1.2 Executive/Administrative/Managerial Professionals
24,23.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",MALE,,   1.2 Executive/Administrative/Managerial Professionals
25,6.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",FEMALE,,   1.2 Executive/Administrative/Managerial Professionals
26,0.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",UNKNOWN,,   1.2 Executive/Administrative/Managerial Professionals
27,3.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",,WHITE,   1.3 Specialist/Support Professionals
28,0.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",,COLOURED,   1.3 Specialist/Support Professionals
29,2.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",,INDIAN,   1.3 Specialist/Support Professionals
30,83.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",,AFRICAN,   1.3 Specialist/Support Professionals
31,0.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",,ALL OTHER,   1.3 Specialist/Support Professionals
32,88.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",TOTAL,TOTAL,   1.3 Specialist/Support Professionals
33,24.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",MALE,,   1.3 Specialist/Support Professionals
34,64.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",FEMALE,,   1.3 Specialist/Support Professionals
35,0.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",UNKNOWN,,   1.3 Specialist/Support Professionals
36,23.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",,WHITE,2.0 Non-Professional Staff    -Sub-total
37,17.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",,COLOURED,2.0 Non-Professional Staff    -Sub-total
38,7.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",,INDIAN,2.0 Non-Professional Staff    -Sub-total
39,591.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",,AFRICAN,2.0 Non-Professional Staff    -Sub-total
40,0.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",,ALL OTHER,2.0 Non-Professional Staff    -Sub-total
41,638.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",TOTAL,TOTAL,2.0 Non-Professional Staff    -Sub-total
42,277.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",MALE,,2.0 Non-Professional Staff    -Sub-total
43,361.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",FEMALE,,2.0 Non-Professional Staff    -Sub-total
44,0.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",UNKNOWN,,2.0 Non-Professional Staff    -Sub-total
45,6.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",,WHITE,   2.1 Technical Employees
46,5.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",,COLOURED,   2.1 Technical Employees
47,2.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",,INDIAN,   2.1 Technical Employees
48,33.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",,AFRICAN,   2.1 Technical Employees
49,0.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",,ALL OTHER,   2.1 Technical Employees
50,46.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",TOTAL,TOTAL,   2.1 Technical Employees
51,37.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",MALE,,   2.1 Technical Employees
52,9.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",FEMALE,,   2.1 Technical Employees
53,0.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",UNKNOWN,,   2.1 Technical Employees
54,17.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",,WHITE,   2.2 Non-professional Administrative Employees
55,10.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",,COLOURED,   2.2 Non-professional Administrative Employees
56,5.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",,INDIAN,   2.2 Non-professional Administrative Employees
57,358.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",,AFRICAN,   2.2 Non-professional Administrative Employees
58,0.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",,ALL OTHER,   2.2 Non-professional Administrative Employees
59,390.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",TOTAL,TOTAL,   2.2 Non-professional Administrative Employees
60,124.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",MALE,,   2.2 Non-professional Administrative Employees
61,266.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",FEMALE,,   2.2 Non-professional Administrative Employees
62,0.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",UNKNOWN,,   2.2 Non-professional Administrative Employees
63,0.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",,WHITE,   2.3 Crafts/Trades Employees
64,2.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",,COLOURED,   2.3 Crafts/Trades Employees
65,0.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",,INDIAN,   2.3 Crafts/Trades Employees
66,100.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",,AFRICAN,   2.3 Crafts/Trades Employees
67,0.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",,ALL OTHER,   2.3 Crafts/Trades Employees
68,102.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",TOTAL,TOTAL,   2.3 Crafts/Trades Employees
69,68.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",MALE,,   2.3 Crafts/Trades Employees
70,34.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",FEMALE,,   2.3 Crafts/Trades Employees
71,0.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",UNKNOWN,,   2.3 Crafts/Trades Employees
72,0.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",,WHITE,   2.4 Service\Employees
73,0.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",,COLOURED,   2.4 Service\Employees
74,0.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",,INDIAN,   2.4 Service\Employees
75,100.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",,AFRICAN,   2.4 Service\Employees
76,0.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",,ALL OTHER,   2.4 Service\Employees
77,100.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",TOTAL,TOTAL,   2.4 Service\Employees
78,48.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",MALE,,   2.4 Service\Employees
79,52.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",FEMALE,,   2.4 Service\Employees
80,0.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",UNKNOWN,,   2.4 Service\Employees
81,0.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",,WHITE,3.0 Unknown
82,0.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",,COLOURED,3.0 Unknown
83,0.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",,INDIAN,3.0 Unknown
84,0.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",,AFRICAN,3.0 Unknown
85,0.0,0,2008,Year,"Walter Sisulu University for Technology and Science, EC",,ALL OTHER,3.0 Unknown
