,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,215.0,0,2009,Year,"Central University of Technology, Free State",,WHITE,1.0 Professional Staff     -Sub-total
1,18.0,0,2009,Year,"Central University of Technology, Free State",,COLOURED,1.0 Professional Staff     -Sub-total
2,5.0,0,2009,Year,"Central University of Technology, Free State",,INDIAN,1.0 Professional Staff     -Sub-total
3,140.0,0,2009,Year,"Central University of Technology, Free State",,AFRICAN,1.0 Professional Staff     -Sub-total
4,0.0,0,2009,Year,"Central University of Technology, Free State",,ALL OTHER,1.0 Professional Staff     -Sub-total
5,378.0,0,2009,Year,"Central University of Technology, Free State",TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,225.0,0,2009,Year,"Central University of Technology, Free State",MALE,,1.0 Professional Staff     -Sub-total
7,153.0,0,2009,Year,"Central University of Technology, Free State",FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2009,Year,"Central University of Technology, Free State",UNKNOWN,,1.0 Professional Staff     -Sub-total
9,150.0,0,2009,Year,"Central University of Technology, Free State",,WHITE,   1.1 Instruction/Research Professional
10,9.0,0,2009,Year,"Central University of Technology, Free State",,COLOURED,   1.1 Instruction/Research Professional
11,3.0,0,2009,Year,"Central University of Technology, Free State",,INDIAN,   1.1 Instruction/Research Professional
12,85.0,0,2009,Year,"Central University of Technology, Free State",,AFRICAN,   1.1 Instruction/Research Professional
13,0.0,0,2009,Year,"Central University of Technology, Free State",,ALL OTHER,   1.1 Instruction/Research Professional
14,247.0,0,2009,Year,"Central University of Technology, Free State",TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,154.0,0,2009,Year,"Central University of Technology, Free State",MALE,,   1.1 Instruction/Research Professional
16,93.0,0,2009,Year,"Central University of Technology, Free State",FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2009,Year,"Central University of Technology, Free State",UNKNOWN,,   1.1 Instruction/Research Professional
18,15.0,0,2009,Year,"Central University of Technology, Free State",,WHITE,   1.2 Executive/Administrative/Managerial Professionals
19,2.0,0,2009,Year,"Central University of Technology, Free State",,COLOURED,   1.2 Executive/Administrative/Managerial Professionals
20,0.0,0,2009,Year,"Central University of Technology, Free State",,INDIAN,   1.2 Executive/Administrative/Managerial Professionals
21,10.0,0,2009,Year,"Central University of Technology, Free State",,AFRICAN,   1.2 Executive/Administrative/Managerial Professionals
22,0.0,0,2009,Year,"Central University of Technology, Free State",,ALL OTHER,   1.2 Executive/Administrative/Managerial Professionals
23,27.0,0,2009,Year,"Central University of Technology, Free State",TOTAL,TOTAL,   1.2 Executive/Administrative/Managerial Professionals
24,19.0,0,2009,Year,"Central University of Technology, Free State",MALE,,   1.2 Executive/Administrative/Managerial Professionals
25,8.0,0,2009,Year,"Central University of Technology, Free State",FEMALE,,   1.2 Executive/Administrative/Managerial Professionals
26,0.0,0,2009,Year,"Central University of Technology, Free State",UNKNOWN,,   1.2 Executive/Administrative/Managerial Professionals
27,50.0,0,2009,Year,"Central University of Technology, Free State",,WHITE,   1.3 Specialist/Support Professionals
28,7.0,0,2009,Year,"Central University of Technology, Free State",,COLOURED,   1.3 Specialist/Support Professionals
29,2.0,0,2009,Year,"Central University of Technology, Free State",,INDIAN,   1.3 Specialist/Support Professionals
30,45.0,0,2009,Year,"Central University of Technology, Free State",,AFRICAN,   1.3 Specialist/Support Professionals
31,0.0,0,2009,Year,"Central University of Technology, Free State",,ALL OTHER,   1.3 Specialist/Support Professionals
32,104.0,0,2009,Year,"Central University of Technology, Free State",TOTAL,TOTAL,   1.3 Specialist/Support Professionals
33,52.0,0,2009,Year,"Central University of Technology, Free State",MALE,,   1.3 Specialist/Support Professionals
34,52.0,0,2009,Year,"Central University of Technology, Free State",FEMALE,,   1.3 Specialist/Support Professionals
35,0.0,0,2009,Year,"Central University of Technology, Free State",UNKNOWN,,   1.3 Specialist/Support Professionals
36,80.0,0,2009,Year,"Central University of Technology, Free State",,WHITE,2.0 Non-Professional Staff    -Sub-total
37,20.0,0,2009,Year,"Central University of Technology, Free State",,COLOURED,2.0 Non-Professional Staff    -Sub-total
38,4.0,0,2009,Year,"Central University of Technology, Free State",,INDIAN,2.0 Non-Professional Staff    -Sub-total
39,182.0,0,2009,Year,"Central University of Technology, Free State",,AFRICAN,2.0 Non-Professional Staff    -Sub-total
40,0.0,0,2009,Year,"Central University of Technology, Free State",,ALL OTHER,2.0 Non-Professional Staff    -Sub-total
41,286.0,0,2009,Year,"Central University of Technology, Free State",TOTAL,TOTAL,2.0 Non-Professional Staff    -Sub-total
42,110.0,0,2009,Year,"Central University of Technology, Free State",MALE,,2.0 Non-Professional Staff    -Sub-total
43,176.0,0,2009,Year,"Central University of Technology, Free State",FEMALE,,2.0 Non-Professional Staff    -Sub-total
44,0.0,0,2009,Year,"Central University of Technology, Free State",UNKNOWN,,2.0 Non-Professional Staff    -Sub-total
45,9.0,0,2009,Year,"Central University of Technology, Free State",,WHITE,   2.1 Technical Employees
46,0.0,0,2009,Year,"Central University of Technology, Free State",,COLOURED,   2.1 Technical Employees
47,1.0,0,2009,Year,"Central University of Technology, Free State",,INDIAN,   2.1 Technical Employees
48,12.0,0,2009,Year,"Central University of Technology, Free State",,AFRICAN,   2.1 Technical Employees
49,0.0,0,2009,Year,"Central University of Technology, Free State",,ALL OTHER,   2.1 Technical Employees
50,22.0,0,2009,Year,"Central University of Technology, Free State",TOTAL,TOTAL,   2.1 Technical Employees
51,15.0,0,2009,Year,"Central University of Technology, Free State",MALE,,   2.1 Technical Employees
52,7.0,0,2009,Year,"Central University of Technology, Free State",FEMALE,,   2.1 Technical Employees
53,0.0,0,2009,Year,"Central University of Technology, Free State",UNKNOWN,,   2.1 Technical Employees
54,57.0,0,2009,Year,"Central University of Technology, Free State",,WHITE,   2.2 Non-professional Administrative Employees
55,14.0,0,2009,Year,"Central University of Technology, Free State",,COLOURED,   2.2 Non-professional Administrative Employees
56,3.0,0,2009,Year,"Central University of Technology, Free State",,INDIAN,   2.2 Non-professional Administrative Employees
57,43.0,0,2009,Year,"Central University of Technology, Free State",,AFRICAN,   2.2 Non-professional Administrative Employees
58,0.0,0,2009,Year,"Central University of Technology, Free State",,ALL OTHER,   2.2 Non-professional Administrative Employees
59,117.0,0,2009,Year,"Central University of Technology, Free State",TOTAL,TOTAL,   2.2 Non-professional Administrative Employees
60,22.0,0,2009,Year,"Central University of Technology, Free State",MALE,,   2.2 Non-professional Administrative Employees
61,95.0,0,2009,Year,"Central University of Technology, Free State",FEMALE,,   2.2 Non-professional Administrative Employees
62,0.0,0,2009,Year,"Central University of Technology, Free State",UNKNOWN,,   2.2 Non-professional Administrative Employees
