,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,352.0,0,2009,Year,Rhodes University,,WHITE,1.0 Professional Staff     -Sub-total
1,14.0,0,2009,Year,Rhodes University,,COLOURED,1.0 Professional Staff     -Sub-total
2,18.0,0,2009,Year,Rhodes University,,INDIAN,1.0 Professional Staff     -Sub-total
3,62.0,0,2009,Year,Rhodes University,,AFRICAN,1.0 Professional Staff     -Sub-total
4,0.0,0,2009,Year,Rhodes University,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,446.0,0,2009,Year,Rhodes University,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,262.0,0,2009,Year,Rhodes University,MALE,,1.0 Professional Staff     -Sub-total
7,184.0,0,2009,Year,Rhodes University,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2009,Year,Rhodes University,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,262.0,0,2009,Year,Rhodes University,,WHITE,   1.1 Instruction/Research Professional
10,8.0,0,2009,Year,Rhodes University,,COLOURED,   1.1 Instruction/Research Professional
11,13.0,0,2009,Year,Rhodes University,,INDIAN,   1.1 Instruction/Research Professional
12,39.0,0,2009,Year,Rhodes University,,AFRICAN,   1.1 Instruction/Research Professional
13,0.0,0,2009,Year,Rhodes University,,ALL OTHER,   1.1 Instruction/Research Professional
14,322.0,0,2009,Year,Rhodes University,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,206.0,0,2009,Year,Rhodes University,MALE,,   1.1 Instruction/Research Professional
16,116.0,0,2009,Year,Rhodes University,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2009,Year,Rhodes University,UNKNOWN,,   1.1 Instruction/Research Professional
18,38.0,0,2009,Year,Rhodes University,,WHITE,   1.2 Executive/Administrative/Managerial Professionals
19,2.0,0,2009,Year,Rhodes University,,COLOURED,   1.2 Executive/Administrative/Managerial Professionals
20,2.0,0,2009,Year,Rhodes University,,INDIAN,   1.2 Executive/Administrative/Managerial Professionals
21,9.0,0,2009,Year,Rhodes University,,AFRICAN,   1.2 Executive/Administrative/Managerial Professionals
22,0.0,0,2009,Year,Rhodes University,,ALL OTHER,   1.2 Executive/Administrative/Managerial Professionals
23,51.0,0,2009,Year,Rhodes University,TOTAL,TOTAL,   1.2 Executive/Administrative/Managerial Professionals
24,33.0,0,2009,Year,Rhodes University,MALE,,   1.2 Executive/Administrative/Managerial Professionals
25,18.0,0,2009,Year,Rhodes University,FEMALE,,   1.2 Executive/Administrative/Managerial Professionals
26,0.0,0,2009,Year,Rhodes University,UNKNOWN,,   1.2 Executive/Administrative/Managerial Professionals
27,52.0,0,2009,Year,Rhodes University,,WHITE,   1.3 Specialist/Support Professionals
28,4.0,0,2009,Year,Rhodes University,,COLOURED,   1.3 Specialist/Support Professionals
29,3.0,0,2009,Year,Rhodes University,,INDIAN,   1.3 Specialist/Support Professionals
30,14.0,0,2009,Year,Rhodes University,,AFRICAN,   1.3 Specialist/Support Professionals
31,0.0,0,2009,Year,Rhodes University,,ALL OTHER,   1.3 Specialist/Support Professionals
32,73.0,0,2009,Year,Rhodes University,TOTAL,TOTAL,   1.3 Specialist/Support Professionals
33,23.0,0,2009,Year,Rhodes University,MALE,,   1.3 Specialist/Support Professionals
34,50.0,0,2009,Year,Rhodes University,FEMALE,,   1.3 Specialist/Support Professionals
35,0.0,0,2009,Year,Rhodes University,UNKNOWN,,   1.3 Specialist/Support Professionals
36,209.0,0,2009,Year,Rhodes University,,WHITE,2.0 Non-Professional Staff    -Sub-total
37,111.0,0,2009,Year,Rhodes University,,COLOURED,2.0 Non-Professional Staff    -Sub-total
38,7.0,0,2009,Year,Rhodes University,,INDIAN,2.0 Non-Professional Staff    -Sub-total
39,554.0,0,2009,Year,Rhodes University,,AFRICAN,2.0 Non-Professional Staff    -Sub-total
40,0.0,0,2009,Year,Rhodes University,,ALL OTHER,2.0 Non-Professional Staff    -Sub-total
41,881.0,0,2009,Year,Rhodes University,TOTAL,TOTAL,2.0 Non-Professional Staff    -Sub-total
42,387.0,0,2009,Year,Rhodes University,MALE,,2.0 Non-Professional Staff    -Sub-total
43,494.0,0,2009,Year,Rhodes University,FEMALE,,2.0 Non-Professional Staff    -Sub-total
44,0.0,0,2009,Year,Rhodes University,UNKNOWN,,2.0 Non-Professional Staff    -Sub-total
45,35.0,0,2009,Year,Rhodes University,,WHITE,   2.1 Technical Employees
46,7.0,0,2009,Year,Rhodes University,,COLOURED,   2.1 Technical Employees
47,3.0,0,2009,Year,Rhodes University,,INDIAN,   2.1 Technical Employees
48,10.0,0,2009,Year,Rhodes University,,AFRICAN,   2.1 Technical Employees
49,0.0,0,2009,Year,Rhodes University,,ALL OTHER,   2.1 Technical Employees
50,55.0,0,2009,Year,Rhodes University,TOTAL,TOTAL,   2.1 Technical Employees
51,43.0,0,2009,Year,Rhodes University,MALE,,   2.1 Technical Employees
52,12.0,0,2009,Year,Rhodes University,FEMALE,,   2.1 Technical Employees
53,0.0,0,2009,Year,Rhodes University,UNKNOWN,,   2.1 Technical Employees
54,139.0,0,2009,Year,Rhodes University,,WHITE,   2.2 Non-professional Administrative Employees
55,39.0,0,2009,Year,Rhodes University,,COLOURED,   2.2 Non-professional Administrative Employees
56,0.0,0,2009,Year,Rhodes University,,INDIAN,   2.2 Non-professional Administrative Employees
57,71.0,0,2009,Year,Rhodes University,,AFRICAN,   2.2 Non-professional Administrative Employees
58,0.0,0,2009,Year,Rhodes University,,ALL OTHER,   2.2 Non-professional Administrative Employees
59,249.0,0,2009,Year,Rhodes University,TOTAL,TOTAL,   2.2 Non-professional Administrative Employees
60,37.0,0,2009,Year,Rhodes University,MALE,,   2.2 Non-professional Administrative Employees
61,212.0,0,2009,Year,Rhodes University,FEMALE,,   2.2 Non-professional Administrative Employees
62,0.0,0,2009,Year,Rhodes University,UNKNOWN,,   2.2 Non-professional Administrative Employees
63,31.0,0,2009,Year,Rhodes University,,WHITE,   2.3 Crafts/Trades Employees
64,45.0,0,2009,Year,Rhodes University,,COLOURED,   2.3 Crafts/Trades Employees
65,3.0,0,2009,Year,Rhodes University,,INDIAN,   2.3 Crafts/Trades Employees
66,84.0,0,2009,Year,Rhodes University,,AFRICAN,   2.3 Crafts/Trades Employees
67,0.0,0,2009,Year,Rhodes University,,ALL OTHER,   2.3 Crafts/Trades Employees
68,163.0,0,2009,Year,Rhodes University,TOTAL,TOTAL,   2.3 Crafts/Trades Employees
69,86.0,0,2009,Year,Rhodes University,MALE,,   2.3 Crafts/Trades Employees
70,77.0,0,2009,Year,Rhodes University,FEMALE,,   2.3 Crafts/Trades Employees
71,0.0,0,2009,Year,Rhodes University,UNKNOWN,,   2.3 Crafts/Trades Employees
