,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,735.0,0,2009,Year,University of KwaZulu-Natal,,WHITE,1.0 Professional Staff     -Sub-total
1,56.0,0,2009,Year,University of KwaZulu-Natal,,COLOURED,1.0 Professional Staff     -Sub-total
2,616.0,0,2009,Year,University of KwaZulu-Natal,,INDIAN,1.0 Professional Staff     -Sub-total
3,478.0,0,2009,Year,University of KwaZulu-Natal,,AFRICAN,1.0 Professional Staff     -Sub-total
4,35.0,0,2009,Year,University of KwaZulu-Natal,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,1920.0,0,2009,Year,University of KwaZulu-Natal,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,993.0,0,2009,Year,University of KwaZulu-Natal,MALE,,1.0 Professional Staff     -Sub-total
7,927.0,0,2009,Year,University of KwaZulu-Natal,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2009,Year,University of KwaZulu-Natal,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,610.0,0,2009,Year,University of KwaZulu-Natal,,WHITE,   1.1 Instruction/Research Professional
10,35.0,0,2009,Year,University of KwaZulu-Natal,,COLOURED,   1.1 Instruction/Research Professional
11,455.0,0,2009,Year,University of KwaZulu-Natal,,INDIAN,   1.1 Instruction/Research Professional
12,320.0,0,2009,Year,University of KwaZulu-Natal,,AFRICAN,   1.1 Instruction/Research Professional
13,32.0,0,2009,Year,University of KwaZulu-Natal,,ALL OTHER,   1.1 Instruction/Research Professional
14,1452.0,0,2009,Year,University of KwaZulu-Natal,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,775.0,0,2009,Year,University of KwaZulu-Natal,MALE,,   1.1 Instruction/Research Professional
16,677.0,0,2009,Year,University of KwaZulu-Natal,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2009,Year,University of KwaZulu-Natal,UNKNOWN,,   1.1 Instruction/Research Professional
18,54.0,0,2009,Year,University of KwaZulu-Natal,,WHITE,   1.2 Executive/Administrative/Managerial Professionals
19,6.0,0,2009,Year,University of KwaZulu-Natal,,COLOURED,   1.2 Executive/Administrative/Managerial Professionals
20,56.0,0,2009,Year,University of KwaZulu-Natal,,INDIAN,   1.2 Executive/Administrative/Managerial Professionals
21,48.0,0,2009,Year,University of KwaZulu-Natal,,AFRICAN,   1.2 Executive/Administrative/Managerial Professionals
22,0.0,0,2009,Year,University of KwaZulu-Natal,,ALL OTHER,   1.2 Executive/Administrative/Managerial Professionals
23,164.0,0,2009,Year,University of KwaZulu-Natal,TOTAL,TOTAL,   1.2 Executive/Administrative/Managerial Professionals
