,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,226.0,0,2009,Year,University of Western Cape,,WHITE,1.0 Professional Staff     -Sub-total
1,267.0,0,2009,Year,University of Western Cape,,COLOURED,1.0 Professional Staff     -Sub-total
2,48.0,0,2009,Year,University of Western Cape,,INDIAN,1.0 Professional Staff     -Sub-total
3,95.0,0,2009,Year,University of Western Cape,,AFRICAN,1.0 Professional Staff     -Sub-total
4,0.0,0,2009,Year,University of Western Cape,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,636.0,0,2009,Year,University of Western Cape,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,334.0,0,2009,Year,University of Western Cape,MALE,,1.0 Professional Staff     -Sub-total
7,302.0,0,2009,Year,University of Western Cape,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2009,Year,University of Western Cape,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,201.0,0,2009,Year,University of Western Cape,,WHITE,   1.1 Instruction/Research Professional
10,203.0,0,2009,Year,University of Western Cape,,COLOURED,   1.1 Instruction/Research Professional
11,42.0,0,2009,Year,University of Western Cape,,INDIAN,   1.1 Instruction/Research Professional
12,78.0,0,2009,Year,University of Western Cape,,AFRICAN,   1.1 Instruction/Research Professional
13,0.0,0,2009,Year,University of Western Cape,,ALL OTHER,   1.1 Instruction/Research Professional
14,524.0,0,2009,Year,University of Western Cape,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,272.0,0,2009,Year,University of Western Cape,MALE,,   1.1 Instruction/Research Professional
16,252.0,0,2009,Year,University of Western Cape,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2009,Year,University of Western Cape,UNKNOWN,,   1.1 Instruction/Research Professional
18,19.0,0,2009,Year,University of Western Cape,,WHITE,   1.2 Executive/Administrative/Managerial Professionals
19,53.0,0,2009,Year,University of Western Cape,,COLOURED,   1.2 Executive/Administrative/Managerial Professionals
20,2.0,0,2009,Year,University of Western Cape,,INDIAN,   1.2 Executive/Administrative/Managerial Professionals
21,12.0,0,2009,Year,University of Western Cape,,AFRICAN,   1.2 Executive/Administrative/Managerial Professionals
22,0.0,0,2009,Year,University of Western Cape,,ALL OTHER,   1.2 Executive/Administrative/Managerial Professionals
23,86.0,0,2009,Year,University of Western Cape,TOTAL,TOTAL,   1.2 Executive/Administrative/Managerial Professionals
24,49.0,0,2009,Year,University of Western Cape,MALE,,   1.2 Executive/Administrative/Managerial Professionals
25,37.0,0,2009,Year,University of Western Cape,FEMALE,,   1.2 Executive/Administrative/Managerial Professionals
26,0.0,0,2009,Year,University of Western Cape,UNKNOWN,,   1.2 Executive/Administrative/Managerial Professionals
27,6.0,0,2009,Year,University of Western Cape,,WHITE,   1.3 Specialist/Support Professionals
28,11.0,0,2009,Year,University of Western Cape,,COLOURED,   1.3 Specialist/Support Professionals
29,4.0,0,2009,Year,University of Western Cape,,INDIAN,   1.3 Specialist/Support Professionals
30,5.0,0,2009,Year,University of Western Cape,,AFRICAN,   1.3 Specialist/Support Professionals
31,0.0,0,2009,Year,University of Western Cape,,ALL OTHER,   1.3 Specialist/Support Professionals
32,26.0,0,2009,Year,University of Western Cape,TOTAL,TOTAL,   1.3 Specialist/Support Professionals
33,13.0,0,2009,Year,University of Western Cape,MALE,,   1.3 Specialist/Support Professionals
34,13.0,0,2009,Year,University of Western Cape,FEMALE,,   1.3 Specialist/Support Professionals
35,0.0,0,2009,Year,University of Western Cape,UNKNOWN,,   1.3 Specialist/Support Professionals
36,16.0,0,2009,Year,University of Western Cape,,WHITE,2.0 Non-Professional Staff    -Sub-total
37,544.0,0,2009,Year,University of Western Cape,,COLOURED,2.0 Non-Professional Staff    -Sub-total
38,14.0,0,2009,Year,University of Western Cape,,INDIAN,2.0 Non-Professional Staff    -Sub-total
39,114.0,0,2009,Year,University of Western Cape,,AFRICAN,2.0 Non-Professional Staff    -Sub-total
40,0.0,0,2009,Year,University of Western Cape,,ALL OTHER,2.0 Non-Professional Staff    -Sub-total
41,688.0,0,2009,Year,University of Western Cape,TOTAL,TOTAL,2.0 Non-Professional Staff    -Sub-total
42,301.0,0,2009,Year,University of Western Cape,MALE,,2.0 Non-Professional Staff    -Sub-total
43,387.0,0,2009,Year,University of Western Cape,FEMALE,,2.0 Non-Professional Staff    -Sub-total
44,0.0,0,2009,Year,University of Western Cape,UNKNOWN,,2.0 Non-Professional Staff    -Sub-total
45,3.0,0,2009,Year,University of Western Cape,,WHITE,   2.1 Technical Employees
46,75.0,0,2009,Year,University of Western Cape,,COLOURED,   2.1 Technical Employees
47,2.0,0,2009,Year,University of Western Cape,,INDIAN,   2.1 Technical Employees
48,13.0,0,2009,Year,University of Western Cape,,AFRICAN,   2.1 Technical Employees
49,0.0,0,2009,Year,University of Western Cape,,ALL OTHER,   2.1 Technical Employees
50,93.0,0,2009,Year,University of Western Cape,TOTAL,TOTAL,   2.1 Technical Employees
51,59.0,0,2009,Year,University of Western Cape,MALE,,   2.1 Technical Employees
52,34.0,0,2009,Year,University of Western Cape,FEMALE,,   2.1 Technical Employees
