,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,195.0,0,2009,Year,Vaal University of Technology,,WHITE,1.0 Professional Staff     -Sub-total
1,9.0,0,2009,Year,Vaal University of Technology,,COLOURED,1.0 Professional Staff     -Sub-total
2,20.0,0,2009,Year,Vaal University of Technology,,INDIAN,1.0 Professional Staff     -Sub-total
3,214.0,0,2009,Year,Vaal University of Technology,,AFRICAN,1.0 Professional Staff     -Sub-total
4,0.0,0,2009,Year,Vaal University of Technology,,ALL OTHER,1.0 Professional Staff     -Sub-total
5,438.0,0,2009,Year,Vaal University of Technology,TOTAL,TOTAL,1.0 Professional Staff     -Sub-total
6,257.0,0,2009,Year,Vaal University of Technology,MALE,,1.0 Professional Staff     -Sub-total
7,181.0,0,2009,Year,Vaal University of Technology,FEMALE,,1.0 Professional Staff     -Sub-total
8,0.0,0,2009,Year,Vaal University of Technology,UNKNOWN,,1.0 Professional Staff     -Sub-total
9,145.0,0,2009,Year,Vaal University of Technology,,WHITE,   1.1 Instruction/Research Professional
10,3.0,0,2009,Year,Vaal University of Technology,,COLOURED,   1.1 Instruction/Research Professional
11,13.0,0,2009,Year,Vaal University of Technology,,INDIAN,   1.1 Instruction/Research Professional
12,148.0,0,2009,Year,Vaal University of Technology,,AFRICAN,   1.1 Instruction/Research Professional
13,0.0,0,2009,Year,Vaal University of Technology,,ALL OTHER,   1.1 Instruction/Research Professional
14,309.0,0,2009,Year,Vaal University of Technology,TOTAL,TOTAL,   1.1 Instruction/Research Professional
15,180.0,0,2009,Year,Vaal University of Technology,MALE,,   1.1 Instruction/Research Professional
16,129.0,0,2009,Year,Vaal University of Technology,FEMALE,,   1.1 Instruction/Research Professional
17,0.0,0,2009,Year,Vaal University of Technology,UNKNOWN,,   1.1 Instruction/Research Professional
18,18.0,0,2009,Year,Vaal University of Technology,,WHITE,   1.2 Executive/Administrative/Managerial Professionals
19,2.0,0,2009,Year,Vaal University of Technology,,COLOURED,   1.2 Executive/Administrative/Managerial Professionals
20,4.0,0,2009,Year,Vaal University of Technology,,INDIAN,   1.2 Executive/Administrative/Managerial Professionals
21,21.0,0,2009,Year,Vaal University of Technology,,AFRICAN,   1.2 Executive/Administrative/Managerial Professionals
22,0.0,0,2009,Year,Vaal University of Technology,,ALL OTHER,   1.2 Executive/Administrative/Managerial Professionals
23,45.0,0,2009,Year,Vaal University of Technology,TOTAL,TOTAL,   1.2 Executive/Administrative/Managerial Professionals
24,32.0,0,2009,Year,Vaal University of Technology,MALE,,   1.2 Executive/Administrative/Managerial Professionals
25,13.0,0,2009,Year,Vaal University of Technology,FEMALE,,   1.2 Executive/Administrative/Managerial Professionals
26,0.0,0,2009,Year,Vaal University of Technology,UNKNOWN,,   1.2 Executive/Administrative/Managerial Professionals
27,32.0,0,2009,Year,Vaal University of Technology,,WHITE,   1.3 Specialist/Support Professionals
28,4.0,0,2009,Year,Vaal University of Technology,,COLOURED,   1.3 Specialist/Support Professionals
29,3.0,0,2009,Year,Vaal University of Technology,,INDIAN,   1.3 Specialist/Support Professionals
30,45.0,0,2009,Year,Vaal University of Technology,,AFRICAN,   1.3 Specialist/Support Professionals
31,0.0,0,2009,Year,Vaal University of Technology,,ALL OTHER,   1.3 Specialist/Support Professionals
32,84.0,0,2009,Year,Vaal University of Technology,TOTAL,TOTAL,   1.3 Specialist/Support Professionals
33,45.0,0,2009,Year,Vaal University of Technology,MALE,,   1.3 Specialist/Support Professionals
34,39.0,0,2009,Year,Vaal University of Technology,FEMALE,,   1.3 Specialist/Support Professionals
35,0.0,0,2009,Year,Vaal University of Technology,UNKNOWN,,   1.3 Specialist/Support Professionals
36,86.0,0,2009,Year,Vaal University of Technology,,WHITE,2.0 Non-Professional Staff    -Sub-total
37,5.0,0,2009,Year,Vaal University of Technology,,COLOURED,2.0 Non-Professional Staff    -Sub-total
38,7.0,0,2009,Year,Vaal University of Technology,,INDIAN,2.0 Non-Professional Staff    -Sub-total
39,421.0,0,2009,Year,Vaal University of Technology,,AFRICAN,2.0 Non-Professional Staff    -Sub-total
40,0.0,0,2009,Year,Vaal University of Technology,,ALL OTHER,2.0 Non-Professional Staff    -Sub-total
41,519.0,0,2009,Year,Vaal University of Technology,TOTAL,TOTAL,2.0 Non-Professional Staff    -Sub-total
42,185.0,0,2009,Year,Vaal University of Technology,MALE,,2.0 Non-Professional Staff    -Sub-total
43,334.0,0,2009,Year,Vaal University of Technology,FEMALE,,2.0 Non-Professional Staff    -Sub-total
44,0.0,0,2009,Year,Vaal University of Technology,UNKNOWN,,2.0 Non-Professional Staff    -Sub-total
45,15.0,0,2009,Year,Vaal University of Technology,,WHITE,   2.1 Technical Employees
46,1.0,0,2009,Year,Vaal University of Technology,,COLOURED,   2.1 Technical Employees
47,1.0,0,2009,Year,Vaal University of Technology,,INDIAN,   2.1 Technical Employees
48,42.0,0,2009,Year,Vaal University of Technology,,AFRICAN,   2.1 Technical Employees
49,0.0,0,2009,Year,Vaal University of Technology,,ALL OTHER,   2.1 Technical Employees
50,59.0,0,2009,Year,Vaal University of Technology,TOTAL,TOTAL,   2.1 Technical Employees
51,36.0,0,2009,Year,Vaal University of Technology,MALE,,   2.1 Technical Employees
52,23.0,0,2009,Year,Vaal University of Technology,FEMALE,,   2.1 Technical Employees
53,0.0,0,2009,Year,Vaal University of Technology,UNKNOWN,,   2.1 Technical Employees
