,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,394.0,0,2010,Year,INSTITUTION: H01 (CAPE PENINSULA UNIVERSITY OF TECHNOLOGY),,WHITE,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
1,360.0,0,2010,Year,INSTITUTION: H01 (CAPE PENINSULA UNIVERSITY OF TECHNOLOGY),,COLOURED,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
2,34.0,0,2010,Year,INSTITUTION: H01 (CAPE PENINSULA UNIVERSITY OF TECHNOLOGY),,INDIAN,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
3,210.0,0,2010,Year,INSTITUTION: H01 (CAPE PENINSULA UNIVERSITY OF TECHNOLOGY),,AFRICAN,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
4,0.0,0,2010,Year,INSTITUTION: H01 (CAPE PENINSULA UNIVERSITY OF TECHNOLOGY),,ALL OTHER,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
5,998.0,0,2010,Year,INSTITUTION: H01 (CAPE PENINSULA UNIVERSITY OF TECHNOLOGY),TOTAL,TOTAL,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
6,565.0,0,2010,Year,INSTITUTION: H01 (CAPE PENINSULA UNIVERSITY OF TECHNOLOGY),MALE,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
7,433.0,0,2010,Year,INSTITUTION: H01 (CAPE PENINSULA UNIVERSITY OF TECHNOLOGY),FEMALE,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
8,0.0,0,2010,Year,INSTITUTION: H01 (CAPE PENINSULA UNIVERSITY OF TECHNOLOGY),UNKNOWN,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
9,328.0,0,2010,Year,INSTITUTION: H01 (CAPE PENINSULA UNIVERSITY OF TECHNOLOGY),,WHITE,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
10,249.0,0,2010,Year,INSTITUTION: H01 (CAPE PENINSULA UNIVERSITY OF TECHNOLOGY),,COLOURED,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
11,29.0,0,2010,Year,INSTITUTION: H01 (CAPE PENINSULA UNIVERSITY OF TECHNOLOGY),,INDIAN,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
12,143.0,0,2010,Year,INSTITUTION: H01 (CAPE PENINSULA UNIVERSITY OF TECHNOLOGY),,AFRICAN,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
13,0.0,0,2010,Year,INSTITUTION: H01 (CAPE PENINSULA UNIVERSITY OF TECHNOLOGY),,ALL OTHER,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
14,749.0,0,2010,Year,INSTITUTION: H01 (CAPE PENINSULA UNIVERSITY OF TECHNOLOGY),TOTAL,TOTAL,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
15,442.0,0,2010,Year,INSTITUTION: H01 (CAPE PENINSULA UNIVERSITY OF TECHNOLOGY),MALE,,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
