,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,195.0,0,2011,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),,WHITE,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
1,23.0,0,2011,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),,COLOURED,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
2,326.0,0,2011,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),,INDIAN,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
3,206.0,0,2011,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),,AFRICAN,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
4,7.0,0,2011,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),,ALL OTHER,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
5,757.0,0,2011,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),TOTAL,TOTAL,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
6,398.0,0,2011,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),MALE,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
7,359.0,0,2011,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),FEMALE,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
8,0.0,0,2011,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),UNKNOWN,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
9,167.0,0,2011,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),,WHITE,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
10,18.0,0,2011,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),,COLOURED,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
11,248.0,0,2011,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),,INDIAN,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
12,152.0,0,2011,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),,AFRICAN,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
13,7.0,0,2011,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),,ALL OTHER,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
14,592.0,0,2011,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),TOTAL,TOTAL,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
15,318.0,0,2011,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),MALE,,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
16,274.0,0,2011,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),FEMALE,,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
17,0.0,0,2011,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),UNKNOWN,,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
18,4.0,0,2011,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),,WHITE,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
19,1.0,0,2011,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),,COLOURED,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
20,19.0,0,2011,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),,INDIAN,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
21,8.0,0,2011,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),,AFRICAN,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
22,0.0,0,2011,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),,ALL OTHER,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
23,32.0,0,2011,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),TOTAL,TOTAL,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
24,23.0,0,2011,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),MALE,,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
25,9.0,0,2011,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),FEMALE,,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
26,0.0,0,2011,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),UNKNOWN,,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
27,24.0,0,2011,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),,WHITE,   1.3 SPECIALIST/SUPPORT PROFESSIONALS
28,4.0,0,2011,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),,COLOURED,   1.3 SPECIALIST/SUPPORT PROFESSIONALS
29,59.0,0,2011,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),,INDIAN,   1.3 SPECIALIST/SUPPORT PROFESSIONALS
30,46.0,0,2011,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),,AFRICAN,   1.3 SPECIALIST/SUPPORT PROFESSIONALS
31,0.0,0,2011,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),,ALL OTHER,   1.3 SPECIALIST/SUPPORT PROFESSIONALS
32,133.0,0,2011,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),TOTAL,TOTAL,   1.3 SPECIALIST/SUPPORT PROFESSIONALS
33,57.0,0,2011,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),MALE,,   1.3 SPECIALIST/SUPPORT PROFESSIONALS
34,76.0,0,2011,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),FEMALE,,   1.3 SPECIALIST/SUPPORT PROFESSIONALS
35,0.0,0,2011,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),UNKNOWN,,   1.3 SPECIALIST/SUPPORT PROFESSIONALS
36,47.0,0,2011,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),,WHITE,2.0 NON-PROFESSIONAL STAFF    - SUB-TOTAL
37,22.0,0,2011,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),,COLOURED,2.0 NON-PROFESSIONAL STAFF    - SUB-TOTAL
38,275.0,0,2011,Year,INSTITUTION: H04 (DURBAN INSTITUTE OF TECHNOLOGY),,INDIAN,2.0 NON-PROFESSIONAL STAFF    - SUB-TOTAL
