,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,87.0,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",,WHITE,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
1,9.0,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",,COLOURED,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
2,46.0,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",,INDIAN,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
3,611.0,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",,AFRICAN,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
4,0.0,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",,ALL OTHER,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
5,753.0,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",TOTAL,TOTAL,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
6,415.0,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",MALE,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
7,338.0,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",FEMALE,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
8,0.0,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",UNKNOWN,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
9,78.0,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",,WHITE,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
10,7.0,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",,COLOURED,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
11,41.0,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",,INDIAN,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
12,481.0,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",,AFRICAN,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
13,0.0,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",,ALL OTHER,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
14,607.0,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",TOTAL,TOTAL,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
15,348.0,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",MALE,,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
16,259.0,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",FEMALE,,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
17,0.0,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",UNKNOWN,,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
18,7.0,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",,WHITE,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
19,2.0,0,2011,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EC)",,COLOURED,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
