,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,184.0,0,2012,Year,INSTITUTION: H04 (DURBAN UNIVERSITY OF TECHNOLOGY),,WHITE,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
1,24.0,0,2012,Year,INSTITUTION: H04 (DURBAN UNIVERSITY OF TECHNOLOGY),,COLOURED,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
2,326.0,0,2012,Year,INSTITUTION: H04 (DURBAN UNIVERSITY OF TECHNOLOGY),,INDIAN,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
3,212.0,0,2012,Year,INSTITUTION: H04 (DURBAN UNIVERSITY OF TECHNOLOGY),,AFRICAN,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
4,11.0,0,2012,Year,INSTITUTION: H04 (DURBAN UNIVERSITY OF TECHNOLOGY),,ALL OTHER,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
5,757.0,0,2012,Year,INSTITUTION: H04 (DURBAN UNIVERSITY OF TECHNOLOGY),TOTAL,TOTAL,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
6,397.0,0,2012,Year,INSTITUTION: H04 (DURBAN UNIVERSITY OF TECHNOLOGY),MALE,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
7,360.0,0,2012,Year,INSTITUTION: H04 (DURBAN UNIVERSITY OF TECHNOLOGY),FEMALE,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
8,0.0,0,2012,Year,INSTITUTION: H04 (DURBAN UNIVERSITY OF TECHNOLOGY),UNKNOWN,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
9,159.0,0,2012,Year,INSTITUTION: H04 (DURBAN UNIVERSITY OF TECHNOLOGY),,WHITE,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
10,19.0,0,2012,Year,INSTITUTION: H04 (DURBAN UNIVERSITY OF TECHNOLOGY),,COLOURED,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
11,251.0,0,2012,Year,INSTITUTION: H04 (DURBAN UNIVERSITY OF TECHNOLOGY),,INDIAN,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
12,159.0,0,2012,Year,INSTITUTION: H04 (DURBAN UNIVERSITY OF TECHNOLOGY),,AFRICAN,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
13,11.0,0,2012,Year,INSTITUTION: H04 (DURBAN UNIVERSITY OF TECHNOLOGY),,ALL OTHER,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
14,599.0,0,2012,Year,INSTITUTION: H04 (DURBAN UNIVERSITY OF TECHNOLOGY),TOTAL,TOTAL,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
15,321.0,0,2012,Year,INSTITUTION: H04 (DURBAN UNIVERSITY OF TECHNOLOGY),MALE,,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
16,278.0,0,2012,Year,INSTITUTION: H04 (DURBAN UNIVERSITY OF TECHNOLOGY),FEMALE,,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
17,0.0,0,2012,Year,INSTITUTION: H04 (DURBAN UNIVERSITY OF TECHNOLOGY),UNKNOWN,,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
18,3.0,0,2012,Year,INSTITUTION: H04 (DURBAN UNIVERSITY OF TECHNOLOGY),,WHITE,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
19,1.0,0,2012,Year,INSTITUTION: H04 (DURBAN UNIVERSITY OF TECHNOLOGY),,COLOURED,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
20,16.0,0,2012,Year,INSTITUTION: H04 (DURBAN UNIVERSITY OF TECHNOLOGY),,INDIAN,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
21,8.0,0,2012,Year,INSTITUTION: H04 (DURBAN UNIVERSITY OF TECHNOLOGY),,AFRICAN,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
