,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,169.0,0,2012,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),,WHITE,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
1,8.0,0,2012,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),,COLOURED,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
2,55.0,0,2012,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),,INDIAN,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
3,743.0,0,2012,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),,AFRICAN,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
4,0.0,0,2012,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),,ALL OTHER,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
5,975.0,0,2012,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),TOTAL,TOTAL,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
6,549.0,0,2012,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),MALE,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
7,426.0,0,2012,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),FEMALE,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
8,0.0,0,2012,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),UNKNOWN,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
9,144.0,0,2012,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),,WHITE,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
10,5.0,0,2012,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),,COLOURED,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
11,51.0,0,2012,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),,INDIAN,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
12,625.0,0,2012,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),,AFRICAN,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
13,0.0,0,2012,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),,ALL OTHER,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
14,825.0,0,2012,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),TOTAL,TOTAL,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
15,482.0,0,2012,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),MALE,,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
16,343.0,0,2012,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),FEMALE,,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
17,0.0,0,2012,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),UNKNOWN,,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
18,9.0,0,2012,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),,WHITE,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
19,1.0,0,2012,Year,INSTITUTION: H09 (UNIVERSITY OF LIMPOPO),,COLOURED,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
