,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,919.0,0,2013,Year,INSTITUTION: H06 (UNIVERSITY OF THE FREE STATE),,WHITE,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
1,44.0,0,2013,Year,INSTITUTION: H06 (UNIVERSITY OF THE FREE STATE),,COLOURED,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
2,19.0,0,2013,Year,INSTITUTION: H06 (UNIVERSITY OF THE FREE STATE),,INDIAN,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
3,198.0,0,2013,Year,INSTITUTION: H06 (UNIVERSITY OF THE FREE STATE),,AFRICAN,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
4,0.0,0,2013,Year,INSTITUTION: H06 (UNIVERSITY OF THE FREE STATE),,ALL OTHER,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
5,1180.0,0,2013,Year,INSTITUTION: H06 (UNIVERSITY OF THE FREE STATE),TOTAL,TOTAL,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
6,585.0,0,2013,Year,INSTITUTION: H06 (UNIVERSITY OF THE FREE STATE),MALE,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
7,595.0,0,2013,Year,INSTITUTION: H06 (UNIVERSITY OF THE FREE STATE),FEMALE,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
8,0.0,0,2013,Year,INSTITUTION: H06 (UNIVERSITY OF THE FREE STATE),UNKNOWN,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
9,744.0,0,2013,Year,INSTITUTION: H06 (UNIVERSITY OF THE FREE STATE),,WHITE,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
10,34.0,0,2013,Year,INSTITUTION: H06 (UNIVERSITY OF THE FREE STATE),,COLOURED,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
11,17.0,0,2013,Year,INSTITUTION: H06 (UNIVERSITY OF THE FREE STATE),,INDIAN,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
12,167.0,0,2013,Year,INSTITUTION: H06 (UNIVERSITY OF THE FREE STATE),,AFRICAN,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
13,0.0,0,2013,Year,INSTITUTION: H06 (UNIVERSITY OF THE FREE STATE),,ALL OTHER,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
14,962.0,0,2013,Year,INSTITUTION: H06 (UNIVERSITY OF THE FREE STATE),TOTAL,TOTAL,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
15,491.0,0,2013,Year,INSTITUTION: H06 (UNIVERSITY OF THE FREE STATE),MALE,,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
16,471.0,0,2013,Year,INSTITUTION: H06 (UNIVERSITY OF THE FREE STATE),FEMALE,,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
17,0.0,0,2013,Year,INSTITUTION: H06 (UNIVERSITY OF THE FREE STATE),UNKNOWN,,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
18,82.0,0,2013,Year,INSTITUTION: H06 (UNIVERSITY OF THE FREE STATE),,WHITE,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
19,7.0,0,2013,Year,INSTITUTION: H06 (UNIVERSITY OF THE FREE STATE),,COLOURED,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
20,2.0,0,2013,Year,INSTITUTION: H06 (UNIVERSITY OF THE FREE STATE),,INDIAN,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
21,15.0,0,2013,Year,INSTITUTION: H06 (UNIVERSITY OF THE FREE STATE),,AFRICAN,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
22,0.0,0,2013,Year,INSTITUTION: H06 (UNIVERSITY OF THE FREE STATE),,ALL OTHER,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
23,106.0,0,2013,Year,INSTITUTION: H06 (UNIVERSITY OF THE FREE STATE),TOTAL,TOTAL,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
24,68.0,0,2013,Year,INSTITUTION: H06 (UNIVERSITY OF THE FREE STATE),MALE,,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
