,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,1451.0,0,2013,Year,INSTITUTION: H12 (UNIVERSITY OF PRETORIA),,WHITE,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
1,65.0,0,2013,Year,INSTITUTION: H12 (UNIVERSITY OF PRETORIA),,COLOURED,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
2,66.0,0,2013,Year,INSTITUTION: H12 (UNIVERSITY OF PRETORIA),,INDIAN,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
3,420.0,0,2013,Year,INSTITUTION: H12 (UNIVERSITY OF PRETORIA),,AFRICAN,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
4,1.0,0,2013,Year,INSTITUTION: H12 (UNIVERSITY OF PRETORIA),,ALL OTHER,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
5,2003.0,0,2013,Year,INSTITUTION: H12 (UNIVERSITY OF PRETORIA),TOTAL,TOTAL,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
6,967.0,0,2013,Year,INSTITUTION: H12 (UNIVERSITY OF PRETORIA),MALE,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
7,1036.0,0,2013,Year,INSTITUTION: H12 (UNIVERSITY OF PRETORIA),FEMALE,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
8,0.0,0,2013,Year,INSTITUTION: H12 (UNIVERSITY OF PRETORIA),UNKNOWN,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
9,1018.0,0,2013,Year,INSTITUTION: H12 (UNIVERSITY OF PRETORIA),,WHITE,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
10,26.0,0,2013,Year,INSTITUTION: H12 (UNIVERSITY OF PRETORIA),,COLOURED,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
11,46.0,0,2013,Year,INSTITUTION: H12 (UNIVERSITY OF PRETORIA),,INDIAN,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
12,209.0,0,2013,Year,INSTITUTION: H12 (UNIVERSITY OF PRETORIA),,AFRICAN,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
13,1.0,0,2013,Year,INSTITUTION: H12 (UNIVERSITY OF PRETORIA),,ALL OTHER,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
14,1300.0,0,2013,Year,INSTITUTION: H12 (UNIVERSITY OF PRETORIA),TOTAL,TOTAL,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
15,645.0,0,2013,Year,INSTITUTION: H12 (UNIVERSITY OF PRETORIA),MALE,,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
16,655.0,0,2013,Year,INSTITUTION: H12 (UNIVERSITY OF PRETORIA),FEMALE,,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
17,0.0,0,2013,Year,INSTITUTION: H12 (UNIVERSITY OF PRETORIA),UNKNOWN,,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
18,249.0,0,2013,Year,INSTITUTION: H12 (UNIVERSITY OF PRETORIA),,WHITE,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
19,23.0,0,2013,Year,INSTITUTION: H12 (UNIVERSITY OF PRETORIA),,COLOURED,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
20,12.0,0,2013,Year,INSTITUTION: H12 (UNIVERSITY OF PRETORIA),,INDIAN,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
21,64.0,0,2013,Year,INSTITUTION: H12 (UNIVERSITY OF PRETORIA),,AFRICAN,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
