,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,83.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),,WHITE,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
1,9.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),,COLOURED,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
2,41.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),,INDIAN,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
3,571.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),,AFRICAN,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
4,0.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),,ALL OTHER,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
5,704.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),TOTAL,TOTAL,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
6,388.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),MALE,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
7,316.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),FEMALE,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
8,0.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),UNKNOWN,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
9,73.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),,WHITE,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
10,7.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),,COLOURED,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
11,38.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),,INDIAN,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
12,458.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),,AFRICAN,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
13,0.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),,ALL OTHER,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
14,576.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),TOTAL,TOTAL,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
15,329.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),MALE,,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
16,247.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),FEMALE,,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
17,0.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),UNKNOWN,,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
18,8.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),,WHITE,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
19,2.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),,COLOURED,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
20,1.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),,INDIAN,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
21,34.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),,AFRICAN,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
22,0.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),,ALL OTHER,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
23,45.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),TOTAL,TOTAL,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
24,28.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),MALE,,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
25,17.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),FEMALE,,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
26,0.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),UNKNOWN,,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
27,2.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),,WHITE,   1.3 SPECIALIST/SUPPORT PROFESSIONALS
28,0.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),,COLOURED,   1.3 SPECIALIST/SUPPORT PROFESSIONALS
29,2.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),,INDIAN,   1.3 SPECIALIST/SUPPORT PROFESSIONALS
30,79.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),,AFRICAN,   1.3 SPECIALIST/SUPPORT PROFESSIONALS
31,0.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),,ALL OTHER,   1.3 SPECIALIST/SUPPORT PROFESSIONALS
32,83.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),TOTAL,TOTAL,   1.3 SPECIALIST/SUPPORT PROFESSIONALS
33,31.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),MALE,,   1.3 SPECIALIST/SUPPORT PROFESSIONALS
34,52.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),FEMALE,,   1.3 SPECIALIST/SUPPORT PROFESSIONALS
35,0.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),UNKNOWN,,   1.3 SPECIALIST/SUPPORT PROFESSIONALS
36,19.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),,WHITE,2.0 NON-PROFESSIONAL STAFF    - SUB-TOTAL
37,11.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),,COLOURED,2.0 NON-PROFESSIONAL STAFF    - SUB-TOTAL
38,6.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),,INDIAN,2.0 NON-PROFESSIONAL STAFF    - SUB-TOTAL
39,662.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),,AFRICAN,2.0 NON-PROFESSIONAL STAFF    - SUB-TOTAL
40,1.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),,ALL OTHER,2.0 NON-PROFESSIONAL STAFF    - SUB-TOTAL
41,699.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),TOTAL,TOTAL,2.0 NON-PROFESSIONAL STAFF    - SUB-TOTAL
42,307.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),MALE,,2.0 NON-PROFESSIONAL STAFF    - SUB-TOTAL
43,392.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),FEMALE,,2.0 NON-PROFESSIONAL STAFF    - SUB-TOTAL
44,0.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),UNKNOWN,,2.0 NON-PROFESSIONAL STAFF    - SUB-TOTAL
45,5.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),,WHITE,   2.1 TECHNICAL EMPLOYEES
46,2.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),,COLOURED,   2.1 TECHNICAL EMPLOYEES
47,2.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),,INDIAN,   2.1 TECHNICAL EMPLOYEES
48,30.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),,AFRICAN,   2.1 TECHNICAL EMPLOYEES
49,0.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),,ALL OTHER,   2.1 TECHNICAL EMPLOYEES
50,39.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),TOTAL,TOTAL,   2.1 TECHNICAL EMPLOYEES
51,34.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),MALE,,   2.1 TECHNICAL EMPLOYEES
52,5.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),FEMALE,,   2.1 TECHNICAL EMPLOYEES
53,0.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),UNKNOWN,,   2.1 TECHNICAL EMPLOYEES
54,14.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),,WHITE,   2.2 NON-PROFESSIONAL ADMINISTRATIVE EMPLOYEES
55,6.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),,COLOURED,   2.2 NON-PROFESSIONAL ADMINISTRATIVE EMPLOYEES
56,4.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),,INDIAN,   2.2 NON-PROFESSIONAL ADMINISTRATIVE EMPLOYEES
57,390.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),,AFRICAN,   2.2 NON-PROFESSIONAL ADMINISTRATIVE EMPLOYEES
58,1.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),,ALL OTHER,   2.2 NON-PROFESSIONAL ADMINISTRATIVE EMPLOYEES
59,415.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),TOTAL,TOTAL,   2.2 NON-PROFESSIONAL ADMINISTRATIVE EMPLOYEES
60,140.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),MALE,,   2.2 NON-PROFESSIONAL ADMINISTRATIVE EMPLOYEES
61,275.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),FEMALE,,   2.2 NON-PROFESSIONAL ADMINISTRATIVE EMPLOYEES
62,0.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),UNKNOWN,,   2.2 NON-PROFESSIONAL ADMINISTRATIVE EMPLOYEES
63,0.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),,WHITE,   2.3 CRAFTS/TRADES EMPLOYEES
64,2.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),,COLOURED,   2.3 CRAFTS/TRADES EMPLOYEES
65,0.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),,INDIAN,   2.3 CRAFTS/TRADES EMPLOYEES
66,87.0,0,2013,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY),,AFRICAN,   2.3 CRAFTS/TRADES EMPLOYEES
