,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,121.0,0,2014,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),,WHITE,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
1,20.0,0,2014,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),,COLOURED,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
2,18.0,0,2014,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),,INDIAN,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
3,240.0,0,2014,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),,AFRICAN,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
4,106.0,0,2014,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),,ALL OTHER,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
5,505.0,0,2014,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),TOTAL,TOTAL,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
6,297.0,0,2014,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),MALE,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
7,208.0,0,2014,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),FEMALE,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
8,0.0,0,2014,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),UNKNOWN,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
9,89.0,0,2014,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),,WHITE,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
10,13.0,0,2014,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),,COLOURED,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
11,15.0,0,2014,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),,INDIAN,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
12,126.0,0,2014,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),,AFRICAN,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
13,91.0,0,2014,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),,ALL OTHER,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
14,334.0,0,2014,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),TOTAL,TOTAL,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
15,211.0,0,2014,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),MALE,,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
16,123.0,0,2014,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),FEMALE,,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
17,0.0,0,2014,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),UNKNOWN,,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
18,15.0,0,2014,Year,INSTITUTION: H05 (UNIVERSITY OF FORT HARE),,WHITE,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
