,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,929.0,0,2014,Year,INSTITUTION: H06 (UNIVERSITY OF FREE STATE),,WHITE,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
1,42.0,0,2014,Year,INSTITUTION: H06 (UNIVERSITY OF FREE STATE),,COLOURED,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
2,17.0,0,2014,Year,INSTITUTION: H06 (UNIVERSITY OF FREE STATE),,INDIAN,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
3,208.0,0,2014,Year,INSTITUTION: H06 (UNIVERSITY OF FREE STATE),,AFRICAN,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
4,0.0,0,2014,Year,INSTITUTION: H06 (UNIVERSITY OF FREE STATE),,ALL OTHER,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
5,1196.0,0,2014,Year,INSTITUTION: H06 (UNIVERSITY OF FREE STATE),TOTAL,TOTAL,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
6,591.0,0,2014,Year,INSTITUTION: H06 (UNIVERSITY OF FREE STATE),MALE,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
7,605.0,0,2014,Year,INSTITUTION: H06 (UNIVERSITY OF FREE STATE),FEMALE,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
8,0.0,0,2014,Year,INSTITUTION: H06 (UNIVERSITY OF FREE STATE),UNKNOWN,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
9,766.0,0,2014,Year,INSTITUTION: H06 (UNIVERSITY OF FREE STATE),,WHITE,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
10,31.0,0,2014,Year,INSTITUTION: H06 (UNIVERSITY OF FREE STATE),,COLOURED,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
11,15.0,0,2014,Year,INSTITUTION: H06 (UNIVERSITY OF FREE STATE),,INDIAN,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
12,174.0,0,2014,Year,INSTITUTION: H06 (UNIVERSITY OF FREE STATE),,AFRICAN,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
13,0.0,0,2014,Year,INSTITUTION: H06 (UNIVERSITY OF FREE STATE),,ALL OTHER,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
14,986.0,0,2014,Year,INSTITUTION: H06 (UNIVERSITY OF FREE STATE),TOTAL,TOTAL,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
15,504.0,0,2014,Year,INSTITUTION: H06 (UNIVERSITY OF FREE STATE),MALE,,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
16,482.0,0,2014,Year,INSTITUTION: H06 (UNIVERSITY OF FREE STATE),FEMALE,,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
