,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,80.0,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",,WHITE,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
1,13.0,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",,COLOURED,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
2,43.0,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",,INDIAN,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
3,593.0,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",,AFRICAN,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
4,0.0,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",,ALL OTHER,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
5,729.0,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",TOTAL,TOTAL,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
6,401.0,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",MALE,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
7,328.0,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",FEMALE,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
8,0.0,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",UNKNOWN,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
9,70.0,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",,WHITE,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
10,10.0,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",,COLOURED,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
11,40.0,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",,INDIAN,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
12,471.0,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",,AFRICAN,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
13,0.0,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",,ALL OTHER,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
14,591.0,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",TOTAL,TOTAL,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
15,329.0,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",MALE,,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
16,262.0,0,2014,Year,"INSTITUTION: H19 (WALTER SISULU UNIVERSITY FOR TECHNOLOGY AND SCIENCE, EASTERN CAPE)",FEMALE,,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
