,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,68.0,0,2014,Year,INSTITUTION: H22 (UNIVERSITY OF ZULULAND),,WHITE,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
1,5.0,0,2014,Year,INSTITUTION: H22 (UNIVERSITY OF ZULULAND),,COLOURED,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
2,38.0,0,2014,Year,INSTITUTION: H22 (UNIVERSITY OF ZULULAND),,INDIAN,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
3,277.0,0,2014,Year,INSTITUTION: H22 (UNIVERSITY OF ZULULAND),,AFRICAN,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
4,0.0,0,2014,Year,INSTITUTION: H22 (UNIVERSITY OF ZULULAND),,ALL OTHER,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
5,388.0,0,2014,Year,INSTITUTION: H22 (UNIVERSITY OF ZULULAND),TOTAL,TOTAL,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
6,224.0,0,2014,Year,INSTITUTION: H22 (UNIVERSITY OF ZULULAND),MALE,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
7,164.0,0,2014,Year,INSTITUTION: H22 (UNIVERSITY OF ZULULAND),FEMALE,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
8,0.0,0,2014,Year,INSTITUTION: H22 (UNIVERSITY OF ZULULAND),UNKNOWN,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
9,53.0,0,2014,Year,INSTITUTION: H22 (UNIVERSITY OF ZULULAND),,WHITE,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
10,2.0,0,2014,Year,INSTITUTION: H22 (UNIVERSITY OF ZULULAND),,COLOURED,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
11,29.0,0,2014,Year,INSTITUTION: H22 (UNIVERSITY OF ZULULAND),,INDIAN,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
12,201.0,0,2014,Year,INSTITUTION: H22 (UNIVERSITY OF ZULULAND),,AFRICAN,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
13,0.0,0,2014,Year,INSTITUTION: H22 (UNIVERSITY OF ZULULAND),,ALL OTHER,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
14,285.0,0,2014,Year,INSTITUTION: H22 (UNIVERSITY OF ZULULAND),TOTAL,TOTAL,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
15,165.0,0,2014,Year,INSTITUTION: H22 (UNIVERSITY OF ZULULAND),MALE,,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
16,120.0,0,2014,Year,INSTITUTION: H22 (UNIVERSITY OF ZULULAND),FEMALE,,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
17,0.0,0,2014,Year,INSTITUTION: H22 (UNIVERSITY OF ZULULAND),UNKNOWN,,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
18,5.0,0,2014,Year,INSTITUTION: H22 (UNIVERSITY OF ZULULAND),,WHITE,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
19,2.0,0,2014,Year,INSTITUTION: H22 (UNIVERSITY OF ZULULAND),,COLOURED,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
20,5.0,0,2014,Year,INSTITUTION: H22 (UNIVERSITY OF ZULULAND),,INDIAN,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
