,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,1067.0,0,2015,Year,INSTITUTION: H02 (UNIVERSITY OF CAPE TOWN),,WHITE,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
1,377.0,0,2015,Year,INSTITUTION: H02 (UNIVERSITY OF CAPE TOWN),,COLOURED,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
2,147.0,0,2015,Year,INSTITUTION: H02 (UNIVERSITY OF CAPE TOWN),,INDIAN,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
3,245.0,0,2015,Year,INSTITUTION: H02 (UNIVERSITY OF CAPE TOWN),,AFRICAN,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
4,41.0,0,2015,Year,INSTITUTION: H02 (UNIVERSITY OF CAPE TOWN),,ALL OTHER,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
5,1877.0,0,2015,Year,INSTITUTION: H02 (UNIVERSITY OF CAPE TOWN),TOTAL,TOTAL,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
6,939.0,0,2015,Year,INSTITUTION: H02 (UNIVERSITY OF CAPE TOWN),MALE,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
7,938.0,0,2015,Year,INSTITUTION: H02 (UNIVERSITY OF CAPE TOWN),FEMALE,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
8,0.0,0,2015,Year,INSTITUTION: H02 (UNIVERSITY OF CAPE TOWN),UNKNOWN,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
9,769.0,0,2015,Year,INSTITUTION: H02 (UNIVERSITY OF CAPE TOWN),,WHITE,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
10,134.0,0,2015,Year,INSTITUTION: H02 (UNIVERSITY OF CAPE TOWN),,COLOURED,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
11,92.0,0,2015,Year,INSTITUTION: H02 (UNIVERSITY OF CAPE TOWN),,INDIAN,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
12,151.0,0,2015,Year,INSTITUTION: H02 (UNIVERSITY OF CAPE TOWN),,AFRICAN,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
13,33.0,0,2015,Year,INSTITUTION: H02 (UNIVERSITY OF CAPE TOWN),,ALL OTHER,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
14,1179.0,0,2015,Year,INSTITUTION: H02 (UNIVERSITY OF CAPE TOWN),TOTAL,TOTAL,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
15,634.0,0,2015,Year,INSTITUTION: H02 (UNIVERSITY OF CAPE TOWN),MALE,,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
16,545.0,0,2015,Year,INSTITUTION: H02 (UNIVERSITY OF CAPE TOWN),FEMALE,,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
17,0.0,0,2015,Year,INSTITUTION: H02 (UNIVERSITY OF CAPE TOWN),UNKNOWN,,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
18,36.0,0,2015,Year,INSTITUTION: H02 (UNIVERSITY OF CAPE TOWN),,WHITE,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
19,12.0,0,2015,Year,INSTITUTION: H02 (UNIVERSITY OF CAPE TOWN),,COLOURED,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
20,5.0,0,2015,Year,INSTITUTION: H02 (UNIVERSITY OF CAPE TOWN),,INDIAN,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
21,4.0,0,2015,Year,INSTITUTION: H02 (UNIVERSITY OF CAPE TOWN),,AFRICAN,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
22,0.0,0,2015,Year,INSTITUTION: H02 (UNIVERSITY OF CAPE TOWN),,ALL OTHER,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
23,57.0,0,2015,Year,INSTITUTION: H02 (UNIVERSITY OF CAPE TOWN),TOTAL,TOTAL,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
24,40.0,0,2015,Year,INSTITUTION: H02 (UNIVERSITY OF CAPE TOWN),MALE,,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
25,17.0,0,2015,Year,INSTITUTION: H02 (UNIVERSITY OF CAPE TOWN),FEMALE,,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
26,0.0,0,2015,Year,INSTITUTION: H02 (UNIVERSITY OF CAPE TOWN),UNKNOWN,,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
27,262.0,0,2015,Year,INSTITUTION: H02 (UNIVERSITY OF CAPE TOWN),,WHITE,   1.3 SPECIALIST/SUPPORT PROFESSIONALS
