,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,1388.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),,WHITE,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
1,63.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),,COLOURED,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
2,30.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),,INDIAN,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
3,490.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),,AFRICAN,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
4,0.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),,ALL OTHER,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
5,1971.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),TOTAL,TOTAL,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
6,1039.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),MALE,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
7,932.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),FEMALE,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
8,0.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),UNKNOWN,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
9,1003.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),,WHITE,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
10,44.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),,COLOURED,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
11,22.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),,INDIAN,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
12,384.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),,AFRICAN,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
13,0.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),,ALL OTHER,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
14,1453.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),TOTAL,TOTAL,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
15,760.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),MALE,,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
16,693.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),FEMALE,,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
17,0.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),UNKNOWN,,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
18,71.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),,WHITE,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
19,1.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),,COLOURED,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
20,2.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),,INDIAN,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
21,27.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),,AFRICAN,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
22,0.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),,ALL OTHER,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
23,101.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),TOTAL,TOTAL,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
24,72.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),MALE,,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
25,29.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),FEMALE,,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
26,0.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),UNKNOWN,,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
27,314.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),,WHITE,   1.3 SPECIALIST/SUPPORT PROFESSIONALS
28,18.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),,COLOURED,   1.3 SPECIALIST/SUPPORT PROFESSIONALS
29,6.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),,INDIAN,   1.3 SPECIALIST/SUPPORT PROFESSIONALS
30,79.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),,AFRICAN,   1.3 SPECIALIST/SUPPORT PROFESSIONALS
31,0.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),,ALL OTHER,   1.3 SPECIALIST/SUPPORT PROFESSIONALS
32,417.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),TOTAL,TOTAL,   1.3 SPECIALIST/SUPPORT PROFESSIONALS
33,207.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),MALE,,   1.3 SPECIALIST/SUPPORT PROFESSIONALS
34,210.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),FEMALE,,   1.3 SPECIALIST/SUPPORT PROFESSIONALS
35,0.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),UNKNOWN,,   1.3 SPECIALIST/SUPPORT PROFESSIONALS
36,930.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),,WHITE,2.0 NON-PROFESSIONAL STAFF    - SUB-TOTAL
37,151.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),,COLOURED,2.0 NON-PROFESSIONAL STAFF    - SUB-TOTAL
38,16.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),,INDIAN,2.0 NON-PROFESSIONAL STAFF    - SUB-TOTAL
39,796.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),,AFRICAN,2.0 NON-PROFESSIONAL STAFF    - SUB-TOTAL
40,0.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),,ALL OTHER,2.0 NON-PROFESSIONAL STAFF    - SUB-TOTAL
41,1893.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),TOTAL,TOTAL,2.0 NON-PROFESSIONAL STAFF    - SUB-TOTAL
42,644.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),MALE,,2.0 NON-PROFESSIONAL STAFF    - SUB-TOTAL
43,1249.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),FEMALE,,2.0 NON-PROFESSIONAL STAFF    - SUB-TOTAL
44,0.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),UNKNOWN,,2.0 NON-PROFESSIONAL STAFF    - SUB-TOTAL
45,133.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),,WHITE,   2.1 TECHNICAL EMPLOYEES
46,12.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),,COLOURED,   2.1 TECHNICAL EMPLOYEES
47,0.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),,INDIAN,   2.1 TECHNICAL EMPLOYEES
48,88.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),,AFRICAN,   2.1 TECHNICAL EMPLOYEES
49,0.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),,ALL OTHER,   2.1 TECHNICAL EMPLOYEES
50,233.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),TOTAL,TOTAL,   2.1 TECHNICAL EMPLOYEES
51,139.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),MALE,,   2.1 TECHNICAL EMPLOYEES
52,94.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),FEMALE,,   2.1 TECHNICAL EMPLOYEES
53,0.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),UNKNOWN,,   2.1 TECHNICAL EMPLOYEES
54,758.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),,WHITE,   2.2 NON-PROFESSIONAL ADMINISTRATIVE EMPLOYEES
55,124.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),,COLOURED,   2.2 NON-PROFESSIONAL ADMINISTRATIVE EMPLOYEES
56,16.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),,INDIAN,   2.2 NON-PROFESSIONAL ADMINISTRATIVE EMPLOYEES
57,375.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),,AFRICAN,   2.2 NON-PROFESSIONAL ADMINISTRATIVE EMPLOYEES
58,0.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),,ALL OTHER,   2.2 NON-PROFESSIONAL ADMINISTRATIVE EMPLOYEES
59,1273.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),TOTAL,TOTAL,   2.2 NON-PROFESSIONAL ADMINISTRATIVE EMPLOYEES
60,288.0,0,2015,Year,INSTITUTION: H11 (NORTH WEST UNIVERSITY),MALE,,   2.2 NON-PROFESSIONAL ADMINISTRATIVE EMPLOYEES
