,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,791.0,0,2015,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),,WHITE,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
1,63.0,0,2015,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),,COLOURED,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
2,175.0,0,2015,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),,INDIAN,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
3,405.0,0,2015,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),,AFRICAN,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
4,0.0,0,2015,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),,ALL OTHER,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
5,1434.0,0,2015,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),TOTAL,TOTAL,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
6,716.0,0,2015,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),MALE,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
7,718.0,0,2015,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),FEMALE,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
8,0.0,0,2015,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),UNKNOWN,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
9,688.0,0,2015,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),,WHITE,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
10,47.0,0,2015,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),,COLOURED,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
11,116.0,0,2015,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),,INDIAN,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
12,293.0,0,2015,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),,AFRICAN,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
13,0.0,0,2015,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),,ALL OTHER,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
14,1144.0,0,2015,Year,INSTITUTION: H21 (UNIVERSITY OF WITWATERSRAND),TOTAL,TOTAL,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
