,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,20.0,0,2016,Year,INSTITUTION: H24 (UNIVERSITY OF MPUMALANGA),,WHITE,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
1,1.0,0,2016,Year,INSTITUTION: H24 (UNIVERSITY OF MPUMALANGA),,COLOURED,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
2,4.0,0,2016,Year,INSTITUTION: H24 (UNIVERSITY OF MPUMALANGA),,INDIAN,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
3,95.0,0,2016,Year,INSTITUTION: H24 (UNIVERSITY OF MPUMALANGA),,AFRICAN,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
4,0.0,0,2016,Year,INSTITUTION: H24 (UNIVERSITY OF MPUMALANGA),,ALL OTHER,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
5,120.0,0,2016,Year,INSTITUTION: H24 (UNIVERSITY OF MPUMALANGA),TOTAL,TOTAL,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
6,83.0,0,2016,Year,INSTITUTION: H24 (UNIVERSITY OF MPUMALANGA),MALE,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
7,37.0,0,2016,Year,INSTITUTION: H24 (UNIVERSITY OF MPUMALANGA),FEMALE,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
8,0.0,0,2016,Year,INSTITUTION: H24 (UNIVERSITY OF MPUMALANGA),UNKNOWN,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
9,13.0,0,2016,Year,INSTITUTION: H24 (UNIVERSITY OF MPUMALANGA),,WHITE,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
10,0.0,0,2016,Year,INSTITUTION: H24 (UNIVERSITY OF MPUMALANGA),,COLOURED,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
11,3.0,0,2016,Year,INSTITUTION: H24 (UNIVERSITY OF MPUMALANGA),,INDIAN,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
