,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,534.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),,WHITE,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
1,174.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),,COLOURED,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
2,41.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),,INDIAN,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
3,217.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),,AFRICAN,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
4,0.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),,ALL OTHER,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
5,966.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),TOTAL,TOTAL,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
6,453.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),MALE,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
7,513.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),FEMALE,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
8,0.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),UNKNOWN,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
9,377.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),,WHITE,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
10,85.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),,COLOURED,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
11,24.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),,INDIAN,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
12,121.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),,AFRICAN,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
13,0.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),,ALL OTHER,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
14,607.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),TOTAL,TOTAL,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
15,306.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),MALE,,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
16,301.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),FEMALE,,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
17,0.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),UNKNOWN,,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
18,79.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),,WHITE,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
19,49.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),,COLOURED,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
20,10.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),,INDIAN,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
21,50.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),,AFRICAN,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
22,0.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),,ALL OTHER,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
23,188.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),TOTAL,TOTAL,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
24,94.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),MALE,,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
25,94.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),FEMALE,,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
26,0.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),UNKNOWN,,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
27,78.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),,WHITE,   1.3 SPECIALIST/SUPPORT PROFESSIONALS
28,40.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),,COLOURED,   1.3 SPECIALIST/SUPPORT PROFESSIONALS
29,7.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),,INDIAN,   1.3 SPECIALIST/SUPPORT PROFESSIONALS
30,46.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),,AFRICAN,   1.3 SPECIALIST/SUPPORT PROFESSIONALS
31,0.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),,ALL OTHER,   1.3 SPECIALIST/SUPPORT PROFESSIONALS
32,171.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),TOTAL,TOTAL,   1.3 SPECIALIST/SUPPORT PROFESSIONALS
33,53.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),MALE,,   1.3 SPECIALIST/SUPPORT PROFESSIONALS
34,118.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),FEMALE,,   1.3 SPECIALIST/SUPPORT PROFESSIONALS
35,0.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),UNKNOWN,,   1.3 SPECIALIST/SUPPORT PROFESSIONALS
36,274.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),,WHITE,2.0 NON-PROFESSIONAL STAFF    - SUB-TOTAL
37,235.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),,COLOURED,2.0 NON-PROFESSIONAL STAFF    - SUB-TOTAL
38,35.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),,INDIAN,2.0 NON-PROFESSIONAL STAFF    - SUB-TOTAL
39,601.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),,AFRICAN,2.0 NON-PROFESSIONAL STAFF    - SUB-TOTAL
40,0.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),,ALL OTHER,2.0 NON-PROFESSIONAL STAFF    - SUB-TOTAL
41,1145.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),TOTAL,TOTAL,2.0 NON-PROFESSIONAL STAFF    - SUB-TOTAL
42,455.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),MALE,,2.0 NON-PROFESSIONAL STAFF    - SUB-TOTAL
43,690.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),FEMALE,,2.0 NON-PROFESSIONAL STAFF    - SUB-TOTAL
44,0.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),UNKNOWN,,2.0 NON-PROFESSIONAL STAFF    - SUB-TOTAL
45,46.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),,WHITE,   2.1 TECHNICAL EMPLOYEES
46,22.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),,COLOURED,   2.1 TECHNICAL EMPLOYEES
47,5.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),,INDIAN,   2.1 TECHNICAL EMPLOYEES
48,37.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),,AFRICAN,   2.1 TECHNICAL EMPLOYEES
49,0.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),,ALL OTHER,   2.1 TECHNICAL EMPLOYEES
50,110.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),TOTAL,TOTAL,   2.1 TECHNICAL EMPLOYEES
51,77.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),MALE,,   2.1 TECHNICAL EMPLOYEES
52,33.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),FEMALE,,   2.1 TECHNICAL EMPLOYEES
53,0.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),UNKNOWN,,   2.1 TECHNICAL EMPLOYEES
54,199.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),,WHITE,   2.2 NON-PROFESSIONAL ADMINISTRATIVE EMPLOYEES
55,168.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),,COLOURED,   2.2 NON-PROFESSIONAL ADMINISTRATIVE EMPLOYEES
56,26.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),,INDIAN,   2.2 NON-PROFESSIONAL ADMINISTRATIVE EMPLOYEES
57,248.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),,AFRICAN,   2.2 NON-PROFESSIONAL ADMINISTRATIVE EMPLOYEES
58,0.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),,ALL OTHER,   2.2 NON-PROFESSIONAL ADMINISTRATIVE EMPLOYEES
59,641.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),TOTAL,TOTAL,   2.2 NON-PROFESSIONAL ADMINISTRATIVE EMPLOYEES
60,117.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),MALE,,   2.2 NON-PROFESSIONAL ADMINISTRATIVE EMPLOYEES
61,524.0,0,2017,Year,INSTITUTION: H10 (NELSON MANDELA UNIVERSITY),FEMALE,,   2.2 NON-PROFESSIONAL ADMINISTRATIVE EMPLOYEES
