,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,279.0,0,2017,Year,INSTITUTION: H13 (RHODES UNIVERSITY),,WHITE,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
1,38.0,0,2017,Year,INSTITUTION: H13 (RHODES UNIVERSITY),,COLOURED,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
2,23.0,0,2017,Year,INSTITUTION: H13 (RHODES UNIVERSITY),,INDIAN,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
3,103.0,0,2017,Year,INSTITUTION: H13 (RHODES UNIVERSITY),,AFRICAN,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
4,0.0,0,2017,Year,INSTITUTION: H13 (RHODES UNIVERSITY),,ALL OTHER,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
5,443.0,0,2017,Year,INSTITUTION: H13 (RHODES UNIVERSITY),TOTAL,TOTAL,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
6,232.0,0,2017,Year,INSTITUTION: H13 (RHODES UNIVERSITY),MALE,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
7,211.0,0,2017,Year,INSTITUTION: H13 (RHODES UNIVERSITY),FEMALE,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
8,0.0,0,2017,Year,INSTITUTION: H13 (RHODES UNIVERSITY),UNKNOWN,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
9,217.0,0,2017,Year,INSTITUTION: H13 (RHODES UNIVERSITY),,WHITE,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
10,21.0,0,2017,Year,INSTITUTION: H13 (RHODES UNIVERSITY),,COLOURED,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
11,17.0,0,2017,Year,INSTITUTION: H13 (RHODES UNIVERSITY),,INDIAN,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
12,67.0,0,2017,Year,INSTITUTION: H13 (RHODES UNIVERSITY),,AFRICAN,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
13,0.0,0,2017,Year,INSTITUTION: H13 (RHODES UNIVERSITY),,ALL OTHER,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
14,322.0,0,2017,Year,INSTITUTION: H13 (RHODES UNIVERSITY),TOTAL,TOTAL,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
15,182.0,0,2017,Year,INSTITUTION: H13 (RHODES UNIVERSITY),MALE,,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
16,140.0,0,2017,Year,INSTITUTION: H13 (RHODES UNIVERSITY),FEMALE,,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
17,0.0,0,2017,Year,INSTITUTION: H13 (RHODES UNIVERSITY),UNKNOWN,,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
18,16.0,0,2017,Year,INSTITUTION: H13 (RHODES UNIVERSITY),,WHITE,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
19,2.0,0,2017,Year,INSTITUTION: H13 (RHODES UNIVERSITY),,COLOURED,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
20,3.0,0,2017,Year,INSTITUTION: H13 (RHODES UNIVERSITY),,INDIAN,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
21,5.0,0,2017,Year,INSTITUTION: H13 (RHODES UNIVERSITY),,AFRICAN,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
22,0.0,0,2017,Year,INSTITUTION: H13 (RHODES UNIVERSITY),,ALL OTHER,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
23,26.0,0,2017,Year,INSTITUTION: H13 (RHODES UNIVERSITY),TOTAL,TOTAL,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
24,11.0,0,2017,Year,INSTITUTION: H13 (RHODES UNIVERSITY),MALE,,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
25,15.0,0,2017,Year,INSTITUTION: H13 (RHODES UNIVERSITY),FEMALE,,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
26,0.0,0,2017,Year,INSTITUTION: H13 (RHODES UNIVERSITY),UNKNOWN,,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
27,46.0,0,2017,Year,INSTITUTION: H13 (RHODES UNIVERSITY),,WHITE,   1.3 SPECIALIST/SUPPORT PROFESSIONALS
28,15.0,0,2017,Year,INSTITUTION: H13 (RHODES UNIVERSITY),,COLOURED,   1.3 SPECIALIST/SUPPORT PROFESSIONALS
29,3.0,0,2017,Year,INSTITUTION: H13 (RHODES UNIVERSITY),,INDIAN,   1.3 SPECIALIST/SUPPORT PROFESSIONALS
30,31.0,0,2017,Year,INSTITUTION: H13 (RHODES UNIVERSITY),,AFRICAN,   1.3 SPECIALIST/SUPPORT PROFESSIONALS
31,0.0,0,2017,Year,INSTITUTION: H13 (RHODES UNIVERSITY),,ALL OTHER,   1.3 SPECIALIST/SUPPORT PROFESSIONALS
32,95.0,0,2017,Year,INSTITUTION: H13 (RHODES UNIVERSITY),TOTAL,TOTAL,   1.3 SPECIALIST/SUPPORT PROFESSIONALS
33,39.0,0,2017,Year,INSTITUTION: H13 (RHODES UNIVERSITY),MALE,,   1.3 SPECIALIST/SUPPORT PROFESSIONALS
